% Model:              Cav_Hex_Unif_flux_v5.1 - Base Case.mph
% Version:            COMSOL 5.5.0.359
% Date:               Nov 3 2021, 12:11
% Table:              Table 12 - Surface Average 1 - Avg T_gas(z)
% P_to_m (kJ/kg)         z_cpl (mm)               T_g_avg(z) (K)
100                      0                        404.4620822328177
100                      1                        543.5430596530405
100                      2                        597.2678168721498
100                      3                        634.6289132530155
100                      4                        659.4854008580173
100                      5                        678.1258598690503
100                      6                        698.1710355449451
100                      7                        709.9200615401493
100                      8                        725.0749952753008
100                      9.000000000000002        733.1897750805296
100                      10                       741.463079480967
100                      11                       749.0256147778325
100                      12                       755.5572958481173
100                      13.000000000000002       763.5828561832742
100                      14                       768.2334657204225
100                      15                       773.4528292199077
100                      16                       779.5146704101039
100                      17                       784.7163942244309
100                      18.000000000000004       789.6102650919637
100                      19                       793.0438495914884
100                      20                       796.3872296749769
100                      21                       800.763018856591
100                      22                       803.5408941063464
100                      23                       806.9292721227293
100                      24                       809.5113554395268
100                      25                       811.7009533208309
100                      26.000000000000004       814.2658031699502
100                      27                       816.5510079337616
100                      28                       818.7227349389254
100                      29                       820.4113963398676
100                      30                       822.3907814174119
100                      31                       824.1662343831667
100                      32                       825.6346430178995
100                      33                       827.1902671077138
100                      34                       828.5466353886428
100                      35                       829.5250127376449
100                      36.00000000000001        830.7656588199552
100                      37                       831.6741232366442
100                      38                       832.7844507811125
100                      39                       833.7041335196866
100                      40                       834.5308768055335
100                      41                       835.0729031425035
100                      42                       835.8215090211764
100                      43                       836.5106175260984
100                      44                       837.0613074515389
100                      45                       837.5616031744033
100                      46                       838.1021106845518
100                      47                       838.6040126793405
100                      48                       839.0854575072613
100                      49                       839.4716559921752
100                      50                       839.9866294012569
200                      0                        404.4620822328177
200                      1                        543.5430596530405
200                      2                        597.2678168721498
200                      3                        634.6289132530155
200                      4                        659.4854008580173
200                      5                        678.1258598690503
200                      6                        698.1710355449451
200                      7                        709.920061540149
200                      8                        725.0749952753013
200                      9.000000000000002        733.1897750805296
200                      10                       741.463079480967
200                      11                       749.0256147778324
200                      12                       755.5572958481175
200                      13.000000000000002       763.5828561832741
200                      14                       768.2334657204225
200                      15                       773.4528292199077
200                      16                       779.5146704101037
200                      17                       784.7163942244309
200                      18.000000000000004       789.6102650919637
200                      19                       793.0438495914884
200                      20                       796.3872296749769
200                      21                       800.763018856591
200                      22                       803.5408941063464
200                      23                       806.9292721227293
200                      24                       809.5113554395268
200                      25                       811.7009533208311
200                      26.000000000000004       814.2658031699505
200                      27                       816.5510079337616
200                      28                       818.7227349389254
200                      29                       820.4113963398676
200                      30                       822.3907814174119
200                      31                       824.1662343831667
200                      32                       825.6346430178995
200                      33                       827.1902671077138
200                      34                       828.5466353886428
200                      35                       829.5250127376449
200                      36.00000000000001        830.7656588199552
200                      37                       831.6741232366442
200                      38                       832.7844507811125
200                      39                       833.7041335196866
200                      40                       834.5308768055335
200                      41                       835.0729031425035
200                      42                       835.8215090211764
200                      43                       836.5106175260984
200                      44                       837.0613074515389
200                      45                       837.561603174403
200                      46                       838.1021106845518
200                      47                       838.6040126793405
200                      48                       839.0854575072613
200                      49                       839.4716559921752
200                      50                       839.9866294012569
300                      0                        404.4620822328177
300                      1                        543.5430596530405
300                      2                        597.2678168721496
300                      3                        634.6289132530155
300                      4                        659.4854008580173
300                      5                        678.1258598690503
300                      6                        698.1710355449451
300                      7                        709.9200615401495
300                      8                        725.074995275301
300                      9.000000000000002        733.1897750805293
300                      10                       741.463079480967
300                      11                       749.0256147778325
300                      12                       755.5572958481173
300                      13.000000000000002       763.5828561832741
300                      14                       768.2334657204225
300                      15                       773.4528292199077
300                      16                       779.5146704101037
300                      17                       784.7163942244309
300                      18.000000000000004       789.6102650919637
300                      19                       793.0438495914884
300                      20                       796.3872296749769
300                      21                       800.763018856591
300                      22                       803.5408941063464
300                      23                       806.9292721227293
300                      24                       809.5113554395268
300                      25                       811.7009533208309
300                      26.000000000000004       814.2658031699505
300                      27                       816.5510079337616
300                      28                       818.7227349389254
300                      29                       820.4113963398676
300                      30                       822.3907814174119
300                      31                       824.1662343831667
300                      32                       825.6346430178995
300                      33                       827.1902671077138
300                      34                       828.5466353886428
300                      35                       829.5250127376449
300                      36.00000000000001        830.7656588199552
300                      37                       831.6741232366442
300                      38                       832.7844507811125
300                      39                       833.7041335196866
300                      40                       834.5308768055335
300                      41                       835.0729031425035
300                      42                       835.8215090211764
300                      43                       836.5106175260984
300                      44                       837.0613074515389
300                      45                       837.5616031744033
300                      46                       838.1021106845518
300                      47                       838.6040126793405
300                      48                       839.0854575072613
300                      49                       839.4716559921752
