% Model:              Cav_Hex_Unif_flux_v5.1 - Base Case.mph
% Version:            COMSOL 5.5.0.359
% Date:               Oct 26 2021, 00:41
% Table:              Evaluation Group 1 - Global Powers/Variables - 
% R_channel (mm)         emis                     Q_abs (W)                Q_BHS (W)                T_g_in (K)               T_g_out (K)              Q_rad_loss (W)           Q_rad_loss_int (W)       Q_rad_loss_front (W)
0.5                      0.1                      0.5409130378424067       0.5673830578452626       331.7345060335438        493.9594634160093        0.0010325623490664256    1.879803145437538E-4     6.567127720682031E-4
0.5                      0.3                      0.9327774609705101       0.9567935436863539       341.5537247981158        611.9515450476425        0.008859835657366387     0.002324471151858285     0.005971756718144696
0.5                      0.5                      1.2685778893661661       1.2858759062804          349.68127884889117       707.492539946353         0.028904704030854253     0.008168746574762017     0.019796611143819892
0.5                      0.7                      1.5797436174569177       1.5979126039793627       357.04268753654          792.3864316336956        0.06783326783649263      0.019708819413763807     0.04680936358554755
0.5                      0.9                      1.8665811233845246       1.9025078530743962       363.7301961693137        868.2229095433901        0.13204375749351763      0.0388333848025311       0.09151954932889632
1                        0.1                      1.9914583594108364       2.0422627545074863       337.0600746944108        576.4387028576599        0.00612434333097446      0.002897949992302038     0.002771807558775979
1                        0.3                      2.8951687156065877       2.943924625251327        346.5966439153304        683.9383748021999        0.0455885479072838       0.022410073285311        0.0218147172822835
1                        0.5                      3.506437812470588        3.580605661530797        353.04538590756977       753.6880680853733        0.12583983651890687      0.06225712323286137      0.061309784386563544
1                        0.7                      4.009905983456475        4.144705926091754        358.3649347624159        809.6754503252617        0.25505919541893035      0.12631351318222128      0.12556358177743288
1                        0.9                      4.442749997802208        4.676735415779904        362.9465034583427        856.9230588761151        0.43912912105313506      0.21730667992731023      0.2177311691067578
2                        0.1                      7.2456636428224215       7.409585643387838        340.8252581174309        631.3734314456592        0.044164984992258335     0.030313239318659205     0.012515815947393585
2                        0.3                      9.446735669933574        9.898725825958165        350.1987927088238        719.4502617650672        0.3145724275251242       0.2161244553533779       0.09444018299312985
2                        0.5                      10.539292166443595       11.378516427661692       355.0240820047797        762.0578077899149        0.7619131064302693       0.5217675960492916       0.2334658617499509
2                        0.7                      11.303051119167565       12.587212191921202       358.43859369439906       791.447032593929         1.3591786006668045       0.9277852147469778       0.4220418778363884
2                        0.9                      11.901679276656129       13.676982970420083       361.13138737189445       814.2700960150229        2.0922397703212097       1.424003613975052        0.6562127888103042
4                        0.1                      26.717026152886532       28.17648258273062        343.78326399160744       660.4295575697045        0.3575192418139507       0.2976346201547304       0.055394475786958726
4                        0.3                      32.13104391873377        36.68390732608942        352.05144967714784       725.6518643259714        2.2883849862370718       1.900186738273129        0.37472781034716107
4                        0.5                      33.784812850290315       40.755621617936875       355.0717186391551        745.6137807623534        4.817146588722697        3.9879041964577477       0.8067916629036526
4                        0.7                      34.76552380377694        43.778869034697756       356.9157068176773        757.4177159840507        7.696167025438273        6.354993229718493        1.3097427746139414
4                        0.9                      35.48229516565362        46.34238733960384        358.2711125221951        766.0159604065024        10.852763657738217       8.94152257543614         1.8708297694517344
8                        0.1                      72.37061985765106        81.83136823582208        338.86456922310236       578.8633809896397        1.5070666900299268       1.3867016091846258       0.1040014815566169
8                        0.3                      93.29305083273974        117.58036014729194       345.4654455588188        648.6062896778096        9.729110986963157        8.954332506621128        0.7256876824759688
8                        0.5                      96.40153018674681        128.9673251678931        347.2158675125351        659.4204363248399        19.132279614383727       17.586107006137727       1.4643546118025637
8                        0.7                      97.75028493129221        136.0927665241103        348.12880360956785       664.2259026477038        29.012885981364615       26.642374119101362       2.255966667242474
8                        0.9                      98.60174875595308        141.4754834138071        348.7301673352897        667.2752956193955        39.21902330177254        35.98673310055024        3.0850178076241432
