%z[mm]	ϕ=0.1	ϕ=0.3	ϕ=0.5	ϕ=0.7	ϕ=0.9
0.0	317.5491885040204	317.115894314817	317.8632235833837	317.30708662944267	316.57865267113993
1.0	311.95340856392704	316.596565021988	331.5831633166766	339.9183588587244	373.5253569903334
2.0	320.3555795034937	349.9964532543144	394.19653481323525	449.0122462357655	502.7539213991875
3.0	344.73839962523505	414.5679851882946	490.1515370936316	553.8739880928752	607.1235031309195
4.0	369.83314376713696	467.58558057537647	563.9740996780685	628.5984200147109	689.9090582667875
5.0	399.84061676496384	513.0602163313204	619.6921175697506	689.4668025666864	740.1895655305094
6.0	425.0808002442865	559.6409866117294	664.77621489522	738.4513483635177	781.1827975358686
7.0	459.1964961839993	605.3678708377387	705.2543366670963	774.5162055186419	804.2703906758185
8.0	493.4690787518474	647.2708917133671	740.236006824731	803.0466219271847	825.3444187371151
9.0	518.4399849483691	675.0524431792671	767.31876603934	823.6161676573049	838.385290124563
10.0	540.857583147841	700.3858626460682	788.4432116919364	841.1155548124921	848.3908508974067
11.0	569.8672937324268	723.534046653487	808.8465862088639	852.8645668371138	855.8600567821248
12.0	594.1017369621169	745.1546713824791	820.9196450840992	862.7736062119468	861.2797793169539
13.0	614.8106768957598	757.8371889225772	830.438867438913	869.9182684938223	865.2025796082505
14.0	629.2327293319537	773.0376418415333	839.8476110954808	875.9808949506614	868.1139370275572
15.0	651.8660758953382	783.8388462615646	849.078726741727	880.054806352302	870.2355138630146
16.0	668.8227761157667	795.1122409272291	854.855110848546	883.4596418206969	871.7904254791449
17.0	684.7302122804931	804.34877000146	860.5223879774483	885.9038599165623	872.988051177667
18.0	701.7231148939696	813.2565821025692	864.6807270521103	887.8389821165867	873.8492094137778
19.0	719.3077408164871	820.4477342263593	868.1711620367959	889.354284970556	874.4846003465072
20.0	733.4898695860454	826.5299504507277	870.9305084723779	890.5253070348955	874.967396027348
21.0	744.9997796131224	832.1054925611362	873.1992572407338	891.3971355853859	875.3131490238724
22.0	756.3803368094593	836.9389010727708	875.2184156520831	892.0629786512137	875.5429371010208
23.0	768.2457879849644	840.977428390691	876.7526950605721	892.5511247912807	875.695466749245
24.0	779.0677111504282	844.3950059696705	878.2557454452815	892.9490767456748	875.7941242248464
25.0	787.4528783939165	846.7598288399515	879.208002912998	893.1873443667284	875.851875546054
