%z[mm]	ϕ=0.1	ϕ=0.3	ϕ=0.5	ϕ=0.7	ϕ=0.9
0.0	745.4217483889955	1090.465049716921	1272.2462311857416	1326.910899213026	1265.688996249314
1.0	746.558235593884	1090.3197364380583	1270.9549859861547	1325.0301931380895	1268.1817072516121
2.0	747.6947227987724	1090.1744231591954	1269.663740786568	1323.149487063153	1270.6744182539103
3.0	748.8312100036609	1090.0291098803327	1268.3724955869811	1321.4409327986518	1274.3777811479004
4.0	749.9676972085493	1089.6138781921088	1266.813241726193	1320.4091132372412	1279.6478700193736
5.0	751.1041844134378	1088.557590281653	1265.2157009138048	1319.3772936758303	1284.9179588908469
6.0	751.3322579163589	1087.5013023711967	1263.6181601014166	1318.5654256025682	1290.8284429152986
7.0	751.1061245682964	1086.4450144607408	1262.039357128886	1318.0759002274551	1296.8331026975409
8.0	750.8799912202338	1085.336588121591	1260.4668001029745	1317.5863748523418	1302.863706548024
9.0	750.6538578721712	1084.192316612714	1258.894243077063	1317.1609286556436	1308.9526845520495
10.0	750.4277245241087	1083.048045103837	1257.2768676966443	1316.7767288266607	1315.0416625560752
11.0	750.234367194729	1081.9037735949603	1255.6326013035216	1316.3925289976776	1320.0716635513495
12.0	750.1065619027148	1080.5366762993035	1253.9883349103989	1316.012265569594	1324.736500060847
13.0	749.9787566107007	1079.1417257802993	1252.2394953747541	1315.632918372754	1329.1819670672303
14.0	749.8509513186865	1077.746775261295	1250.386082696588	1315.245423708055	1332.6246020593758
15.0	749.7231460266723	1076.3303483879397	1248.5326700184214	1314.2835325592746	1336.067237051521
16.0	749.5953407346582	1074.8194255554392	1246.5740465471158	1313.3216414104945	1338.9668982881324
17.0	749.2310426488062	1073.3085027229388	1244.4400717539115	1312.2462602003725	1341.5272009275348
18.0	748.8667445629544	1071.7975798904383	1242.3060969607075	1310.760850381531	1344.0308091485604
19.0	748.5024464771026	1070.2057410139766	1240.0972106068075	1309.27544056269	1345.4855706296155
20.0	748.1381483912508	1068.5267617824795	1237.663589570821	1307.581214145045	1346.9403321106704
21.0	747.7738503053989	1066.8477825509822	1235.229968534834	1305.5981247657212	1347.521695277413
22.0	747.3714829202976	1065.168803319485	1232.759475367574	1303.6150353863973	1347.1836917975108
23.0	746.9500808855714	1063.3558027887284	1230.0308772814024	1301.3114700665628	1346.8456883176086
24.0	746.5286788508452	1061.5045104581834	1227.3022791952305	1298.8134586704632	1345.917011807898
25.0	746.1072768161191	1059.6532181276382	1224.573681109059	1296.3154472743638	1344.9391125457032
26.0	745.685874781393	1057.792799090181	1221.607179836418	1293.4484781265533	1343.7689370224005
27.0	745.25160634514	1055.8182962163246	1218.640678563777	1290.5033399635495	1342.2554110328333
28.0	744.7916051058334	1053.8437933424682	1215.6741772911362	1287.5505625183127	1340.7418850432662
29.0	744.3316038665268	1051.8692904686118	1212.530545920646	1284.3323200154696	1338.7165815418932
30.0	743.8716026272203	1049.8556792633058	1209.361610250463	1281.1140775126264	1336.5592064245704
31.0	743.4116013879138	1047.7755838945352	1206.19267458028	1277.8285440154657	1334.2195291062392
32.0	742.9516001486073	1045.6954885257646	1202.8950348951262	1274.318707203912	1331.2721777845466
33.0	742.4469943132206	1043.6153931569938	1199.5544938716484	1270.8088703923581	1328.3248264628537
34.0	741.9423884778338	1041.4823518393819	1196.213952848171	1267.199207625425	1325.1766381098814
35.0	741.437782642447	1039.322837547349	1192.795363175683	1263.4591270780768	1321.9280312412695
36.0	740.9331768070601	1037.1633232553163	1189.329944313789	1259.7190465307285	1318.655747470422
37.0	740.4285709716734	1035.0038089632835	1185.8645254518947	1255.8911144602673	1315.1762908050134
38.0	739.9245690140044	1032.7811612819771	1182.3660573953284	1252.0129815194555	1311.6968341396048
39.0	739.4208689951944	1030.5560853933907	1178.8345401440902	1248.1348485786439	1308.1187661383235
40.0	738.9171689763843	1028.3310095048043	1175.3030228928517	1244.153310767092	1304.4561741348655
41.0	738.4134689575743	1026.0980105213484	1171.7542078736624	1240.1519536886485	1300.7935821314077
42.0	737.9097689387643	1023.842374123979	1168.1765632412219	1236.1464467178778	1296.8587163264804
43.0	737.400754316226	1021.5867377266094	1164.598918608781	1232.0461838723081	1292.916685421514
44.0	736.8811104862311	1019.3311013292398	1161.0134721885158	1227.9459210267382	1288.9054883665885
45.0	736.3614666562364	1017.0481460048649	1157.4046204047759	1223.8293037571882	1284.7948649710963
46.0	735.8418228262417	1014.7433355388856	1153.795768621036	1219.6622214079273	1280.6842415756041
47.0	735.3221789962469	1012.4385250729064	1150.186556724224	1215.4951390586666	1276.456433355749
48.0	734.802535166252	1010.1337146069271	1146.5748240359064	1211.2964799259787	1272.2073188041911
49.0	734.2843059664339	1007.8318554364633	1142.9630913475887	1207.0588432012482	1267.9447781324545
50.0	733.7660767666155	1005.5305095347848	1139.3513586592715	1202.8212064765178	1263.6480618820806
51.0	733.2478475667972	1003.2291636331062	1135.7600472999095	1198.6073593730987	1259.3513456317064
52.0	732.7296183669789	1000.9289678983424	1132.1687359405475	1194.4063023886642	1255.019706878439
53.0	732.2113891671606	998.6353856233396	1128.5774245811854	1190.2052454042298	1250.674348570463
54.0	731.6936150861468	996.3418033483368	1125.0098881177346	1186.0158713640983	1246.3181304673278
55.0	731.1760685645352	994.0482210733339	1121.4457480679855	1181.828508322576	1241.9021834908153
56.0	730.6585220429236	991.7493194980501	1117.8816080182362	1177.6399491404318	1237.4862365143028
57.0	730.140975521312	989.4437687974148	1114.3421283497223	1173.43120508529	1233.0463787274955
58.0	729.6234289997004	987.1382180967794	1110.810868808287	1169.2224610301485	1228.5898873335263
59.0	729.1084980851906	984.8326673961441	1107.2796092668518	1165.03354651817	1224.134069162491
60.0	728.5987983848846	982.5571912350828	1103.7783638427966	1160.9014409676865	1219.7038334629303
61.0	728.0890986845786	980.2922411628724	1100.2951268891698	1156.769335417203	1215.2735977633697
62.0	727.5793989842725	978.027291090662	1096.8118899355427	1152.6518169093274	1210.8561543770736
63.0	727.0696992839665	975.7631731561701	1093.3569759926359	1148.5513166178275	1206.453635356253
64.0	726.5599995836606	973.5206908023595	1089.9303850604492	1144.4508163263276	1202.0511163354324
65.0	726.0548534371466	971.2782084485488	1086.5037941282626	1140.3824679229954	1197.6997114768844
66.0	725.5497072906326	969.0357260947382	1083.0876739875623	1136.3303646842112	1193.3541482368819
67.0	725.0445611441186	966.7971700124372	1079.6890051660055	1132.278261445427	1189.0014307696172
68.0	724.5394149976046	964.5664664731553	1076.2903363444486	1128.2655407136049	1184.6344048478275
69.0	724.0342688510906	962.3357629338733	1072.904432275856	1124.258854398172	1180.267378926038
70.0	723.5354869800176	960.1050593945914	1069.5568224661558	1120.254629221563	1175.8990321658584
71.0	723.0398872466651	957.9013220655266	1066.2092126564557	1116.283137191313	1171.530289154162
72.0	722.5442875133126	955.7134472130602	1062.868432654665	1112.3116451610626	1167.1629603340593
73.0	722.0486877799602	953.5255723605937	1059.575461308239	1108.3534230332157	1162.8011115063823
74.0	721.5530880466077	951.3376975081271	1056.2824899618129	1104.4305873117773	1158.4392626787055
75.0	721.061078315639	949.1755484801986	1052.9895186153867	1100.507751590339	1154.073419218854
76.0	720.5762485894372	947.015457518233	1049.74866471099	1096.6090362498037	1149.7053387649846
77.0	720.0914188632355	944.8553665562674	1046.5078108065932	1092.7369242705588	1145.3405980259306
78.0	719.6065891370338	942.7019951842256	1043.2669569021964	1088.8648122913137	1141.01593386466
79.0	719.121759410832	940.572142376917	1040.0852872320063	1085.031271622364	1136.6912697033888
80.0	718.6369296846303	938.4422895696083	1036.9120724524173	1081.2160225026269	1132.376971602205
81.0	718.1541949305849	936.3124367622996	1033.7388576728283	1077.4007733828894	1128.0725212581037
82.0	717.6714601765394	934.1986791683066	1030.6074094056935	1073.6218835104037	1123.7680709140025
83.0	717.188725422494	932.0998671295356	1027.489883309377	1069.8478992506418	1119.4794361715694
84.0	716.7059906684485	930.0010550907643	1024.3723572130605	1066.078954221542	1115.1916563265238
85.0	716.2232559144031	927.9022430519932	1021.2938206510752	1062.3650207938354	1110.9218199652612
86.0	715.7514561417031	925.8350128459261	1018.2386778096887	1058.6510873661284	1106.6806931780513
87.0	715.2851238596759	923.7749603291101	1015.1835349683022	1054.9601581957613	1102.4395663908413
88.0	714.8187915776485	921.7149078122939	1012.1608311862565	1051.32645912902	1098.26951834153
