% Model:              Cav_Hex_Unif_flux_v5.1 - Base Case (v01).mph
% Version:            COMSOL 5.5.0.359
% Date:               Mar 19 2022, 15:29
% Table:              Evaluation Group 1 - Global Powers/Variables - 
% R_channel (mm)         phi                      Q_abs (W)                Q_BHS (W)                T_g_in (K)               T_g_out (K)              Q_rad_loss (W)           Q_rad_loss_int (W)       Q_rad_loss_front (W)     Q_abs_out (W)            Q_abs_in (W)             BHS_int (W)              BHS_front (W)
0.5                      0.1                      5.2051814488240415       5.0849245468925774       367.31042187140156       838.8634234288908        0.055359294677018556     0.055359294677018556     0.5123545145283511       5.260480343312424        -0.24120478750891994     0.58309265225879         4.50183189463379
0.5                      0.3                      1.8723241889941211       1.8170582873669212       362.21381818107886       855.439075389349         0.0340024427788237       0.0340024427788237       0.0803394311220398       1.8590464462680765       -0.0826439982314702      0.5811928428532647       1.23586544451366
0.5                      0.5                      1.1752288940622364       1.1643402888999483       372.0233066452052        881.3847508198362        0.03488335342198401      0.03488335342198402      0.03528864792664014      1.1724011838072133       -0.04981664060886737     0.5830645925397099       0.5812756963602379
0.5                      0.7                      0.8575470785258216       0.8677762022464713       379.6249701416833        893.7204648003029        0.03527191586528518      0.03527191586528517      0.01521521669889332      0.861470460133072        -0.035852369557968645    0.583247858382451        0.28452834386402037
0.5                      0.9                      0.6422347885733591       0.658970487373205        379.4866384944978        875.9398374109444        0.029855447015183122     0.02985544701518304      0.0032248968784883408    0.6508824736122367       -0.027914155215515227    0.5821652902565387       0.07680519711666799
1                        0.1                      19.834797584308436       20.20048316972335        375.27515335595615       822.9259644991423        0.5333453012729921       0.5333453012729921       5.104417259440358        20.536010477167203       -0.969948651458729       2.521323251595759        17.679159918127603
1                        0.3                      7.1715112835589245       7.055519205853574        357.6320269597863        832.9236449276007        0.208303559125389        0.208303559125389        0.5050852342600238       7.138504283794643        -0.3305761035152715      2.5257581486319016       4.529761057221668
1                        0.5                      4.466595475370254        4.474014592155203        362.5127222525797        851.0145623169465        0.19031620669905824      0.19031620669905802      0.19677059372396544      4.4467359882262425       -0.19923030301981814     2.5207187836653997       1.9532958084898067
1                        0.7                      3.3079375867771326       3.3781154518741294       366.0643550299338        866.461862293734         0.19499297871829296      0.19499297871829296      0.08555641119165928      3.2895211570152014       -0.143409514959039       2.522784847620311        0.8553306042538028
1                        0.9                      2.5993264179274775       2.7049303358015484       368.24624804428584       872.3349553962538        0.1898835403851723       0.18988354038517263      0.020309668860283275     2.5874297303488425       -0.11165666907314636     2.521645206318568        0.18328512948295803
2                        0.1                      65.5762385879289         76.38540900304           393.6149667762049        768.7595837905454        5.8201972455863          5.8201972455863          58.89510011385063        73.35859837034441        -3.859277557027473       9.667876298581634        66.71753270445824
2                        0.3                      26.884020873880164       28.14185333330857        361.19020347238546       808.6643399693504        1.8653410384149898       1.8653410384149898       4.739582353088965        27.279806855601898       -1.3227299237066101      9.673694572073336        18.468158761235166
2                        0.5                      16.586703845609755       17.60525181631047        360.36613128345675       817.4891867200566        1.4273734882212241       1.4273734882212252       1.5404202400724216       16.725552251149303       -0.797266733916896       9.675115214014495        7.930136602295982
2                        0.7                      11.947395927313053       13.046271938955853       361.54821895794          818.8808583876195        1.3176522687868326       1.3176522687868346       0.5965414993929993       12.066341873049002       -0.5736382862696134      9.668588838484087        3.377683100471649
2                        0.9                      9.425128914588838        10.55637176040358        361.16298921533416       823.3830461344879        1.2553125810465184       1.25531258104652         0.13429175562840462      9.489698593259906        -0.4473097834769628      9.655656266944423        0.9007154934591092
4                        0.1                      120.65365376624572       160.27859505277038       373.5937220836729        556.9536262187878        10.91263049234804        10.91263049234804        106.83199292866749       162.81006315113618       -15.437116360599905      38.50046387896926        121.77813117380109
4                        0.3                      83.09553646709212        101.276404046416         367.19303390342964       720.6508364986455        13.985238740953266       13.985238740953266       37.24469882859485        90.35439170521812        -5.282703927242263       38.512593420804194       62.76381062561181
4                        0.5                      56.130346726498075       68.26818353680032        361.95400353259606       754.9095444235681        10.847942018335024       10.847942018335006       12.286353256796389       58.858819616557916       -3.185770032777749       38.514897517400165       29.75328601940015
4                        0.7                      41.899679192670966       51.72412407391152        358.26747515013744       764.8736574039714        9.14778382974672         9.147783829746704        4.282567687897908        43.30861346686813        -2.2945537241732823      38.524103605814545       13.200020468096445
4                        0.9                      33.68283568470987        42.03797849363656        355.88569961446126       774.8187143325708        7.744906497170292        7.744906497170301        0.8159896911041828       34.43817430934914        -1.7869081462267677      38.50668499893159        3.5312934947049937
8                        0.1                      126.08369277287608       180.34928663805582       338.9147922004849        389.3318987038597        3.5285364296837596       3.5285364296837596       31.880334756011806       237.90059743848386       -61.790141883734435      131.3196417150341        49.02964492302225
8                        0.3                      142.52011342391688       179.94667437711738       347.9171943821483        509.46844038220183       15.73145853264458        15.73145853264458        38.49200008618151        182.44783614360352       -21.0733672498028        131.3342213202526        48.61245305686571
8                        0.5                      129.5672919922983        171.69086405482886       351.60237406953627       588.8800380441857        28.52590606261122        28.525906062611245       30.726488876183883       150.95691628239956       -12.75544975835663       131.32973297001962       40.36113108480912
8                        0.7                      113.90356680601212       157.07880690724815       350.3047670442413        636.5827070114664        34.05331392157776        34.05331392157766        15.47680420743624        126.13639165837391       -9.178215388926306       131.2862252573424        25.792581649906516
8                        0.9                      99.67082706855874        139.5671101060129        348.8819591491747        668.0625102955076        32.4723640301626         32.472364030162616       3.2885922341452796       107.20229213435246       -7.14571036367053        131.32102485194193       8.246085254071366
