% Model:              Cav_Hex_Unif_flux_v5.1.2 - Wall Distn.mph
% Version:            COMSOL 5.5.0.359
% Date:               Nov 29 2021, 10:19
% Table:              Evaluation Group 1 - 
% R_channel (mm)         emis_x                   Q_abs (W)                Q_BHS (W)                T_g_in (K)               T_g_out (K)              Q_rad_loss (W)           Q_rad_loss_int (W)       Q_rad_loss_front (W)     Q_abs_out (W)            Q_abs_in (W)             BHS_front (W)            BHS_interior (W)         BHS_int(x-walls) (W)     BHS_int(y-walls) (W)
0.5                      0.1                      1.8355571086651643       1.8799635484388526       363.00528885311667       860.0482338903788        0.10989377916795579      0.021386293561520386     0.08850748560643529      1.8206523352967106       -0.07981819943694754     1.3180731067010705       0.561890441737782        0.038496140324277464     0.5233943014135045
0.5                      0.3                      1.8418686205839998       1.887914268570126        363.1494259107171        861.6973248963887        0.11514562880834073      0.025876699353675127     0.08926892945466533      1.8259484919944602       -0.07981820119203564     1.3180731067010705       0.5698411618690556       0.10295401203735448      0.46688714983170115
0.5                      0.5                      1.8469535372475816       1.894466494195213        363.2640846352813        863.0241463789881        0.1202695453962176       0.030390872151775453     0.089878673244442        1.8302096585457612       -0.07981820288588723     1.3180731067010705       0.5763933874941425       0.15515037083363453      0.4212430166605079
0.5                      0.7                      1.8511127973050152       1.8999551670216266       363.3569960600302        864.1083323265998        0.1252963418716358       0.03492119641375385      0.09037514545788133      1.8336915849666342       -0.07981820451678454     1.3180731067010705       0.5818820603205561       0.1984949874786744       0.38338707284188167
0.5                      0.9                      1.8546506002555925       1.90471230541103         363.43564493427493       865.0299349923303        0.13026440122006172      0.03946764147706757      0.0907967597429944       1.83665136460646         -0.07981820608979971     1.3180731067010705       0.5866391987099595       0.23520834624199555      0.3514308524679639
1                        0.1                      4.389315765038461        4.614249635192392        362.84169403353          852.8039358883157        0.33060268254142106      0.11810144099079598      0.21250124155062441      4.36751478100921         -0.19393691704194088     2.1285897036575583       2.485659931534834        0.18772884547343344      2.297931086061401
1                        0.3                      4.401717466001188        4.6374470874931895       362.99251607873526       854.1677724265312        0.3573954906674143       0.1429012407162718       0.2144942499511434       4.378157981428989        -0.19393692186317849     2.1285897036575583       2.5088573838356316       0.4988349357775386       2.010022448058093
1                        0.5                      4.41121315650048         4.656548480249857        363.1097772509227        855.2130386414768        0.3838806779551046       0.16782790951442367      0.2160527684406814       4.386315088700574        -0.19393692634239873     2.1285897036575583       2.5279587765922984       0.7471798847926037       1.7807788917996947
1                        0.7                      4.418622452750332        4.672605747404189        363.20299173012086       856.0297579387425        0.41013548648224746      0.19283833483734417      0.2172971516449033       4.3926886381690196       -0.1939369305257057      2.1285897036575583       2.544016043746631        0.9508059121305799       1.593210131616051
1                        0.9                      4.424432331728334        4.686273925129083        363.27798396836926       856.6715313258426        0.43620032196867964      0.21789858596834677      0.21830173600033242      4.39769692746287         -0.19393693445314536     2.1285897036575583       2.5576842214715247       1.1212911841940119       1.4363930372775127
