Clock Time,Time (s),MFC H2 SP (lpm),MFC CH4 SP (lpm),MFC CO2 SP (lpm),MFC He SP (lpm),MFC H2 (lpm),MFC CH4 (lpm),MFC CO2 (lpm),MFC He (lpm),P1 Limit (mbarg),P2 Limit (mbarg),DP1 Limit (mbar),DP2 Limit (mbar),P1 (mbarg),P2 (mbarg),DP1 (mbar),DP2 (mbar),T1 Limit (°C),T2 Limit (°C),T3 Limit (°C),T4 Limit (°C),T5 Limit (°C),T6 Limit (°C),T7 Limit (°C),T8 Limit (°C),T9 Limit (°C),T10 Limit (°C),T11 Limit (°C),T12 Limit (°C),T13 Limit (°C),T14 Limit (°C),T15 Limit (°C),T16 Limit (°C),T1 (°C),T2 (°C),T3 (°C),T4 (°C),T5 (°C),T6 (°C),T7 (°C),T8 (°C),T09 (°C),T10 (°C),T11 (°C),T12 (°C),T13 (°C),T14 (°C),T15 (°C),T16 (°C),Flow Module,Pressure Module,Temperature Module,Program Started,MFCs Manual,Alarm Triggered,Overpressure,Overtemperature,Emergency User Input,Flows Emergency Stop,Flow Module Comm Error,Pressure Module Comm Error,Temperature Module Comm Error
12:25:24,0.000,2.000,2.500,2.000,2.000,1.985,3.580,2.787,1.380,500.000,200.000,200.000,100.000,0.677,0.389,-0.279,-0.338,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,36.270,23.236,37.947,23.875,21.776,24.994,24.774,308.395,60.276,35.549,52.350,33.624,23.568,23.430,23.557,22.977,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12:25:24,1.000,2.000,2.500,2.000,2.000,1.985,3.580,2.787,1.380,500.000,200.000,200.000,100.000,0.677,0.389,-0.279,-0.338,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,36.270,23.236,37.947,23.875,21.776,24.994,24.774,308.395,60.276,35.549,52.350,33.624,23.568,23.430,23.557,22.977,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12:25:25,2.000,2.000,2.500,2.000,2.000,1.984,3.590,2.782,1.384,500.000,200.000,200.000,100.000,0.677,0.389,-0.272,-0.332,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,36.372,23.241,38.406,23.899,21.791,24.987,24.772,311.906,61.529,35.909,53.140,34.113,23.590,23.425,23.573,22.979,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12:25:26,3.000,2.000,2.500,2.000,2.000,1.984,3.590,2.782,1.384,500.000,200.000,200.000,100.000,0.677,0.389,-0.272,-0.332,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,36.372,23.241,38.406,23.899,21.791,24.987,24.772,311.906,61.529,35.909,53.140,34.113,23.590,23.425,23.573,22.979,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12:25:27,4.000,2.000,2.500,2.000,2.000,1.984,3.590,2.782,1.384,500.000,200.000,200.000,100.000,0.677,0.389,-0.272,-0.332,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,36.372,23.241,38.406,23.899,21.791,24.987,24.772,311.906,61.529,35.909,53.140,34.113,23.590,23.425,23.573,22.979,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12:25:28,5.000,2.000,2.500,2.000,2.000,1.984,3.590,2.782,1.384,500.000,200.000,200.000,100.000,0.677,0.389,-0.272,-0.332,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,36.372,23.241,38.406,23.899,21.791,24.987,24.772,311.906,61.529,35.909,53.140,34.113,23.590,23.425,23.573,22.979,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12:25:29,6.000,2.000,2.500,2.000,2.000,1.979,3.583,2.783,1.381,500.000,200.000,200.000,100.000,0.679,0.387,-0.276,-0.328,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,36.481,23.239,38.860,23.940,21.816,24.979,24.776,315.252,62.820,36.284,53.950,34.619,23.600,23.453,23.585,22.987,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12:25:30,7.000,2.000,2.500,2.000,2.000,1.979,3.583,2.783,1.381,500.000,200.000,200.000,100.000,0.679,0.387,-0.276,-0.328,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,36.481,23.239,38.860,23.940,21.816,24.979,24.776,315.252,62.820,36.284,53.950,34.619,23.600,23.453,23.585,22.987,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12:25:31,8.000,2.000,2.500,2.000,2.000,1.979,3.583,2.783,1.381,500.000,200.000,200.000,100.000,0.679,0.387,-0.276,-0.328,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,36.481,23.239,38.860,23.940,21.816,24.979,24.776,315.252,62.820,36.284,53.950,34.619,23.600,23.453,23.585,22.987,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12:25:32,9.000,2.000,2.500,2.000,2.000,1.984,3.586,2.783,1.380,500.000,200.000,200.000,100.000,0.684,0.391,-0.267,-0.339,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,36.740,23.241,39.251,23.961,21.816,24.958,24.747,318.876,64.090,36.617,54.738,35.134,23.588,23.439,23.585,22.981,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
