time,hour,T3,T8,T9,T10,T11,T12
0,0,293.688,294.839,293.607,293.67,293.493,293.585
1,0.000277778,293.663,294.844,293.59,293.664,293.489,293.578
2,0.000555556,293.663,294.844,293.59,293.664,293.489,293.578
3,0.000833333,293.663,294.844,293.59,293.664,293.489,293.578
4,0.001111111,293.663,294.844,293.59,293.664,293.489,293.578
5,0.001388889,293.674,294.853,293.59,293.652,293.491,293.576
6,0.001666667,293.674,294.853,293.59,293.652,293.491,293.576
7,0.001944444,293.674,294.853,293.59,293.652,293.491,293.576
8,0.002222222,293.673,294.851,293.583,293.649,293.486,293.571
9,0.0025,293.673,294.851,293.583,293.649,293.486,293.571
10,0.002777778,293.673,294.851,293.583,293.649,293.486,293.571
11,0.003055556,293.673,294.851,293.583,293.649,293.486,293.571
12,0.003333333,293.671,294.852,293.597,293.66,293.473,293.567
13,0.003611111,293.671,294.852,293.597,293.66,293.473,293.567
14,0.003888889,293.671,294.852,293.597,293.66,293.473,293.567
15,0.004166667,293.646,294.848,293.571,293.636,293.462,293.559
16,0.004444444,293.646,294.848,293.571,293.636,293.462,293.559
17,0.004722222,293.646,294.848,293.571,293.636,293.462,293.559
18,0.005,293.646,294.848,293.571,293.636,293.462,293.559
19,0.005277778,293.645,294.852,293.568,293.634,293.458,293.572
20,0.005555556,293.645,294.852,293.568,293.634,293.458,293.572
21,0.005833333,293.645,294.852,293.568,293.634,293.458,293.572
22,0.006111111,293.919,298.012,293.607,293.735,295.079,295.392
23,0.006388889,293.919,298.012,293.607,293.735,295.079,295.392
24,0.006666667,293.919,298.012,293.607,293.735,295.079,295.392
25,0.006944444,293.919,298.012,293.607,293.735,295.079,295.392
26,0.007222222,294.337,307.796,293.968,293.887,295.711,297.742
27,0.0075,294.337,307.796,293.968,293.887,295.711,297.742
28,0.007777778,294.337,307.796,293.968,293.887,295.711,297.742
29,0.008055556,294.677,320.114,295.117,294.136,296.611,302.076
30,0.008333333,294.677,320.114,295.117,294.136,296.611,302.076
31,0.008611111,294.677,320.114,295.117,294.136,296.611,302.076
32,0.008888889,294.677,320.114,295.117,294.136,296.611,302.076
33,0.009166667,295.047,332.568,297.161,294.548,297.927,307.536
34,0.009444444,295.047,332.568,297.161,294.548,297.927,307.536
35,0.009722222,295.047,332.568,297.161,294.548,297.927,307.536
36,0.01,295.538,344.977,300.09,295.178,299.194,314.77
37,0.010277778,295.538,344.977,300.09,295.178,299.194,314.77
38,0.010555556,295.538,344.977,300.09,295.178,299.194,314.77
39,0.010833333,295.538,344.977,300.09,295.178,299.194,314.77
40,0.011111111,296.124,357.797,304.089,295.995,300.832,323.277
41,0.011388889,296.124,357.797,304.089,295.995,300.832,323.277
42,0.011666667,296.124,357.797,304.089,295.995,300.832,323.277
43,0.011944444,296.711,369.937,308.621,296.971,302.694,331.835
44,0.012222222,296.711,369.937,308.621,296.971,302.694,331.835
45,0.0125,296.711,369.937,308.621,296.971,302.694,331.835
46,0.012777778,296.711,369.937,308.621,296.971,302.694,331.835
47,0.013055556,297.439,382.326,313.855,298.242,304.527,340.808
48,0.013333333,297.439,382.326,313.855,298.242,304.527,340.808
49,0.013611111,297.439,382.326,313.855,298.242,304.527,340.808
50,0.013888889,298.014,395.045,319.7,299.807,307.617,350.197
51,0.014166667,298.014,395.045,319.7,299.807,307.617,350.197
52,0.014444444,298.014,395.045,319.7,299.807,307.617,350.197
53,0.014722222,298.014,395.045,319.7,299.807,307.617,350.197
54,0.015,298.528,407.135,325.721,301.65,311.425,359.271
55,0.015277778,298.528,407.135,325.721,301.65,311.425,359.271
56,0.015555556,298.528,407.135,325.721,301.65,311.425,359.271
57,0.015833333,299.244,419.303,332.156,303.897,315.45,368.582
58,0.016111111,299.244,419.303,332.156,303.897,315.45,368.582
59,0.016388889,299.244,419.303,332.156,303.897,315.45,368.582
60,0.016666667,300.452,431.207,338.699,306.414,319.485,377.642
61,0.016944444,300.452,431.207,338.699,306.414,319.485,377.642
62,0.017222222,300.452,431.207,338.699,306.414,319.485,377.642
63,0.0175,300.452,431.207,338.699,306.414,319.485,377.642
64,0.017777778,302.073,443.234,345.479,309.198,323.751,386.797
65,0.018055556,302.073,443.234,345.479,309.198,323.751,386.797
66,0.018333333,302.073,443.234,345.479,309.198,323.751,386.797
67,0.018611111,303.909,455.27,352.458,312.209,328.131,395.929
68,0.018888889,303.909,455.27,352.458,312.209,328.131,395.929
69,0.019166667,303.909,455.27,352.458,312.209,328.131,395.929
70,0.019444444,303.909,455.27,352.458,312.209,328.131,395.929
71,0.019722222,305.838,466.899,359.453,315.342,332.568,404.91
72,0.02,305.838,466.899,359.453,315.342,332.568,404.91
73,0.020277778,305.838,466.899,359.453,315.342,332.568,404.91
74,0.020555556,307.811,478.067,366.395,318.565,336.995,413.669
75,0.020833333,307.811,478.067,366.395,318.565,336.995,413.669
76,0.021111111,307.811,478.067,366.395,318.565,336.995,413.669
77,0.021388889,307.811,478.067,366.395,318.565,336.995,413.669
78,0.021666667,309.861,489.332,373.438,321.878,341.447,422.393
79,0.021944444,309.861,489.332,373.438,321.878,341.447,422.393
80,0.022222222,309.861,489.332,373.438,321.878,341.447,422.393
81,0.0225,311.917,500.405,380.506,325.248,346.146,431.011
82,0.022777778,311.917,500.405,380.506,325.248,346.146,431.011
83,0.023055556,311.917,500.405,380.506,325.248,346.146,431.011
84,0.023333333,311.917,500.405,380.506,325.248,346.146,431.011
85,0.023611111,313.991,511.489,387.689,328.724,350.721,439.677
86,0.023888889,313.991,511.489,387.689,328.724,350.721,439.677
87,0.024166667,313.991,511.489,387.689,328.724,350.721,439.677
88,0.024444444,315.958,521.939,394.677,332.124,355.149,448.019
89,0.024722222,315.958,521.939,394.677,332.124,355.149,448.019
90,0.025,315.958,521.939,394.677,332.124,355.149,448.019
91,0.025277778,315.958,521.939,394.677,332.124,355.149,448.019
92,0.025555556,317.995,532.592,402.009,335.728,359.802,456.62
93,0.025833333,317.995,532.592,402.009,335.728,359.802,456.62
94,0.026111111,317.995,532.592,402.009,335.728,359.802,456.62
95,0.026388889,317.995,532.592,402.009,335.728,359.802,456.62
96,0.026666667,319.97,542.992,409.147,339.261,364.288,464.873
97,0.026944444,319.97,542.992,409.147,339.261,364.288,464.873
98,0.027222222,319.97,542.992,409.147,339.261,364.288,464.873
99,0.0275,321.92,552.832,416.088,342.689,368.618,472.906
100,0.027777778,321.92,552.832,416.088,342.689,368.618,472.906
101,0.028055556,321.92,552.832,416.088,342.689,368.618,472.906
102,0.028333333,323.83,562.77,423.212,346.235,373.046,480.996
103,0.028611111,323.83,562.77,423.212,346.235,373.046,480.996
104,0.028888889,323.83,562.77,423.212,346.235,373.046,480.996
105,0.029166667,323.83,562.77,423.212,346.235,373.046,480.996
106,0.029444444,325.714,572.717,430.296,349.757,377.415,489.006
107,0.029722222,325.714,572.717,430.296,349.757,377.415,489.006
108,0.03,325.714,572.717,430.296,349.757,377.415,489.006
109,0.030277778,325.714,572.717,430.296,349.757,377.415,489.006
110,0.030555556,327.493,582.301,437.334,353.249,381.739,496.85
111,0.030833333,327.493,582.301,437.334,353.249,381.739,496.85
112,0.031111111,327.493,582.301,437.334,353.249,381.739,496.85
113,0.031388889,329.278,591.591,444.319,356.703,386.1,504.608
114,0.031666667,329.278,591.591,444.319,356.703,386.1,504.608
115,0.031944444,329.278,591.591,444.319,356.703,386.1,504.608
116,0.032222222,329.278,591.591,444.319,356.703,386.1,504.608
117,0.0325,330.935,600.736,451.313,360.159,390.32,512.335
118,0.032777778,330.935,600.736,451.313,360.159,390.32,512.335
119,0.033055556,330.935,600.736,451.313,360.159,390.32,512.335
120,0.033333333,332.515,609.808,458.141,363.508,394.338,519.73
121,0.033611111,332.515,609.808,458.141,363.508,394.338,519.73
122,0.033888889,332.515,609.808,458.141,363.508,394.338,519.73
123,0.034166667,332.515,609.808,458.141,363.508,394.338,519.73
124,0.034444444,334.005,618.976,465.172,366.963,398.584,527.434
125,0.034722222,334.005,618.976,465.172,366.963,398.584,527.434
126,0.035,334.005,618.976,465.172,366.963,398.584,527.434
127,0.035277778,335.516,627.722,472.036,370.294,402.634,534.868
128,0.035555556,335.516,627.722,472.036,370.294,402.634,534.868
129,0.035833333,335.516,627.722,472.036,370.294,402.634,534.868
130,0.036111111,335.516,627.722,472.036,370.294,402.634,534.868
131,0.036388889,337.093,636.35,478.849,373.598,406.65,542.165
132,0.036666667,337.093,636.35,478.849,373.598,406.65,542.165
133,0.036944444,337.093,636.35,478.849,373.598,406.65,542.165
134,0.037222222,338.589,644.563,485.501,376.824,410.542,549.282
135,0.0375,338.589,644.563,485.501,376.824,410.542,549.282
136,0.037777778,338.589,644.563,485.501,376.824,410.542,549.282
137,0.038055556,338.589,644.563,485.501,376.824,410.542,549.282
138,0.038333333,340.138,652.488,492.261,380.068,414.439,556.437
139,0.038611111,340.138,652.488,492.261,380.068,414.439,556.437
140,0.038888889,340.138,652.488,492.261,380.068,414.439,556.437
141,0.039166667,341.682,660.421,498.919,383.277,418.26,563.477
142,0.039444444,341.682,660.421,498.919,383.277,418.26,563.477
143,0.039722222,341.682,660.421,498.919,383.277,418.26,563.477
144,0.04,341.682,660.421,498.919,383.277,418.26,563.477
145,0.040277778,343.05,668.249,505.512,386.449,422.07,570.408
146,0.040555556,343.05,668.249,505.512,386.449,422.07,570.408
147,0.040833333,343.05,668.249,505.512,386.449,422.07,570.408
148,0.041111111,344.582,675.702,511.938,389.541,425.735,577.13
149,0.041388889,344.582,675.702,511.938,389.541,425.735,577.13
150,0.041666667,344.582,675.702,511.938,389.541,425.735,577.13
151,0.041944444,344.582,675.702,511.938,389.541,425.735,577.13
152,0.042222222,346.181,683.317,518.444,392.663,429.429,583.865
