time,hour,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16
0,0,293.319,293.464,293.688,293.512,291.527,298.347,298.114,294.839,293.607,293.67,293.493,293.585,293.515,293.293,293.508,293.381
1,0.000277778,293.304,293.446,293.663,293.503,291.514,298.351,298.11,294.844,293.59,293.664,293.489,293.578,293.503,293.285,293.509,293.372
2,0.000555556,293.304,293.446,293.663,293.503,291.514,298.351,298.11,294.844,293.59,293.664,293.489,293.578,293.503,293.285,293.509,293.372
3,0.000833333,293.304,293.446,293.663,293.503,291.514,298.351,298.11,294.844,293.59,293.664,293.489,293.578,293.503,293.285,293.509,293.372
4,0.001111111,293.304,293.446,293.663,293.503,291.514,298.351,298.11,294.844,293.59,293.664,293.489,293.578,293.503,293.285,293.509,293.372
5,0.001388889,293.317,293.466,293.674,293.523,291.511,298.385,298.139,294.853,293.59,293.652,293.491,293.576,293.501,293.283,293.513,293.385
6,0.001666667,293.317,293.466,293.674,293.523,291.511,298.385,298.139,294.853,293.59,293.652,293.491,293.576,293.501,293.283,293.513,293.385
7,0.001944444,293.317,293.466,293.674,293.523,291.511,298.385,298.139,294.853,293.59,293.652,293.491,293.576,293.501,293.283,293.513,293.385
8,0.002222222,293.318,293.472,293.673,293.521,291.514,298.415,298.164,294.851,293.583,293.649,293.486,293.571,293.492,293.286,293.503,293.373
9,0.0025,293.318,293.472,293.673,293.521,291.514,298.415,298.164,294.851,293.583,293.649,293.486,293.571,293.492,293.286,293.503,293.373
10,0.002777778,293.318,293.472,293.673,293.521,291.514,298.415,298.164,294.851,293.583,293.649,293.486,293.571,293.492,293.286,293.503,293.373
11,0.003055556,293.318,293.472,293.673,293.521,291.514,298.415,298.164,294.851,293.583,293.649,293.486,293.571,293.492,293.286,293.503,293.373
12,0.003333333,293.315,293.471,293.671,293.526,291.523,298.435,298.185,294.852,293.597,293.66,293.473,293.567,293.498,293.287,293.508,293.377
13,0.003611111,293.315,293.471,293.671,293.526,291.523,298.435,298.185,294.852,293.597,293.66,293.473,293.567,293.498,293.287,293.508,293.377
14,0.003888889,293.315,293.471,293.671,293.526,291.523,298.435,298.185,294.852,293.597,293.66,293.473,293.567,293.498,293.287,293.508,293.377
15,0.004166667,293.296,293.458,293.646,293.514,291.484,298.44,298.186,294.848,293.571,293.636,293.462,293.559,293.479,293.273,293.496,293.361
16,0.004444444,293.296,293.458,293.646,293.514,291.484,298.44,298.186,294.848,293.571,293.636,293.462,293.559,293.479,293.273,293.496,293.361
17,0.004722222,293.296,293.458,293.646,293.514,291.484,298.44,298.186,294.848,293.571,293.636,293.462,293.559,293.479,293.273,293.496,293.361
18,0.005,293.296,293.458,293.646,293.514,291.484,298.44,298.186,294.848,293.571,293.636,293.462,293.559,293.479,293.273,293.496,293.361
19,0.005277778,293.309,293.458,293.645,293.514,291.485,298.459,298.216,294.852,293.568,293.634,293.458,293.572,293.493,293.283,293.499,293.376
20,0.005555556,293.309,293.458,293.645,293.514,291.485,298.459,298.216,294.852,293.568,293.634,293.458,293.572,293.493,293.283,293.499,293.376
21,0.005833333,293.309,293.458,293.645,293.514,291.485,298.459,298.216,294.852,293.568,293.634,293.458,293.572,293.493,293.283,293.499,293.376
22,0.006111111,296.82,293.463,293.919,293.523,291.48,298.488,298.236,298.012,293.607,293.735,295.079,295.392,293.485,293.289,293.501,293.375
23,0.006388889,296.82,293.463,293.919,293.523,291.48,298.488,298.236,298.012,293.607,293.735,295.079,295.392,293.485,293.289,293.501,293.375
24,0.006666667,296.82,293.463,293.919,293.523,291.48,298.488,298.236,298.012,293.607,293.735,295.079,295.392,293.485,293.289,293.501,293.375
