Clock Time,Time (s),MFC H2 SP (lpm),MFC CH4 SP (lpm),MFC CO2 SP (lpm),MFC He SP (lpm),MFC H2 (lpm),MFC CH4 (lpm),MFC CO2 (lpm),MFC He (lpm),P1 Limit (mbarg),P2 Limit (mbarg),DP1 Limit (mbar),DP2 Limit (mbar),P1 (mbarg),P2 (mbarg),DP1 (mbar),DP2 (mbar),T1 Limit (°C),T2 Limit (°C),T3 Limit (°C),T4 Limit (°C),T5 Limit (°C),T6 Limit (°C),T7 Limit (°C),T8 Limit (°C),T9 Limit (°C),T10 Limit (°C),T11 Limit (°C),T12 Limit (°C),T13 Limit (°C),T14 Limit (°C),T15 Limit (°C),T16 Limit (°C),T1 (°C),T2 (°C),T3 (°C),T4 (°C),T5 (°C),T6 (°C),T7 (°C),T8 (°C),T09 (°C),T10 (°C),T11 (°C),T12 (°C),T13 (°C),T14 (°C),T15 (°C),T16 (°C),Flow Module,Pressure Module,Temperature Module,Program Started,MFCs Manual,Alarm Triggered,Overpressure,Overtemperature,Emergency User Input,Flows Emergency Stop,Flow Module Comm Error,Pressure Module Comm Error,Temperature Module Comm Error
16:13:15,0.000,4.000,4.000,2.000,2.000,3.959,5.718,2.786,1.382,500.000,200.000,200.000,100.000,0.697,0.391,0.062,-0.293,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,38.015,34.934,49.420,23.441,19.760,24.747,24.574,37.110,45.844,48.715,46.834,44.712,22.701,22.418,22.122,22.291,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16:13:15,1.000,4.000,4.000,2.000,2.000,3.959,5.718,2.786,1.382,500.000,200.000,200.000,100.000,0.697,0.391,0.062,-0.293,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,38.015,34.934,49.420,23.441,19.760,24.747,24.574,37.110,45.844,48.715,46.834,44.712,22.701,22.418,22.122,22.291,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16:13:16,2.000,4.000,4.000,2.000,2.000,3.959,5.718,2.786,1.382,500.000,200.000,200.000,100.000,0.697,0.391,0.062,-0.293,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,38.015,34.934,49.420,23.441,19.760,24.747,24.574,37.110,45.844,48.715,46.834,44.712,22.701,22.418,22.122,22.291,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16:13:17,3.000,4.000,4.000,2.000,2.000,3.959,5.718,2.786,1.382,500.000,200.000,200.000,100.000,0.697,0.391,0.062,-0.293,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,38.015,34.934,49.420,23.441,19.760,24.747,24.574,37.110,45.844,48.715,46.834,44.712,22.701,22.418,22.122,22.291,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16:13:18,4.000,4.000,4.000,2.000,2.000,3.961,5.721,2.773,1.380,500.000,200.000,200.000,100.000,0.700,0.390,0.075,-0.293,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,37.749,34.917,49.429,23.490,19.769,24.718,24.538,36.641,45.765,48.751,46.916,44.366,22.700,22.422,22.123,22.291,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16:13:19,5.000,4.000,4.000,2.000,2.000,3.961,5.721,2.773,1.380,500.000,200.000,200.000,100.000,0.700,0.390,0.075,-0.293,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,37.749,34.917,49.429,23.490,19.769,24.718,24.538,36.641,45.765,48.751,46.916,44.366,22.700,22.422,22.123,22.291,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16:13:20,6.000,4.000,4.000,2.000,2.000,3.961,5.721,2.773,1.380,500.000,200.000,200.000,100.000,0.700,0.390,0.075,-0.293,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,37.749,34.917,49.429,23.490,19.769,24.718,24.538,36.641,45.765,48.751,46.916,44.366,22.700,22.422,22.123,22.291,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16:13:21,7.000,4.000,4.000,2.000,2.000,3.961,5.716,2.784,1.382,500.000,200.000,200.000,100.000,0.692,0.388,0.066,-0.299,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,37.466,34.893,49.422,23.529,19.748,24.670,24.501,36.242,45.607,48.757,46.908,43.962,22.683,22.408,22.107,22.284,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16:13:22,8.000,4.000,4.000,2.000,2.000,3.961,5.716,2.784,1.382,500.000,200.000,200.000,100.000,0.692,0.388,0.066,-0.299,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,37.466,34.893,49.422,23.529,19.748,24.670,24.501,36.242,45.607,48.757,46.908,43.962,22.683,22.408,22.107,22.284,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16:13:23,9.000,4.000,4.000,2.000,2.000,3.961,5.716,2.784,1.382,500.000,200.000,200.000,100.000,0.692,0.388,0.066,-0.299,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,37.466,34.893,49.422,23.529,19.748,24.670,24.501,36.242,45.607,48.757,46.908,43.962,22.683,22.408,22.107,22.284,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
