Clock Time,Time (s),MFC H2 SP (lpm),MFC CH4 SP (lpm),MFC CO2 SP (lpm),MFC He SP (lpm),MFC H2 (lpm),MFC CH4 (lpm),MFC CO2 (lpm),MFC He (lpm),P1 Limit (mbarg),P2 Limit (mbarg),DP1 Limit (mbar),DP2 Limit (mbar),P1 (mbarg),P2 (mbarg),DP1 (mbar),DP2 (mbar),T1 Limit (°C),T2 Limit (°C),T3 Limit (°C),T4 Limit (°C),T5 Limit (°C),T6 Limit (°C),T7 Limit (°C),T8 Limit (°C),T9 Limit (°C),T10 Limit (°C),T11 Limit (°C),T12 Limit (°C),T13 Limit (°C),T14 Limit (°C),T15 Limit (°C),T16 Limit (°C),T1 (°C),T2 (°C),T3 (°C),T4 (°C),T5 (°C),T6 (°C),T7 (°C),T8 (°C),T09 (°C),T10 (°C),T11 (°C),T12 (°C),T13 (°C),T14 (°C),T15 (°C),T16 (°C),Flow Module,Pressure Module,Temperature Module,Program Started,MFCs Manual,Alarm Triggered,Overpressure,Overtemperature,Emergency User Input,Flows Emergency Stop,Flow Module Comm Error,Pressure Module Comm Error,Temperature Module Comm Error
11:28:37,0.000,1.000,1.000,2.000,2.000,0.992,1.435,2.793,1.383,500.000,200.000,200.000,100.000,0.695,0.373,0.241,-0.298,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,428.819,43.016,288.192,36.362,21.566,25.137,25.006,437.825,440.068,328.678,353.379,462.243,24.916,24.731,23.300,23.512,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11:28:38,1.000,1.000,1.000,2.000,2.000,0.992,1.435,2.793,1.383,500.000,200.000,200.000,100.000,0.695,0.373,0.241,-0.298,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,428.819,43.016,288.192,36.362,21.566,25.137,25.006,437.825,440.068,328.678,353.379,462.243,24.916,24.731,23.300,23.512,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11:28:39,2.000,1.000,1.000,2.000,2.000,0.992,1.435,2.793,1.383,500.000,200.000,200.000,100.000,0.695,0.373,0.241,-0.298,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,428.819,43.016,288.192,36.362,21.566,25.137,25.006,437.825,440.068,328.678,353.379,462.243,24.916,24.731,23.300,23.512,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11:28:40,3.000,1.000,1.000,2.000,2.000,0.992,1.435,2.793,1.383,500.000,200.000,200.000,100.000,0.695,0.373,0.241,-0.298,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,428.819,43.016,288.192,36.362,21.566,25.137,25.006,437.825,440.068,328.678,353.379,462.243,24.916,24.731,23.300,23.512,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11:28:41,4.000,1.000,1.000,2.000,2.000,1.001,1.444,2.781,1.382,500.000,200.000,200.000,100.000,0.692,0.378,0.240,-0.308,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,429.066,43.039,288.217,36.374,21.589,25.141,25.028,437.635,440.089,328.678,352.923,461.680,24.932,24.737,23.306,23.514,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11:28:42,5.000,1.000,1.000,2.000,2.000,1.001,1.444,2.781,1.382,500.000,200.000,200.000,100.000,0.692,0.378,0.240,-0.308,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,429.066,43.039,288.217,36.374,21.589,25.141,25.028,437.635,440.089,328.678,352.923,461.680,24.932,24.737,23.306,23.514,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11:28:43,6.000,1.000,1.000,2.000,2.000,1.001,1.444,2.781,1.382,500.000,200.000,200.000,100.000,0.692,0.378,0.240,-0.308,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,429.066,43.039,288.217,36.374,21.589,25.141,25.028,437.635,440.089,328.678,352.923,461.680,24.932,24.737,23.306,23.514,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11:28:44,7.000,1.000,1.000,2.000,2.000,1.001,1.444,2.781,1.382,500.000,200.000,200.000,100.000,0.692,0.378,0.240,-0.308,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,429.066,43.039,288.217,36.374,21.589,25.141,25.028,437.635,440.089,328.678,352.923,461.680,24.932,24.737,23.306,23.514,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11:28:45,8.000,1.000,1.000,2.000,2.000,0.994,1.438,2.782,1.384,500.000,200.000,200.000,100.000,0.694,0.378,0.243,-0.317,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,425.118,43.039,287.934,36.364,21.580,25.137,25.022,434.326,440.057,328.589,352.384,461.347,24.932,24.739,23.294,23.503,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11:28:46,9.000,1.000,1.000,2.000,2.000,0.994,1.438,2.782,1.384,500.000,200.000,200.000,100.000,0.694,0.378,0.243,-0.317,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,425.118,43.039,287.934,36.364,21.580,25.137,25.022,434.326,440.057,328.589,352.384,461.347,24.932,24.739,23.294,23.503,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11:28:47,10.000,1.000,1.000,2.000,2.000,0.994,1.438,2.782,1.384,500.000,200.000,200.000,100.000,0.694,0.378,0.243,-0.317,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,425.118,43.039,287.934,36.364,21.580,25.137,25.022,434.326,440.057,328.589,352.384,461.347,24.932,24.739,23.294,23.503,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
