% Model:              Cav_Hex_validation_v7.0 - full receiver.mph
% Version:            COMSOL 6.0.0.354
% Date:               Apr 14 2025, 10:47
% Table:              T03 (gas) - exp. 67 - 
% Time (hr)                                       T03 (K)
0                                                 296.578
2.77778E-4                                        296.939
5.55556E-4                                        296.939
8.33334E-4                                        296.939
0.001111112                                       296.939
0.00138889                                        297.235
0.001666668                                       297.235
0.001944446                                       297.235
0.002222224                                       297.551
0.002500002                                       297.551
0.00277778                                        297.551
0.003055558                                       297.921
0.003333336                                       297.921
0.003611114                                       297.921
0.003888892                                       297.921
0.00416667                                        298.344
0.004444448                                       298.344
0.004722226                                       298.344
0.005000004                                       298.344
0.005277782                                       299.051
0.00555556                                        299.051
0.005833338                                       299.051
0.006111116                                       299.786
0.006388894                                       299.786
0.006666672                                       299.786
0.00694445                                        300.82
0.007222228                                       300.82
0.007500006                                       300.82
0.007777784                                       300.82
0.008055562                                       302.249
0.00833334                                        302.249
0.008611118                                       302.249
0.008888896                                       303.903
0.009166674                                       303.903
0.009444452                                       303.903
0.00972223                                        303.903
0.010000008                                       305.731
0.010277786                                       305.731
0.010555564                                       305.731
0.010833342                                       307.677
0.01111112                                        307.677
0.011388898                                       307.677
0.011666676                                       307.677
0.011944454                                       309.644
0.012222232                                       309.644
0.01250001                                        309.644
0.012777788                                       311.821
0.013055566                                       311.821
0.013333344                                       311.821
0.013611122                                       311.821
0.0138889                                         314.104
0.014166678                                       314.104
0.014444456                                       314.104
0.014722234                                       316.394
0.015000012                                       316.394
0.01527779                                        316.394
0.015555568                                       316.394
0.015833346                                       318.675
0.016111124                                       318.675
0.016388902                                       318.675
0.01666668                                        321.123
0.016944458                                       321.123
0.017222236                                       321.123
0.017500014                                       321.123
0.017777792                                       323.408
0.01805557                                        323.408
0.018333348                                       323.408
0.018611126                                       325.822
0.018888904                                       325.822
0.019166682                                       325.822
0.01944446                                        325.822
0.019722238                                       327.391
0.020000016                                       327.391
0.020277794                                       327.391
0.020555572                                       329.238
0.02083335                                        329.238
0.021111128                                       329.238
0.021388906                                       332.061
0.021666684                                       332.061
0.021944462                                       332.061
0.02222224                                        332.061
0.022500018                                       333.925
0.022777796                                       333.925
0.023055574                                       333.925
0.023333352                                       336.106
0.02361113                                        336.106
0.023888908                                       336.106
0.024166686                                       336.106
0.024444464                                       339
0.024722242                                       339
0.02500002                                        339
0.025277798                                       341.837
0.025555576                                       341.837
0.025833354                                       341.837
0.026111132                                       341.837
0.02638891                                        342.962
0.026666688                                       342.962
0.026944466                                       342.962
0.027222244                                       343.979
0.027500022                                       343.979
0.0277778                                         343.979
0.028055578                                       343.979
0.028333356                                       345.431
0.028611134                                       345.431
0.028888912                                       345.431
0.02916669                                        346.39
0.029444468                                       346.39
0.029722246                                       346.39
0.030000024                                       346.39
0.030277802                                       347.664
0.03055558                                        347.664
0.030833358                                       347.664
0.031111136                                       349.681
0.031388914                                       349.681
0.031666692                                       349.681
0.03194447                                        349.681
0.032222248                                       351.132
0.032500026                                       351.132
0.032777804                                       351.132
0.033055582                                       352.616
0.03333336                                        352.616
0.033611138                                       352.616
0.033888916                                       352.616
0.034166694                                       354.489
0.034444472                                       354.489
0.03472225                                        354.489
0.035000028                                       356.058
0.035277806                                       356.058
0.035555584                                       356.058
0.035833362                                       356.058
0.03611114                                        357.663
0.036388918                                       357.663
0.036666696                                       357.663
0.036944474                                       359.105
0.037222252                                       359.105
0.03750003                                        359.105
0.037777808                                       359.105
0.038055586                                       360.718
0.038333364                                       360.718
0.038611142                                       360.718
0.03888892                                        362.355
0.039166698                                       362.355
0.039444476                                       362.355
0.039722254                                       362.355
0.040000032                                       363.983
0.04027781                                        363.983
0.040555588                                       363.983
0.040833366                                       365.853
0.041111144                                       365.853
0.041388922                                       365.853
0.0416667                                         365.853
0.041944478                                       367.64
0.042222256                                       367.64
0.042500034                                       367.64
0.042777812                                       369.39
0.04305559                                        369.39
0.043333368                                       369.39
0.043611146                                       371.301
0.043888924                                       371.301
0.044166702                                       371.301
0.04444448                                        371.301
0.044722258                                       373.029
0.045000036                                       373.029
0.045277814                                       373.029
0.045555592                                       374.752
0.04583337                                        374.752
0.046111148                                       374.752
0.046388926                                       374.752
0.046666704                                       376.389
0.046944482                                       376.389
0.04722226                                        376.389
0.047500038                                       378.137
0.047777816                                       378.137
0.048055594                                       378.137
0.048333372                                       378.137
0.04861115                                        379.723
0.048888928                                       379.723
0.049166706                                       379.723
0.049444484                                       381.472
0.049722262                                       381.472
0.05000004                                        381.472
0.050277818                                       381.472
0.050555596                                       382.878
0.050833374                                       382.878
0.051111152                                       382.878
0.05138893                                        384.22
0.051666708                                       384.22
0.051944486                                       384.22
0.052222264                                       384.22
0.052500042                                       385.771
0.05277782                                        385.771
0.053055598                                       385.771
0.053333376                                       387.241
0.053611154                                       387.241
0.053888932                                       387.241
0.05416671                                        387.241
0.054444488                                       388.897
0.054722266                                       388.897
0.055000044                                       388.897
0.055277822                                       390.462
0.0555556                                         390.462
0.055833378                                       390.462
0.056111156                                       390.462
0.056388934                                       392.253
