run,G_del_kW_m2,q_sLmin,mdot_g_s,Re,Re_sd,Gz_L,Tw_bar_K,T3_K,eps,eps_sd,NTU,NTU_sd,Nu_app,Nu_app_sd,Lambda_107,I_vol_K,PR_del_kJ_kg,eta
E71,523,7.13,0.1426,34.0,0.7,0.254,1046.8,753.3,0.607,0.002,0.933,0.005,0.0444,0.0011,0.0608,-83.5,1323.0,0.347
E70,523,9.11,0.1822,42.7,0.9,0.32,1045.0,779.3,0.644,0.002,1.032,0.005,0.0626,0.0015,0.0664,-31.1,1036.0,0.474
E69,523,10.5,0.2099,49.6,1.0,0.372,998.7,769.6,0.674,0.002,1.12,0.006,0.0799,0.0019,0.0733,11.5,899.0,0.541
E68,523,12.5,0.25,58.9,1.2,0.441,979.5,772.9,0.697,0.002,1.192,0.007,0.1022,0.0024,0.0812,35.1,755.0,0.642
E67,523,15.28,0.3056,72.5,1.5,0.543,935.1,763.6,0.731,0.002,1.315,0.008,0.1407,0.0033,0.0939,53.5,617.0,0.779
E76,408,4.53,0.0906,23.3,0.5,0.175,907.7,646.7,0.573,0.002,0.851,0.005,0.0278,0.0007,0.0547,-97.9,1627.0,0.219
E75,408,6.95,0.1389,34.9,0.7,0.261,910.9,680.8,0.625,0.002,0.982,0.006,0.0488,0.0012,0.0636,-29.1,1061.0,0.369
E74,408,9.03,0.1805,44.7,0.9,0.335,895.8,697.5,0.669,0.002,1.106,0.007,0.0718,0.0017,0.0714,13.8,817.0,0.502
E73,408,13.17,0.2634,65.4,1.3,0.49,840.2,694.3,0.731,0.003,1.314,0.009,0.1284,0.0031,0.09,56.6,560.0,0.724
E72,408,18.32,0.3663,94.0,1.9,0.704,757.5,652.7,0.773,0.003,1.481,0.013,0.2126,0.0052,0.1144,60.7,402.0,0.902
E81,238,4.53,0.0905,25.2,0.6,0.19,699.9,550.2,0.628,0.003,0.988,0.009,0.0373,0.001,0.0661,-9.4,950.0,0.267
E80,238,6.61,0.1321,36.4,0.8,0.274,685.7,561.0,0.68,0.004,1.138,0.011,0.0631,0.0016,0.0751,25.8,651.0,0.41
E79,238,8.04,0.1607,44.4,0.9,0.334,668.7,559.7,0.707,0.004,1.227,0.013,0.0839,0.0021,0.0817,39.6,535.0,0.496
E78,238,10.01,0.2002,55.5,1.1,0.418,643.2,554.2,0.742,0.004,1.355,0.015,0.1176,0.003,0.0907,54.0,430.0,0.599
E77,238,13.85,0.2769,78.7,1.6,0.594,588.9,525.0,0.781,0.005,1.518,0.021,0.1915,0.0052,0.1108,58.1,311.0,0.738
