ID,sensor,t,theta
C69,T8,0.0,1.0
C69,T8,6.0,0.9944261838476867
C69,T8,12.0,0.9378098747222524
C69,T8,18.0,0.8726568192334605
C69,T8,24.0,0.816914731566055
C69,T8,30.0,0.7918829443988101
C69,T8,36.0,0.7471693959930961
C69,T8,42.0,0.708288789261686
C69,T8,48.0,0.6904549332608472
C69,T8,54.0,0.6580995783104735
C69,T8,60.0,0.6286233958266623
C69,T8,66.0,0.6009035085474541
C69,T8,72.0,0.5890400092704594
C69,T8,78.0,0.5672603782756724
C69,T8,84.0,0.5458170869735702
C69,T8,90.0,0.5267098515136562
C69,T8,96.0,0.5180409249597884
C69,T8,102.0,0.5002973702772189
C69,T8,108.0,0.4840235022673538
C69,T8,114.0,0.47664758589392386
C69,T8,120.0,0.4622739717119898
C69,T8,126.0,0.4480246854320211
C69,T8,132.0,0.43470720405941266
C69,T8,138.0,0.42897241599192326
C69,T8,144.0,0.4171795873118353
C69,T8,150.0,0.4053946109202922
C69,T8,156.0,0.3999712969650947
C69,T8,162.0,0.3889532274214636
C69,T8,168.0,0.3787452523127423
C69,T8,174.0,0.3692832446158124
C69,T8,180.0,0.36454700590831707
C69,T8,186.0,0.3538718196311584
C69,T8,192.0,0.3454135961532526
C69,T8,198.0,0.3375547640342947
C69,T8,204.0,0.3340696566349966
C69,T8,210.0,0.32591636369559507
C69,T8,216.0,0.319126751533538
C69,T8,222.0,0.3157895289018407
C69,T8,228.0,0.3084607262596817
C69,T8,234.0,0.30097356913186196
C69,T8,240.0,0.29301265726181697
C69,T8,246.0,0.2894477182623098
C69,T8,252.0,0.28377836593269695
C69,T8,258.0,0.27829485109865304
C69,T8,264.0,0.27534500803518414
C69,T8,270.0,0.27020306775285524
C69,T8,276.0,0.2643661999342787
C69,T8,282.0,0.2586091637159114
C69,T8,288.0,0.2561474712570006
C69,T8,294.0,0.2504558707765098
C69,T8,300.0,0.24514248886094467
C69,T8,306.0,0.24092319248267324
C69,T8,312.0,0.23900592536289422
C69,T8,318.0,0.23480887713550078
C69,T8,324.0,0.2304299175568109
C69,T8,330.0,0.22866577006366257
C69,T8,336.0,0.22554317665219994
C69,T8,342.0,0.22128331011644514
C69,T8,348.0,0.2182222262985863
C69,T8,354.0,0.21706008759390114
C69,T8,360.0,0.21435235676057496
C69,T8,366.0,0.2110753350077239
C69,T8,372.0,0.20942766312799577
C69,T8,378.0,0.2051062869986371
C69,T8,384.0,0.2026550642577864
C69,T8,390.0,0.1993754250754204
C69,T8,396.0,0.19802614016040862
C69,T8,402.0,0.19527522174008405
C69,T8,408.0,0.19261591335278644
C69,T8,414.0,0.1899526788212162
C69,T8,420.0,0.18834688581372885
C69,T8,426.0,0.18545331748483362
C69,T8,432.0,0.18301649060631586
C69,T8,438.0,0.18060191187867602
C69,T8,444.0,0.1795248396332302
C69,T8,450.0,0.17696761099701985
C69,T8,456.0,0.17413555226172842
C69,T8,462.0,0.17313569418697683
C69,T8,468.0,0.1706949411641864
C69,T8,474.0,0.16827512757751642
C69,T8,480.0,0.16619165368353128
C69,T8,486.0,0.16548625642922352
C69,T8,492.0,0.1634721444173874
C69,T8,498.0,0.16168967491763372
C69,T8,504.0,0.16057203251470453
C69,T8,510.0,0.15851473291586995
C69,T8,516.0,0.1565529694943349
C69,T8,522.0,0.1548725797456685
C69,T8,528.0,0.15421560493738926
C69,T8,534.0,0.15239910885393992
C69,T8,540.0,0.1503221785337424
C69,T8,546.0,0.14907497336981787
C69,T8,552.0,0.14723230299121798
C69,T8,558.0,0.1456788585740318
C69,T8,564.0,0.14407437428130204
C69,T8,570.0,0.14335196373514636
C69,T8,576.0,0.14136533473321827
C69,T8,582.0,0.13954883864976894
C69,T8,588.0,0.1378318048878918
C69,T8,594.0,0.13706751546949514
C69,T8,600.0,0.13538843443558632
C69,T8,606.0,0.13463330602049237
C69,T8,612.0,0.13412683340932896
C69,T8,618.0,0.13253936240844705
C69,T8,624.0,0.13122541279188854
C69,T8,630.0,0.12985911458502897
C69,T8,636.0,0.12936834655095583
C69,T8,642.0,0.12791959931437188
C69,T8,648.0,0.12637008104145836
C69,T8,654.0,0.12448814922013259
C69,T8,660.0,0.12399607247130189
C69,T8,666.0,0.12253816423141532
C69,T8,672.0,0.12162337261590297
C69,T8,678.0,0.12127656320515798
C69,T8,684.0,0.12005029747735389
C69,T8,690.0,0.11887114548082083
C69,T8,696.0,0.11787913969461436
C69,T8,702.0,0.11738444551626866
C69,T8,708.0,0.11622623295585606
C69,T8,714.0,0.11479188158160498
C69,T8,720.0,0.11410088018962998
C69,T8,726.0,0.1128916277536738
C69,T8,732.0,0.11189438710843712
C69,T8,738.0,0.11112617154576798
C69,T8,744.0,0.11058436363615126
C69,T8,750.0,0.1093450107607719
C69,T8,756.0,0.108493037453621
C69,T8,762.0,0.10813575832481573
C69,T8,768.0,0.10699848520052355
C69,T8,774.0,0.10581148091544534
C69,T8,780.0,0.10471739537815161
C69,T8,786.0,0.10436142496410392
C69,T8,792.0,0.10365733642455364
C69,T8,798.0,0.1024637885656878
C69,T8,804.0,0.10164845927174765
C69,T8,810.0,0.09997330438211131
C69,T8,816.0,0.09902841232717587
C69,T8,822.0,0.09835442422704878
C69,T8,828.0,0.09781915989121961
C69,T8,834.0,0.0967708793704394
C69,T8,840.0,0.09580635659414105
C69,T8,846.0,0.09515723407440693
C69,T8,852.0,0.09481304209317701
C69,T8,858.0,0.09420448973092635
C69,T8,864.0,0.0934598310338927
C69,T8,870.0,0.09311956519693533
C69,T8,876.0,0.0924141679426275
C69,T8,882.0,0.09168259639316918
C69,T8,888.0,0.09111330547364434
C69,T8,894.0,0.09076911349241441
C69,T8,900.0,0.09021421843522234
C69,T8,906.0,0.08938580199370691
C69,T8,912.0,0.08885184637263532
C69,T8,918.0,0.08828124673835298
C69,T8,924.0,0.08737823355565842
C69,T8,930.0,0.08663750100289733
C69,T8,936.0,0.08636790576284646
C69,T8,942.0,0.08608260594570533
C69,T8,948.0,0.08520838448767638
C69,T8,954.0,0.08478959576526732
C69,T8,960.0,0.08449906108909597
C69,T8,966.0,0.08375440239206239
C69,T8,972.0,0.08311705830514604
C69,T8,978.0,0.08267209528758643
C69,T8,984.0,0.08188163157403924
C69,T8,990.0,0.08131364936927198
C69,T8,996.0,0.0808071767581085
C69,T8,1002.0,0.08025097298615894
C69,T8,1008.0,0.07960446789593996
C69,T8,1014.0,0.07896319766475106
C69,T8,1020.0,0.0785051474996161
C69,T8,1026.0,0.07827350498753363
C69,T8,1032.0,0.07773824065170454
C69,T8,1038.0,0.0773364652211433
C69,T8,1044.0,0.07707472226963757
C69,T8,1050.0,0.07645439147456914
C69,T8,1056.0,0.07581181252862275
C69,T8,1062.0,0.07535899722251793
C69,T8,1068.0,0.07423742867531609
C69,T8,1074.0,0.07305042439023789
C69,T8,1080.0,0.07249160318877332
C69,T8,1086.0,0.0722272428077526
