reference,Re,Nu,eps,NTU,Io
front wall only,72.17395065171827,0.139088022796266,0.7256577917755335,1.2933790167389791,456.0
front wall only,58.598027575244274,0.09247049410776365,0.6643214137288808,1.091601165320492,456.0
front wall only,49.374652256004474,0.06734338962174595,0.619999708601199,0.9675832594230497,456.0
front wall only,42.50978017596672,0.04796976204357034,0.5637767004821133,0.8296010118821008,456.0
front wall only,33.80934115548225,0.030843621638289066,0.5011435414526599,0.6954368828339441,456.0
front wall only,93.56038855243297,0.24369071202881856,0.8077145759369058,1.6487744271640354,304.0
front wall only,65.22703340944882,0.1307509128643722,0.7327305858050017,1.3194980873936637,304.0
front wall only,44.602655095723684,0.06103286557213917,0.6150655214700533,0.9546821448140737,304.0
front wall only,34.74601995940847,0.03709078403453654,0.5394219005156965,0.7752728405238494,304.0
front wall only,23.23589472666353,0.018416627555987514,0.4538511504587438,0.6048637221833942,304.0
front wall only,78.49011279022986,0.24939171681645994,0.8510694536964274,1.9042752139008474,256.0
front wall only,55.26077460761094,0.129291972969282,0.7659995427909021,1.4524322097413107,256.0
front wall only,44.19698059298405,0.08149985732711797,0.6923703856280341,1.178858770393279,256.0
front wall only,36.297405682694915,0.05669144766870346,0.6397677219102903,1.021006238679063,256.0
front wall only,25.082030731501927,0.02926839438430805,0.547326411108033,0.7925839675455085,256.0
mid wall only,72.17395065171827,0.11603181170110392,0.6699553823359046,1.1085274286182758,456.0
mid wall only,58.598027575244274,0.08353290344518993,0.6331832954329113,1.002892998287052,456.0
mid wall only,49.374652256004474,0.06531453904490654,0.610755801647611,0.9435483730614713,456.0
mid wall only,42.50978017596672,0.051584488269624806,0.5851190350764797,0.8797636314050535,456.0
mid wall only,33.80934115548225,0.03697965997612805,0.5521948319079228,0.8033970338120009,456.0
mid wall only,93.56038855243297,0.1762075435211331,0.7099463209931437,1.2376892731068707,304.0
mid wall only,65.22703340944882,0.10456063922095445,0.663461606659236,1.0890430402965665,304.0
mid wall only,44.602655095723684,0.05853383244939398,0.6023493894803292,0.9221815222609944,304.0
mid wall only,34.74601995940847,0.04013436943025012,0.5624332767846862,0.8265260746065357,304.0
mid wall only,23.23589472666353,0.023468064741747056,0.5197561583892831,0.733461300714562,304.0
mid wall only,78.49011279022986,0.15040885265916573,0.6993077462492636,1.201667950041993,256.0
mid wall only,55.26077460761094,0.09227797313618397,0.6595239631681853,1.07741053228081,256.0
mid wall only,44.19698059298405,0.06634812676996911,0.6270027430908853,0.9861842134964232,256.0
mid wall only,36.297405682694915,0.05030794919649875,0.6022054452099803,0.9218196009666104,256.0
mid wall only,25.082030731501927,0.030398709277811506,0.5587483053314088,0.8181398301333005,256.0
wall quadrature,72.17395065171827,0.14174460987214232,0.7314282038116913,1.3146370034281363,456.0
wall quadrature,58.598027575244274,0.10267019456226766,0.6965279220403628,1.192465672847847,456.0
wall quadrature,49.374652256004474,0.08023714310947502,0.6735845378652715,1.11958428527789,456.0
wall quadrature,42.50978017596672,0.06266855041532567,0.6438204196583943,1.0323202361549566,456.0
wall quadrature,33.80934115548225,0.04444640866023109,0.6066264414566263,0.9329955879363453,456.0
wall quadrature,93.56038855243297,0.21622426010239154,0.7726846623412418,1.4814170727989264,304.0
wall quadrature,65.22703340944882,0.1301734391140462,0.731371361903117,1.314425380707235,304.0
wall quadrature,44.602655095723684,0.07272368114080742,0.6691193805697627,1.1059976350347391,304.0
wall quadrature,34.74601995940847,0.049436300014139456,0.6253613418541488,0.9817932958294429,304.0
wall quadrature,23.23589472666353,0.02816446905686761,0.5730454647462899,0.8510777462380253,304.0
wall quadrature,78.49011279022986,0.19507438038701191,0.7809054670563482,1.5182519850258887,256.0
wall quadrature,55.26077460761094,0.11965140616211281,0.7420004946670586,1.3547976113765385,256.0
wall quadrature,44.19698059298405,0.08531984351826372,0.7069281357518016,1.2273374295672874,256.0
wall quadrature,36.297405682694915,0.06424385617420653,0.6795347710219916,1.1379814984350811,256.0
wall quadrature,25.082030731501927,0.03796591073971838,0.627779395282762,0.9882685770444648,256.0
interior probes,72.17395065171827,0.1658187036131911,0.7784596778077265,1.507150664564384,456.0
interior probes,58.598027575244274,0.12022564369591504,0.7447619517270802,1.3655586466460807,456.0
interior probes,49.374652256004474,0.09495793057302204,0.7253218689331655,1.292155299290837,456.0
interior probes,42.50978017596672,0.07594009055462489,0.702834235994511,1.2134651679103112,456.0
interior probes,33.80934115548225,0.05556090275564089,0.6749670614908029,1.1238287525288206,456.0
interior probes,93.56038855243297,0.25979802237489985,0.825710787224506,1.7470392172095992,304.0
interior probes,65.22703340944882,0.15163529682926918,0.7775147634378474,1.50289453210692,304.0
interior probes,44.602655095723684,0.0863808787896976,0.722479245722551,1.281859558403289,304.0
interior probes,34.74601995940847,0.060342587052152716,0.6872196982856847,1.1622542463530248,304.0
interior probes,23.23589472666353,0.03601533766041855,0.6484406140435908,1.0453766319125188,304.0
interior probes,78.49011279022986,0.22783016358262478,0.8263701119196217,1.7508293252131886,256.0
interior probes,55.26077460761094,0.13822650930549538,0.7862521530670642,1.5429582440443692,256.0
interior probes,44.19698059298405,0.09967170909666283,0.7557040014562347,1.4093746801249325,256.0
interior probes,36.297405682694915,0.07593643898271966,0.7325175690306831,1.3187013934223868,256.0
interior probes,25.082030731501927,0.04635892862781813,0.6914401397415098,1.1758394179650444,256.0
rear wall only,72.17395065171827,0.17868055469415664,0.8001157066342768,1.6100166130203726,456.0
rear wall only,58.598027575244274,0.14024402892687454,0.7904305527837789,1.5627001042584878,456.0
rear wall only,49.374652256004474,0.11714916132677812,0.788106040167474,1.5516693189158237,456.0
rear wall only,42.50978017596672,0.09923411703565238,0.7834599275882228,1.5299796566957409,456.0
rear wall only,33.80934115548225,0.07787348012886888,0.7777852203151927,1.5041108887554913,456.0
rear wall only,93.56038855243297,0.2488543441514006,0.8136752245327238,1.6802640232746724,304.0
rear wall only,65.22703340944882,0.16536822145377342,0.8028003337745069,1.6235385293835276,304.0
rear wall only,44.602655095723684,0.10816142891151233,0.7902310919493849,1.5617487920451814,304.0
rear wall only,34.74601995940847,0.08201765878270488,0.7811097229002377,1.5191846925263008,304.0
rear wall only,23.23589472666353,0.053452550957573675,0.7707928518201622,1.4731291071067658,304.0
rear wall only,78.49011279022986,0.22473464695809803,0.8225070798549461,1.728824557368893,256.0
rear wall only,55.26077460761094,0.15282023398448746,0.8156602249944519,1.6909746209579513,256.0
rear wall only,44.19698059298405,0.11883523930286025,0.8084528953475897,1.6526215233117099,256.0
rear wall only,36.297405682694915,0.0953191030521703,0.8017573147467528,1.6182633157267041,256.0
rear wall only,25.082030731501927,0.06288435635770162,0.7865544906337681,1.5443737043399208,256.0
