simulation_id,T2,T3,T8,T9,T10,T11,T12
E67,326.238,763.718,939.569,966.722,825.341,879.994,992.978
E68,338.46999999999997,773.123,1013.081,1020.827,850.0559999999999,898.721,1047.592
E69,344.269,769.736,1058.899,1044.388,852.821,896.788,1070.749
E70,352.42199999999997,779.53,1152.554,1093.714,871.496,912.1659999999999,1120.2379999999998
E71,355.88699999999994,753.444,1203.5,1095.307,847.369,882.7049999999999,1120.3719999999998
E72,309.84499999999997,652.896,738.578,771.04,684.18,733.992,797.723
E73,325.051,694.575,837.692,868.132,747.443,791.8829999999999,895.172
E74,333.92699999999996,697.613,949.501,935.4069999999999,767.775,803.962,962.385
E75,336.517,681.066,1008.725,954.178,757.393,788.678,979.689
E76,338.025,646.8340000000001,1068.137,947.3489999999999,726.1289999999999,750.986,970.491
E77,308.27599999999995,525.13,564.679,602.0139999999999,543.528,574.156,622.6669999999999
E78,312.88599999999997,554.318,632.064,663.877,583.649,612.0609999999999,686.227
E79,314.909,559.863,676.315,694.149,595.6189999999999,622.179,716.3019999999999
E80,316.085,561.211,709.384,713.316,601.7349999999999,626.4739999999999,735.432
E81,319.219,550.348,759.309,728.323,597.6189999999999,618.8340000000001,749.6769999999999
