simulation_id,irradiance_kW_m2,flow_lpm,T8_K,T9_K,T12_K,T9_pair_K,T10_K,T11_K,T10_pair_K,T9_minus_T8_K,T12_minus_T8_K,T9_pair_minus_T8_K,T10_pair_minus_T8_K
E67,456.0,15.2805125,931.6279999999999,966.6659999999999,991.103,978.8844999999999,824.995,878.055,851.525,35.03800000000001,59.47500000000002,47.25649999999996,-80.10299999999995
E68,456.0,12.499871559633025,1012.649,1020.928,1047.717,1034.3225,850.0989999999999,898.751,874.425,8.278999999999996,35.0680000000001,21.67349999999999,-138.22400000000005
E69,456.0,10.499733944954128,1058.429,1044.378,1070.73,1057.554,852.837,896.755,874.796,-14.051000000000158,12.30099999999993,-0.875,-183.63300000000004
E70,456.0,9.107139705882352,1152.474,1093.725,1120.277,1107.001,871.483,912.173,891.828,-58.749000000000024,-32.19699999999989,-45.472999999999956,-260.64599999999996
E71,456.0,7.126846153846151,1203.298,1095.306,1120.348,1107.827,847.476,882.823,865.1495,-107.99199999999996,-82.95000000000005,-95.471,-338.1485
E72,304.0,18.707575757575754,737.656,771.112,797.899,784.5055,684.1869999999999,733.977,709.0819999999999,33.45600000000002,60.24300000000005,46.849500000000035,-28.57400000000007
E73,304.0,13.170870967741934,837.694,867.5509999999999,894.482,881.0165,747.4,791.76,769.5799999999999,29.85699999999997,56.78800000000001,43.32249999999999,-68.11400000000003
E74,304.0,9.023245901639344,948.538,935.491,962.509,949.0,767.8009999999999,804.0,785.9005,-13.047000000000025,13.971000000000004,0.4619999999999891,-162.63750000000005
E75,304.0,6.944410852713178,1008.725,954.178,979.689,966.9335,757.393,788.678,773.0355,-54.547000000000025,-29.036000000000058,-41.79150000000004,-235.68950000000007
E76,304.0,4.526673611111114,1067.693,947.353,970.472,958.9124999999999,726.308,751.1579999999999,738.733,-120.34000000000003,-97.221,-108.78050000000007,-328.96000000000004
E77,256.0,13.84748387096774,565.544,602.429,623.3499999999999,612.8895,543.727,574.299,559.0129999999999,36.88499999999999,57.805999999999926,47.345500000000015,-6.531000000000063
E78,256.0,10.009137614678897,631.689,663.635,685.819,674.727,583.704,612.092,597.8979999999999,31.946000000000026,54.129999999999995,43.03800000000001,-33.791000000000054
E79,256.0,8.033490566037736,676.213,694.063,716.108,705.0854999999999,595.766,622.325,609.0455,17.850000000000023,39.89499999999998,28.872499999999945,-67.16750000000002
E80,256.0,6.605050847457628,710.3340000000001,713.233,735.351,724.2919999999999,601.77,626.4849999999999,614.1274999999999,2.8989999999998872,25.01699999999994,13.957999999999856,-96.20650000000012
E81,256.0,4.527140495867768,760.0609999999999,728.5039999999999,749.902,739.203,597.766,618.9749999999999,608.3705,-31.557000000000016,-10.158999999999878,-20.857999999999947,-151.69049999999993
