simulation_id,phase,sensor,rmse_K,steady_error_K,t90_error_s,shape_loss
E67,heating,T8,274.92205678522197,-264.327180081517,-150.0,0.0013802436154982487
E67,heating,T9_pair,336.1342709431781,-348.89126070694215,-250.0,0.0005284334605692856
E67,heating,T10_pair,224.58317410061204,-265.4694875288875,-800.0,0.0001618725206918981
E67,heating,T3,163.5005204301958,-211.4142956781634,-550.0,0.0001963176765648897
E67,heating,T2,7.175709548755222,-14.2679514071379,-100.0,7.070206616553699e-5
E68,heating,T8,282.6169254509663,-280.82058021109674,-150.0,0.000783370181720106
E68,heating,T9_pair,334.0336852353228,-349.92780276594124,-350.0,0.00023761671668569374
E68,heating,T10_pair,207.4549656655521,-246.4557848629654,-800.0,7.313087014433246e-5
E68,heating,T3,147.11168817288274,-186.39065333785481,-450.0,0.00012346570746837003
E68,heating,T2,10.67909059376688,-18.8559901327215,0.0,3.555820687711856e-5
E69,heating,T8,267.91289757539687,-273.142766463861,-200.0,0.0005641786149595791
E69,heating,T9_pair,308.7600428162116,-330.3749878307618,-400.0,0.00015915400365670973
E69,heating,T10_pair,178.69862178756784,-215.33777743946132,-1100.0,4.6897452316417036e-5
E69,heating,T3,122.61400837416245,-157.31293719208225,-650.0,8.226964343831445e-5
E69,heating,T2,8.543117472013947,-15.056400398721848,200.0,0.00014197560246937872
E70,heating,T8,317.7599906809959,-316.89829707013564,-100.0,0.00035946415856482776
E70,heating,T9_pair,324.0304792666456,-343.2465979220465,-450.0,9.071317283176391e-5
E70,heating,T10_pair,172.5641470100008,-208.5930170090412,-800.0,3.3037770694261836e-5
E70,heating,T3,117.8491873676229,-149.46242878660098,-500.0,6.216698179640279e-5
E70,heating,T2,15.641608263137215,-25.10305377962044,100.0,2.4074741126646293e-5
E71,heating,T8,287.3157260851137,-286.44398873761486,-150.0,0.0009332064313508783
E71,heating,T9_pair,266.9678898036718,-287.8612110548312,-600.0,0.0001438061978762638
E71,heating,T10_pair,117.53798775778702,-147.15087808246938,-750.0,4.958985978064275e-5
E71,heating,T3,77.7111926934013,-97.90636190303849,-450.0,7.396900265556362e-5
E71,heating,T2,14.639615873060256,-23.247523700686145,150.0,1.9272969782387933e-5
E72,heating,T8,203.7317978420479,-222.19915080703743,-400.0,0.0009952370045075037
E72,heating,T9_pair,269.4483244093079,-292.6362493042107,-300.0,0.0005445843662575713
E72,heating,T10_pair,203.63660965800975,-241.08701999232323,-600.0,0.00025255279121052664
E72,heating,T3,158.59456441116046,-202.5794621853846,-500.0,0.00020330188828794062
E72,heating,T2,2.717451035453604,-6.054078262980795,-150.0,9.461796822392788e-5
E73,heating,T8,249.0332237852966,-257.9777977143084,-250.0,0.0006149456698841935
E73,heating,T9_pair,310.1358611105243,-332.5162010718799,-400.0,0.00028371320931128277
E73,heating,T10_pair,216.59766350705934,-256.8079836213327,-950.0,0.00010579514407904728
E73,heating,T3,163.10108275981133,-206.52534042873526,-650.0,9.40351701949732e-5
E73,heating,T2,6.25142339190429,-12.064162900366455,-100.0,9.895463183567077e-5
E74,heating,T8,278.91114848050677,-282.58649118668984,-200.0,0.0003590426030448043
E74,heating,T9_pair,312.7912540991498,-334.1234580082039,-450.0,0.0001274829764015551
E74,heating,T10_pair,188.091702652534,-226.46560438573226,-800.0,4.1940436462623254e-5
E74,heating,T3,134.32973780649422,-172.8917194248437,-600.0,5.33276272566201e-5
E74,heating,T2,10.665855168968424,-18.101042456672587,0.0,3.0236284147138276e-5
E75,heating,T8,271.7248490781422,-278.77038401211905,-200.0,0.00026832774196632357
E75,heating,T9_pair,281.1950719551741,-307.60743760444007,-600.0,7.743833310988709e-5
E75,heating,T10_pair,147.7407106383224,-185.15638612173632,-850.0,2.741321784503805e-5
E75,heating,T3,100.97603546322365,-134.86088722615773,-650.0,4.734155369841983e-5
E75,heating,T2,10.334153594386143,-17.324767191105593,0.0,2.431054788082002e-5
E76,heating,T8,234.54114988201246,-242.92243137024775,-200.0,0.00022222331879938895
E76,heating,T9_pair,216.121987012904,-241.23889685750737,-550.0,4.439643172973804e-5
E76,heating,T10_pair,90.44884325469577,-117.57844572290094,-750.0,1.8329615564206724e-5
E76,heating,T3,56.988543143418596,-76.49869005115056,-600.0,4.441678911887149e-5
E76,heating,T2,8.779214435404015,-14.453722581545833,0.0,1.5662491051908025e-5
E77,heating,T8,37.822434835982236,-38.25291200261074,-700.0,0.0023618280272465477
