simulation_id,phase,sensor,rmse_K,steady_error_K,t90_error_s,shape_loss
E67,heating,T8,275.11066805082845,-264.5101691425857,-150.0,0.0013797718941006183
E67,heating,T9_pair,336.2794191294955,-349.0250225273247,-250.0,0.0005291989580163408
E67,heating,T10_pair,224.65595558294973,-265.53726233776797,-750.0,0.00016222857962370555
E67,heating,T3,163.45469817124433,-211.35740674962813,-550.0,0.0001966489662717432
E67,heating,T2,7.178502570041708,-14.272857788435772,-100.0,7.071594524196051e-5
E68,heating,T8,282.9647176320617,-281.1636113930691,-150.0,0.0007832964995609406
E68,heating,T9_pair,334.2808476024475,-350.1646110651027,-350.0,0.00023818086762423935
E68,heating,T10_pair,207.53877272083471,-246.53600127828054,-800.0,7.33784712709831e-5
E68,heating,T3,147.01748226865666,-186.27247884639462,-450.0,0.00012379521847500545
E68,heating,T2,10.684707810042712,-18.864821478909164,0.0,3.5568758632819686e-5
E69,heating,T8,268.47996541705805,-273.6982248731575,-200.0,0.0005643686026582482
E69,heating,T9_pair,309.11672060177733,-330.71798798972384,-400.0,0.00015977462973522396
E69,heating,T10_pair,178.77025089156805,-215.40217697986566,-1100.0,4.7120064397229156e-5
E69,heating,T3,122.43834478993978,-157.10529131798717,-650.0,8.268828388626316e-5
E69,heating,T2,8.54923418599023,-15.068263710643976,200.0,0.00014200664319652766
E70,heating,T8,318.61192207002864,-317.7434805052318,-100.0,0.00036003296965432915
E70,heating,T9_pair,324.4776308153258,-343.68906888328513,-450.0,9.109517658906793e-5
E70,heating,T10_pair,172.57619130610527,-208.5920992750688,-800.0,3.323735237984942e-5
E70,heating,T3,117.58346123193121,-149.11779814428292,-500.0,6.249239452313288e-5
E70,heating,T2,15.651987680877001,-25.117766579276008,100.0,2.408605795456276e-5
E71,heating,T8,288.78117968031495,-287.92240824258533,-150.0,0.0009340458321434445
E71,heating,T9_pair,267.4801424321658,-288.37830588614406,-600.0,0.00014428467127650563
E71,heating,T10_pair,117.3233968867538,-146.86055328935447,-750.0,4.9920317306507854e-5
E71,heating,T3,77.24279032556801,-97.16998840992778,-450.0,7.446716354790344e-5
E71,heating,T2,14.648846491946696,-23.259537441320504,150.0,1.9279751278114026e-5
E72,heating,T8,203.7822170102172,-222.25129627172885,-400.0,0.0009948303494324714
E72,heating,T9_pair,269.4837370047414,-292.67063032349455,-300.0,0.0005448556782903477
E72,heating,T10_pair,203.65835431926632,-241.10766860541128,-600.0,0.00025271535599260755
E72,heating,T3,158.58692929207288,-202.57018302228465,-500.0,0.0002033798718564965
E72,heating,T2,2.7180233981612005,-6.05529287139683,-150.0,9.462714601591174e-5
E73,heating,T8,249.15713118524422,-258.09894414418125,-250.0,0.0006148818954337858
E73,heating,T9_pair,310.2251248647973,-332.6009087157414,-400.0,0.00028401181201549746
E73,heating,T10_pair,216.6330357413179,-256.8414121265391,-950.0,0.00010590043969156534
E73,heating,T3,163.0760983318651,-206.4970660606317,-650.0,9.411426067153418e-5
E73,heating,T2,6.253270644717046,-12.067413878100922,-100.0,9.896847206434568e-5
E74,heating,T8,279.26229810341727,-282.93151316893545,-200.0,0.00035927498108625643
E74,heating,T9_pair,312.98234145987493,-334.31228713776466,-450.0,0.00012771907341011464
E74,heating,T10_pair,188.11573208579946,-226.48820860805347,-800.0,4.201777107235396e-5
E74,heating,T3,134.24724615020918,-172.79457778848985,-600.0,5.3429569110261676e-5
E74,heating,T2,10.670700452429466,-18.108353319489936,0.0,3.0246630704605192e-5
E75,heating,T8,272.36479234875753,-279.41064582309,-200.0,0.00026873028507225016
E75,heating,T9_pair,281.44849091845856,-307.86667543748854,-600.0,7.763284519134275e-5
E75,heating,T10_pair,147.70212246721553,-185.10944972615312,-850.0,2.7489787113238276e-5
E75,heating,T3,100.80836381163871,-134.6505329244526,-650.0,4.74851306230792e-5
E75,heating,T2,10.340407169811202,-17.33411432476902,0.0,2.4320998275784933e-5
E76,heating,T8,235.7865576623271,-244.19231554869805,-200.0,0.00022277383917018254
E76,heating,T9_pair,216.29890211380496,-241.42207823143428,-550.0,4.4490216112409824e-5
E76,heating,T10_pair,90.13439451924765,-117.1893915759573,-750.0,1.8416258061688753e-5
E76,heating,T3,56.602009920282,-75.92103679184925,-600.0,4.463667753619627e-5
E76,heating,T2,8.782176925891426,-14.456747380308286,0.0,1.5663277788691744e-5
E77,heating,T8,37.85818676496206,-38.32811656996512,-700.0,0.002359613913871872
E77,heating,T9_pair,93.95971774727374,-111.36515334391413,-650.0,0.00035751704343854265
E77,heating,T10_pair,65.44980386767918,-86.88406113278677,-900.0,0.0001670838708205319
E77,heating,T3,51.325789999556434,-73.57194964270093,-650.0,0.00021417877027749273
E77,heating,T2,2.5770755865950052,1.7867277203710046,-191.0,0.0009350160483886589
E78,heating,T8,41.84494727732515,-41.575267516461395,-650.0,0.0009848111179890867
E78,heating,T9_pair,105.61988861018102,-123.0440316981842,-850.0,0.00014197838411537307
E78,heating,T10_pair,68.21142559001227,-88.5498710771414,-950.0,7.106767841613245e-5
E78,heating,T3,53.517198909851956,-71.82996637659284,-650.0,9.938346471931284e-5
E78,heating,T2,1.597175155123348,-1.2394005339452292,-100.0,1.697346883615315e-5
E79,heating,T8,45.317650358642084,-42.685281349064326,-650.0,0.0009790376385290253
E79,heating,T9_pair,103.65532579268209,-121.96558856162414,-850.0,0.00013329007600520912
E79,heating,T10_pair,58.913545717660725,-78.85936670334058,-950.0,7.291401287429316e-5
E79,heating,T3,44.83252322132344,-61.5727856268216,-700.0,0.00010199408688312634
E79,heating,T2,2.197351346774691,-0.5289061099401238,-200.0,3.684582195407211e-5
E80,heating,T8,42.71604772693146,-36.33333366902582,-650.0,0.0006986383456322902
E80,heating,T9_pair,96.54198278564355,-113.91031829723033,-900.0,8.829216289476514e-5
E80,heating,T10_pair,49.74261674212916,-66.74797297356508,-900.0,5.920107410734283e-5
E80,heating,T3,37.50519157223637,-49.75831777101655,-650.0,8.357658472772909e-5
E80,heating,T2,2.043427902043906,-1.0964909046190883,-150.0,1.5702932739677985e-5
E81,heating,T8,38.57517702001164,-10.699522612914848,-700.0,0.0006112888981369639
E81,heating,T9_pair,68.43482109044227,-81.88654262843124,-850.0,7.412377250222542e-5
E81,heating,T10_pair,29.949093209395535,-33.56439448520155,-800.0,6.376080485350697e-5
E81,heating,T3,26.528062322534034,-18.867523072658855,-600.0,9.360455305781967e-5
E81,heating,T2,2.810064905350477,0.6063826401993992,-150.0,2.2009858864598712e-5
C69,cooling,T8,54.55982471991035,5.146255933095688,-400.0,0.0007538783827667285
C69,cooling,T9_pair,84.2628750016719,3.3695016243689224,-700.0,0.0008059097378811558
C69,cooling,T10_pair,62.63856984323651,16.70272446417175,-400.0,0.0009883107466276935
C69,cooling,T3,46.88310520912565,36.30625151042477,-200.0,0.0012691320226309068
C69,cooling,T2,3.4272658670022955,4.429020417823153,-50.0,0.0002323026760511675
C80,cooling,T8,30.792227448985873,2.5050286610949684,-750.0,0.00039988513928932904
C80,cooling,T9_pair,48.458680226211555,0.5071180360105814,-850.0,0.0005027314137472389
C80,cooling,T10_pair,31.633928533526525,2.4127655566121575,-250.0,0.00041606368485967965
C80,cooling,T3,19.907217954887003,6.277889635434974,-200.0,0.00045386453312788093
C80,cooling,T2,1.2351117952129116,2.0533919571917068,-50.0,6.431733120194822e-5
C81,cooling,T8,25.862706614825342,2.182604997136366,-400.0,0.00017133459747349078
C81,cooling,T9_pair,41.3753626404976,1.7603150335968394,-550.0,0.0002203567155104332
C81,cooling,T10_pair,25.090131038154052,1.7219567894124452,-150.0,0.00024233491825346556
C81,cooling,T3,16.003018422855053,2.8122177304485945,-250.0,0.00021705931081156924
C81,cooling,T2,2.1846819983100367,3.10960233706669,100.0,6.876071439836168e-6
