index,name,value
1,C_Nu_model,1.0
2,ell_rad_m,0.00037037037037037035
3,eta_opt,1.0
4,front_dep,1.0
5,beta_opt,50.0
# fixed,Nu_fd_receiver,3.61
# fixed,eta_abs,0.8
# derived,beta_tr,2700.0
# derived,tau_receiver,369.90000000000003
# derived,tau_channel,4.05
# fixed,h_front,10.0
# fixed,eps_front,0.95
# fixed,cavity_outer_radius_m,0.075
# fixed,insulation_outer_radius_m,0.056999999999999995
# fixed,G_receiver_to_cavity_W_per_m_K,0.6016297709756657
# fixed,G_receiver_to_tube_W_per_K,0.2128
# fixed,adaptor_diameter_m,0.0776
# fixed,rear_tube_length_m,0.15
# fixed,rear_tube_cavity_length_m,0.046
# fixed,rear_tube_flange_length_m,0.104
# fixed,T3_sample_position_m,0.14
# fixed,rear_tube_wall_thickness_m,0.0015
# fixed,cavity_heat_capacity_J_per_K,4025.7299551151973
# fixed,water_flange_temperature_K,298.15
