variant,rosseland_profile,use_rosseland_radiation,simulation_id,phase,absorbed_solar_W,front_loss_W,gas_gain_receiver_W,gas_gain_rear_W,receiver_to_cavity_W,receiver_to_tube_W,tube_to_cavity_W,flange_heat_loss_W,cavity_ambient_loss_W,receiver_storage_residual_W,rear_tube_storage_residual_W,cavity_storage_residual_W,T8_steady_error_K,T9_pair_steady_error_K,T10_pair_steady_error_K,T3_steady_error_K,T2_steady_error_K,mean_Nu,min_h_W_m2_K,max_h_W_m2_K,min_beta_tr_1_m,max_beta_tr_1_m,max_k_rad_W_m_K
no_rad,uniform,false,E67,heating,131.6928,5.881694170305688,79.24799535190942,-12.059053515189582,25.28401523339788,20.13338541794134,5.213334751260397,21.805643018053566,17.037810343131348,1.1457098264456675,5.17346116381696,13.45953964152693,-264.327180081517,-348.89126070694215,-265.4694875288875,-211.4142956781634,-14.2679514071379,3.6099999999999994,96.68164105682933,119.64563097990829,1000.0,1000.0,0.0
no_rad,uniform,false,E76,heating,87.7952,11.804360235985907,25.18099794957446,-10.447041528946059,31.060929956843808,19.571501765521035,5.730063308632064,22.02628022480897,29.474535286578263,0.17741009207477987,2.262199761026057,7.316457978897606,-242.92243137024775,-241.23889685750737,-117.57844572290094,-76.49869005115056,-14.453722581545833,3.6099999999999994,107.79742479097602,142.65355058017374,1000.0,1000.0,0.0
no_rad,uniform,false,E80,heating,73.9328,5.653808772823254,28.605897980170017,-8.56549664704452,23.303854156601876,16.074654474042916,4.449426693250272,17.924765924115174,19.90404582816165,0.29458461636194144,2.2659585037219863,7.849235021690497,-35.856826829586566,-113.71876274407623,-66.77589239949623,-49.89853673765913,-1.089357425212313,3.6099999999999994,96.10859547126543,122.05322967851318,1000.0,1000.0,0.0
no_rad,uniform,false,C80,cooling,0.0,0.06852408929908113,4.611292079410519,-0.7140023667860521,0.7277494644961299,-4.792848782167964,1.671192684945653,5.999862781573114,13.528041152498224,-0.6147168510377652,-11.74990188190068,-11.12909900305644,2.497450993795894,0.5003974455163984,2.4102883618068063,6.280807991702773,2.052573890372969,3.61,63.622560411075796,68.86574336649375,1000.0,1000.0,0.0
uniform_beta1000,uniform,true,E67,heating,131.6928,5.8777370388915395,79.25355287478344,-12.060011658025307,25.281299369453304,20.13511470215042,5.2139316002716,21.807346640356062,17.03621102688278,1.1450960147213038,5.173848119548065,13.459019942842126,-264.38212326729865,-348.93142023661426,-265.48984611613344,-211.39716452695234,-14.269424151102555,3.6099999999999994,96.67148762461437,119.63869830041453,1000.0,1000.0,0.10228033513098535
uniform_beta1000,uniform,true,E76,heating,87.7952,11.780370596667883,25.197771758995145,-10.455023486698153,31.05640438561216,19.583290448579678,5.73454082326359,22.03934192900509,29.47358354135892,0.1773628101451301,2.264431183009151,7.317361667516835,-243.3060121126449,-241.29279470677477,-117.46018736379358,-76.32407684342809,-14.454586987202731,3.6099999999999994,107.76328854848427,142.5977782205858,1000.0,1000.0,0.1829257828806933
uniform_beta1000,uniform,true,E80,heating,73.9328,5.64878198523101,28.611773482742084,-8.567501193227807,23.300008921366988,16.07774239797247,4.45056907783119,17.928209441627548,19.901710656983226,0.2944932126874491,2.266465071741539,7.848867342214952,-36.00030015403547,-113.77630181352879,-66.76740353766388,-49.85631174570199,-1.0915005781744753,3.6099999999999994,96.09526962489021,122.03378266828007,1000.0,1000.0,0.09891728386004542
uniform_beta1000,uniform,true,C80,cooling,0.0,0.06853746510498089,4.611176712034879,-0.7139803112696297,0.7278487323818518,-4.7927811636580655,1.6711353196528889,5.999729257653087,13.528306614690694,-0.6147817458636471,-11.74966542969441,-11.129322562655954,2.499724802513981,0.5024143294248802,2.4110319348897065,6.279931996427251,2.052819441596796,3.6099999999999994,63.62277475837662,68.8656145557279,1000.0,1000.0,0.010961920572731017
front_strong,front_strong,true,E67,heating,131.6928,5.869709731806815,79.2616064432516,-12.061496250710265,25.281051284189314,20.136672419875737,5.214430286041452,21.80931431216257,17.036237125015514,1.1437601208765393,5.174424072381978,13.459244445215251,-264.4657569975717,-348.9201652823383,-265.4423009492017,-211.37260473096194,-14.269400118394856,3.6099999999999994,96.65087321744134,119.62927067018666,300.316065975213,2674.6655677423432,0.34018211465977544
front_strong,front_strong,true,E76,heating,87.7952,11.740563933751412,25.217789495550107,-10.464499864227692,31.06246644132682,19.59710375416139,5.739535436066191,22.054866687657224,29.48163502044122,0.1772763752102584,2.2672014946656702,7.3203668569517895,-243.85181134349216,-241.0616093094809,-117.1603024007336,-76.11678125047968,-14.447274403753568,3.6099999999999994,107.70651391930572,142.50902787027508,300.316065975213,2674.6655677423432,0.6074124840575565
