variant,simulation_id,phase,z_mm,Tsolid_K,Tgas_in_K,Tgas_out_K,Nu,h_W_m2K,UA_over_mcp,effectiveness,Qgas_W
baseline_front_source,E76,heating,2.74,846.0712467041685,296.4675,845.4970635784377,6.588074810729564,196.71032958932503,6.864004457201252,0.9989552779995151,51.734129824130946
baseline_front_source,E76,heating,8.220000000000002,832.2197530079239,845.4970635784377,832.2355955710977,5.141644802928798,204.31453573081745,6.731111695415476,0.9988067942608038,-1.3235363660232158
baseline_front_source,E76,heating,13.700000000000001,818.6721282736711,832.2355955710977,818.7029741348995,4.691194551868396,184.22065601360393,6.0861326457700695,0.9977258129833626,-1.3468233986262066
baseline_front_source,E76,heating,19.180000000000003,805.3873488461588,818.7029741348995,805.4327844083749,4.41895669972445,171.4545403219193,5.680398351227331,0.996587801080998,-1.316979875105173
baseline_front_source,E76,heating,24.66,792.3576024411033,805.4327844083749,792.4171836485265,4.2326883246884535,162.26969271894137,5.3911309933687805,0.9954431833092409,-1.2881117944317253
baseline_front_source,E76,heating,30.14,779.5749395425265,792.4171836485265,779.6478608915398,4.097466886038366,155.21857836266793,5.17111388703556,0.9943217596230517,-1.2602574457540487
baseline_front_source,E76,heating,35.620000000000005,767.0312519022174,779.6478608915398,767.1165395160235,3.9959090341212478,149.57663674148134,4.996740162143904,0.9932400525467403,-1.233404914516184
baseline_front_source,E76,heating,41.1,754.7182793924286,767.1165395160235,754.8149197259008,3.9179588685520184,144.923301086478,4.854315244290183,0.9922053310296105,-1.207547853717393
baseline_front_source,E76,heating,46.580000000000005,742.6276119061879,754.8149197259008,742.7346325889456,3.85722879390994,140.9910394942726,4.735128233959385,0.9912186773042199,-1.182684305713462
baseline_front_source,E76,heating,52.06,730.7506879954927,742.7346325889456,730.8672046548913,3.8094005559334776,137.59901013775306,4.633288820457621,0.9902772698513433,-1.1588156410749013
baseline_front_source,E76,heating,57.54,719.0787918015135,730.8672046548913,719.2040318125222,3.771425280113638,134.6196800997357,4.544640382076668,0.9893760073924805,-1.1359456469328904
baseline_front_source,E76,heating,63.02,707.6030495922423,719.2040318125222,707.736360976057,3.7410817640726437,131.96029779678008,4.466157424173976,0.9885086123499466,-1.1140797678549583
baseline_front_source,E76,heating,68.50000000000001,696.3144269362278,707.736360976057,696.4552782772779,3.71671365290442,129.5518209596962,4.395585808973082,0.9876683457846152,-1.0932244872563985
baseline_front_source,E76,heating,73.98000000000002,685.2037272390714,696.4552782772779,685.3517026304115,3.6970637049962183,127.34191239350837,4.331215282982736,0.9868484450865879,-1.0733868276176457
baseline_front_source,E76,heating,79.46000000000002,674.261592086387,685.3517026304115,674.4163837349677,3.681164380713427,125.29030715015168,4.271729038233495,0.9860423709965643,-1.054573947613524
baseline_front_source,E76,heating,84.94000000000001,663.478503595483,674.4163837349677,663.6399037451431,3.6682629204529134,123.36563818667854,4.216100602573803,0.985243927744503,-1.0367928181819313
baseline_front_source,E76,heating,90.42000000000002,652.8447887895067,663.6399037451431,653.0126819582118,3.65776850384559,121.54319912545886,4.163521115294473,0.9844473014511532,-1.0200499638470206
baseline_front_source,E76,heating,95.90000000000002,642.3506258752684,653.0126819582118,642.5249819695459,3.64921407815927,119.80333118243176,4.113346830662411,0.9836470477250248,-1.0043512587464727
baseline_front_source,E76,heating,101.38000000000001,631.9860522256555,642.5249819695459,632.1669208211326,3.64222823722853,118.13023839807498,4.0650604988470596,0.9828380490360519,-0.9897017686699361
baseline_front_source,E76,heating,106.86000000000001,621.7409738331743,632.1669208211326,621.928479744392,3.6365141668986167,116.51110413552688,4.018242509306968,0.9820154551491321,-0.9761056312051127
baseline_front_source,E76,heating,112.34,611.6051760030508,621.928479744392,611.7995161716932,3.6318336682750765,114.9354239137393,3.972549047599342,0.9811746148799178,-0.9635659663822511
baseline_front_source,E76,heating,117.82000000000002,601.5683350829602,611.7995161716932,601.7697767660003,3.6279948974457734,113.39449630163494,3.9276953804203067,0.980311004048016,-0.9520848103153233
baseline_front_source,E76,heating,123.30000000000003,591.6200310721348,601.7697767660003,591.8289112931728,3.624842868012179,111.88103099393008,3.8834429467681004,0.9794201522542254,-0.9416630645607297
baseline_front_source,E76,heating,128.78,581.7497610069391,591.8289112931728,581.9664872341041,3.622252034867168,110.38884484258264,3.8395893100193614,0.978497569635319,-0.9323004543536934
baseline_front_source,E76,heating,134.26000000000002,571.9469530767079,581.9664872341041,572.1720051018541,3.620120463617412,108.91262460713915,3.795960283931791,0.9775386737935254,-0.923995489510047
