simulation_id,phase,sensor,rmse_K,steady_error_K,t90_error_s,shape_loss
E67,heating,T8,278.34154066494705,-267.8142861809124,-150.0,0.0013932096933913349
E67,heating,T9_pair,328.6146072142772,-341.0479251616455,-250.0,0.0005320097849802778
E67,heating,T10_pair,218.1793419426559,-258.4450592626008,-800.0,0.00015860609386279183
E67,heating,T3,159.0107205587418,-205.81677847678748,-500.0,0.00019885288535581276
E67,heating,T2,7.040480185680786,-14.014086748520981,-100.0,6.970365594705169e-5
E67,heating,T9_pair_minus_T8,55.59651495577595,-73.23363898073308,0.0,0.006841421360264692
E67,heating,T10_pair_minus_T8,88.512185623165,9.369226918311597,0.0,0.005625006072443403
E68,heating,T8,283.6926745030153,-281.75602642625506,-150.0,0.0007846931761356492
E68,heating,T9_pair,326.10951847745974,-341.566248139711,-350.0,0.0002382325385424137
E68,heating,T10_pair,200.44987002094805,-238.60789761857848,-800.0,7.31071389798507e-5
E68,heating,T3,141.71850012994202,-179.61710901203367,-450.0,0.00012624155337732871
E68,heating,T2,10.464978069067952,-18.488665286903654,0.0,3.497926800604193e-5
E68,heating,T9_pair_minus_T8,50.69637255748528,-59.81022171345592,0.0,0.005656855952896146
E68,heating,T10_pair_minus_T8,110.5461936364965,43.148128807676585,0.0,0.0029102932756011612
E69,heating,T8,268.2602932276591,-273.3058294048367,-200.0,0.0005593223350361588
E69,heating,T9_pair,300.7820121865321,-321.8543366578525,-400.0,0.0001579254273925757
E69,heating,T10_pair,171.1629549791734,-206.8558446805116,-1100.0,4.612189612871478e-5
E69,heating,T3,116.37875300042525,-149.65851626283893,-600.0,8.521994535961345e-5
E69,heating,T2,8.351061666866842,-14.65827437930136,200.0,0.00014038462105644948
E69,heating,T9_pair_minus_T8,39.36106151299392,-48.54850725301583,0.0,0.0050919419841796935
E69,heating,T10_pair_minus_T8,113.31885100484,66.44998472432508,0.0,0.002118932422128253
E70,heating,T8,318.4100436147965,-317.2652970214351,-100.0,0.00035724666694730194
E70,heating,T9_pair,316.1032244989871,-334.73472675914445,-450.0,9.02722693308625e-5
E70,heating,T10_pair,164.59762492122502,-199.37757823658671,-800.0,3.4072759661293975e-5
E70,heating,T3,111.21066100090981,-140.82764417687793,-450.0,6.456147068735601e-5
E70,heating,T2,15.350101909646932,-24.63021625019593,100.0,2.3665768915427553e-5
E70,heating,T9_pair_minus_T8,35.960148248468045,-17.469429737709333,0.0,0.002477022527080092
E70,heating,T10_pair_minus_T8,177.2169860074492,117.8877187848484,0.0,0.0011630373208082348
E71,heating,T8,289.38718902512545,-288.15844426302203,-150.0,0.0009257514084882123
E71,heating,T9_pair,259.1170870848803,-279.21196330852933,-600.0,0.00014705590099367197
E71,heating,T10_pair,108.81855719302776,-136.17112327163466,-750.0,5.23478418983089e-5
E71,heating,T3,70.98462676605112,-87.23781825597518,-450.0,7.775201849469616e-5
E71,heating,T2,14.315613646760308,-22.711613285580086,150.0,1.8919527237165283e-5
E71,heating,T9_pair_minus_T8,50.41468356050291,8.9464809544927,0.0,0.0054460404766108
E71,heating,T10_pair_minus_T8,204.40479931788798,151.98732099138738,0.0,0.0024829021554477605
E72,heating,T8,210.43272922719805,-228.9316465467665,-350.0,0.0010163376369464539
E72,heating,T9_pair,265.8021573552413,-288.94588886088627,-350.0,0.0005514066928334392
E72,heating,T10_pair,200.6414691647198,-237.96237154530445,-600.0,0.0002459585103108398
E72,heating,T3,156.99446833245895,-200.6122021591774,-450.0,0.00020247605895027347
E72,heating,T2,2.691100187392748,-5.996084271046811,-150.0,9.40658596042977e-5
E72,heating,T9_pair_minus_T8,55.85356327439177,-60.01424231411977,0.0,0.005927200163190575
E72,heating,T10_pair_minus_T8,26.006950351298272,-9.030724998537949,0.0,0.009937559497256958
E73,heating,T8,251.70614476561371,-260.72179350676083,-250.0,0.0006182999698938344
E73,heating,T9_pair,306.2796313252598,-328.51755881466113,-400.0,0.0002814375045167369
E73,heating,T10_pair,213.41265681932856,-253.3488226130013,-950.0,0.00010305422495960135
E73,heating,T3,160.8789185409861,-203.8623082266888,-650.0,9.353797477063424e-5
E73,heating,T2,6.185468693087503,-11.940879785295465,-100.0,9.82142032076096e-5
E73,heating,T9_pair_minus_T8,56.04984936122806,-67.7957653079003,0.0,0.004510440015448021
E73,heating,T10_pair_minus_T8,56.703430470244676,7.372970893759543,0.0,0.0028488697105768426
E74,heating,T8,280.5012995191153,-284.0990609213153,-200.0,0.0003573470250382881
E74,heating,T9_pair,308.9686542956007,-330.0185156407829,-450.0,0.00012694065333396047
E74,heating,T10_pair,184.54935394106414,-222.45894426727227,-800.0,4.144708451027573e-5
E74,heating,T3,131.46236441803916,-169.37105845196174,-600.0,5.3598878691405394e-5
E74,heating,T2,10.559818502622187,-17.923597650466718,0.0,2.994002870589623e-5
E74,heating,T9_pair_minus_T8,37.10725003459237,-45.91945471946758,0.0,0.003361572428908236
E74,heating,T10_pair_minus_T8,113.67411570767231,61.64011665404303,0.0,0.0012446607027586066
E75,heating,T8,274.0289134614653,-280.9237959981899,-200.0,0.00026605431546604624
E75,heating,T9_pair,277.49470348680876,-303.5390131904197,-600.0,7.73746013001595e-5
E75,heating,T10_pair,143.82517651445573,-180.5871428493873,-850.0,2.7476874600129165e-5
E75,heating,T3,97.67778584219053,-130.6230651436008,-600.0,4.817433708791021e-5
E75,heating,T2,10.220133800420495,-17.130991282331536,0.0,2.4053281470895e-5
E75,heating,T9_pair_minus_T8,26.869600914211723,-22.615217192229807,0.0,0.0021766244508045055
E75,heating,T10_pair_minus_T8,145.27558894187055,100.33665314880261,0.0,0.0008719296213793587
E76,heating,T8,238.35096802379124,-246.49993640227808,-200.0,0.00021960968059861312
E76,heating,T9_pair,211.71288309583142,-236.2816097738047,-550.0,4.486711299501101e-5
E76,heating,T10_pair,85.13681521863168,-111.00032318816295,-750.0,1.8991841769041435e-5
E76,heating,T3,52.89628182422885,-70.26784388917213,-550.0,4.604457004576137e-5
E76,heating,T2,8.620504091480367,-14.178676977892565,0.0,1.5423240700344802e-5
E76,heating,T9_pair_minus_T8,37.46930692048278,10.218326628473392,0.0,0.0014254967174873116
E76,heating,T10_pair_minus_T8,165.93427696502434,135.49961321411513,0.0,0.0006565731408227693
E77,heating,T8,39.58683699219831,-41.39461688653353,-700.0,0.0023303354615045973
E77,heating,T9_pair,91.22016928859283,-108.34685035639842,-650.0,0.00037510148104138974
E77,heating,T10_pair,63.3421715894318,-84.40047358605017,-900.0,0.00017182736144821432
E77,heating,T3,50.092045434965655,-71.89689272394918,-650.0,0.0002173383761137161
E77,heating,T2,2.607515536155526,1.8450111761642347,-191.0,0.0009408332692890339
E77,heating,T9_pair_minus_T8,61.99311632582526,-66.9522334698649,0.0,0.021088073377598514
E77,heating,T10_pair_minus_T8,35.611468934631404,-43.00585669951664,0.0,0.040346259358313756
E78,heating,T8,42.81910572946937,-43.063587009390176,-650.0,0.0009723230230482241
E78,heating,T9_pair,102.78779722364352,-119.92497034857786,-850.0,0.00014704599262961907
E78,heating,T10_pair,65.93164033933917,-85.7984400802809,-950.0,7.298506365354689e-5
E78,heating,T3,51.8986527523889,-69.62506550337855,-600.0,0.00010060001312712857
E78,heating,T2,1.6069263592617402,-1.1280814597654967,-100.0,1.6920120718119607e-5
E78,heating,T9_pair_minus_T8,68.05812719979475,-76.86138333918768,0.0,0.012184361642438423
E78,heating,T10_pair_minus_T8,33.003365983027834,-42.73485307089072,0.0,0.008972349865351845
E79,heating,T8,46.067292410874295,-44.09257093883639,-650.0,0.000960866592374227
E79,heating,T9_pair,100.93996198632463,-118.86466013701909,-850.0,0.00013812195722581394
E79,heating,T10_pair,56.67551887511749,-75.92937368585297,-950.0,7.514004303117995e-5
E79,heating,T3,43.21974109645728,-59.09196373434963,-700.0,0.0001038029100157922
E79,heating,T2,2.229358228986978,-0.4138300546229061,-200.0,3.677528762769848e-5
E79,heating,T9_pair_minus_T8,66.209714804174,-74.7720891981827,0.0,0.02132029000815503
E79,heating,T10_pair_minus_T8,26.93355605701612,-31.836802747016577,0.0,0.006329376060439347
E80,heating,T8,43.48120971586106,-38.03816906022655,-650.0,0.000682290735255474
E80,heating,T9_pair,93.88677534504666,-110.81317791525134,-900.0,9.182219342673329e-5
E80,heating,T10_pair,47.530972087257645,-63.57190407497251,-900.0,6.126922062973998e-5
E80,heating,T3,36.00227537906454,-46.96198323969793,-650.0,8.546901568865283e-5
E80,heating,T2,2.0647348009532647,-0.9697350161902136,-150.0,1.564095110367456e-5
E80,heating,T9_pair_minus_T8,63.423516577784525,-72.7750088550248,0.0,0.02050521494224573
E80,heating,T10_pair_minus_T8,23.880172102195246,-25.533735014745957,0.0,0.0038253652773408025
E81,heating,T8,38.11820852366651,-13.072768034327623,-700.0,0.0005942660957088433
E81,heating,T9_pair,65.70024106658902,-78.38826776934206,-850.0,7.774133061819939e-5
E81,heating,T10_pair,28.84416759873943,-29.482115606388106,-800.0,6.655597264472464e-5
E81,heating,T3,26.858792656877554,-15.17146336256019,-600.0,9.666549349045543e-5
E81,heating,T2,2.8649997986653086,0.7619173689793683,-150.0,2.1979539635583205e-5
E81,heating,T9_pair_minus_T8,57.463934299059275,-65.31549973501444,0.0,0.01559668398690341
E81,heating,T10_pair_minus_T8,24.300075742288694,-16.409347572060483,0.0,0.002521818930743368
C69,cooling,T8,54.64788236659847,4.466050497204606,-400.0,0.0007205043739980832
C69,cooling,T9_pair,83.83571320472227,2.959760955009642,-700.0,0.0007897193768577855
C69,cooling,T10_pair,62.34888437652808,16.454402010170384,-400.0,0.0009685215979172774
C69,cooling,T3,46.64073045351921,36.601269102998,-200.0,0.0012604986452675786
C69,cooling,T2,3.422813394803102,4.417584014019155,-50.0,0.0002317301911896592
C69,cooling,T9_pair_minus_T8,31.82217642090659,-1.5062895421949634,0.0,0.001739452407454652
C69,cooling,T10_pair_minus_T8,38.37974749394566,11.988351512965778,0.0,0.0058413160881538575
C80,cooling,T8,30.71803807626864,2.4421698680003487,-750.0,0.000393044698860077
C80,cooling,T9_pair,48.34463882461539,0.4828467198353792,-850.0,0.000502252803864525
C80,cooling,T10_pair,31.590329463427373,2.3970618018169034,-250.0,0.0004165668683756725
C80,cooling,T3,19.85321532261813,6.312424223799212,-200.0,0.0004558999356853579
C80,cooling,T2,1.2342446215001515,2.052694682121853,-50.0,6.422670226479015e-5
C80,cooling,T9_pair_minus_T8,18.624674924270266,-1.9593231481649696,0.0,0.0010280672466954964
C80,cooling,T10_pair_minus_T8,17.360117531895355,-0.04510806618344532,0.0,0.003952422717588399
C81,cooling,T8,25.72359024634253,2.1797154195451185,-400.0,0.00016969342960718368
C81,cooling,T9_pair,41.2864027009912,1.7618929008103237,-500.0,0.00022221693887799855
C81,cooling,T10_pair,25.074060188484538,1.720268267219467,-150.0,0.00024587487090806874
C81,cooling,T3,16.00994896246606,2.8159654487334933,-250.0,0.00022110016922033906
C81,cooling,T2,2.1859502736756053,3.110445972321372,100.0,6.871618769156192e-6
C81,cooling,T9_pair_minus_T8,17.953129106826275,-0.4178225187347948,0.0,0.00043747840694834285
C81,cooling,T10_pair_minus_T8,18.531726045685147,-0.4594471523256516,0.0,0.001650270920201298
