simulation_id,phase,sensor,rmse_K,steady_error_K,t90_error_s,shape_loss
E67,heating,T8,277.7010885849551,-267.2114549348513,-150.0,0.00139497550710735
E67,heating,T9_pair,327.7186830737122,-340.1956698204557,-250.0,0.0005285919309138092
E67,heating,T10_pair,217.87301292901682,-258.1440446635528,-800.0,0.00015710297560639103
E67,heating,T3,159.11048477868843,-205.93994861245642,-500.0,0.00019744764881331054
E67,heating,T2,7.026144981710067,-13.988363994742656,-100.0,6.962833179933524e-5
E67,heating,T9_pair_minus_T8,55.36552143826707,-72.98421488560439,0.0,0.006888740412939645
E67,heating,T10_pair_minus_T8,88.19824270001651,9.067410271298513,0.0,0.005631827092657706
E68,heating,T8,282.34229361481744,-280.44062274308374,-150.0,0.0007846591580837692
E68,heating,T9_pair,324.5932902347664,-340.0771094225257,-350.0,0.00023561550340562478
E68,heating,T10_pair,200.08677982086107,-238.2394883058463,-800.0,7.204966362713121e-5
E68,heating,T3,141.96021385642626,-179.92115443761884,-450.0,0.00012483953876234224
E68,heating,T2,10.434332251831755,-18.4392925158171,0.0,3.491871838159409e-5
E68,heating,T9_pair_minus_T8,50.52685149778618,-59.63648667944199,0.0,0.0056847613638262235
E68,heating,T10_pair_minus_T8,109.62470682252102,42.20113443723744,0.0,0.002906485203617553
E69,heating,T8,265.9465857176492,-271.0565958085929,-200.0,0.0005580374448555069
E69,heating,T9_pair,298.56557724216793,-319.68075158519605,-400.0,0.00015485469099484034
E69,heating,T10_pair,170.83183214775158,-206.52622967371485,-1100.0,4.5172689745862836e-5
E69,heating,T3,116.88450717273736,-150.2514697534359,-600.0,8.347285912798485e-5
E69,heating,T2,8.316342646970467,-14.58851081821166,200.0,0.00014019475665200915
E69,heating,T9_pair_minus_T8,39.381346425004736,-48.624155776603175,0.0,0.0051156988276256365
E69,heating,T10_pair_minus_T8,111.38504687838565,64.53036613487802,0.0,0.002111269221147516
E70,heating,T8,314.86331349485096,-313.7582194342717,-100.0,0.00035471800234108047
E70,heating,T9_pair,313.22311665140916,-331.8320208432101,-450.0,8.826461234641669e-5
E70,heating,T10_pair,164.4584327170267,-199.26025251963904,-800.0,3.318972714644449e-5
E70,heating,T3,112.00856952764296,-141.8802112160181,-450.0,6.314911758964702e-5
E70,heating,T2,15.285726984995742,-24.535354952190687,100.0,2.359321543012314e-5
E70,heating,T9_pair_minus_T8,35.61339508483152,-18.07380140893838,0.0,0.0024655025548407585
E70,heating,T10_pair_minus_T8,173.8522855558451,114.49796691463268,0.0,0.0011498520225969387
E71,heating,T8,283.1553220049094,-281.86718077545606,-150.0,0.0009219880528656597
E71,heating,T9_pair,255.25524101492914,-275.2244497502853,-600.0,0.0001445541306480198
E71,heating,T10_pair,109.43070730416133,-137.0421441515581,-750.0,5.083807252849064e-5
E71,heating,T3,72.39322844070595,-89.65049782194319,-450.0,7.55560372464558e-5
E71,heating,T2,14.23732527289907,-22.597643541755758,150.0,1.885371340359495e-5
E71,heating,T9_pair_minus_T8,48.58613130767172,6.642731025170747,0.0,0.005422197685313972
E71,heating,T10_pair_minus_T8,197.49054206211815,144.82503662389797,0.0,0.0024631657793320076
E72,heating,T8,210.30656363059606,-228.80323935874543,-350.0,0.0010180357387691887
E72,heating,T9_pair,265.60382578647057,-288.7494211021184,-350.0,0.0005502944744942608
E72,heating,T10_pair,200.56163933788497,-237.88416284679448,-600.0,0.00024532056626618736
E72,heating,T3,157.0132550996324,-200.63395431644335,-450.0,0.00020216471904423101
E72,heating,T2,2.6886668439100334,-5.990845757182512,-150.0,9.402584987265776e-5
E72,heating,T9_pair_minus_T8,55.78610044663232,-59.94618174337296,0.0,0.005971863627275769
E72,heating,T10_pair_minus_T8,25.989208587702763,-9.080923488049052,0.0,0.009979444709080805
E73,heating,T8,251.25762782235375,-260.29084933775755,-250.0,0.0006184024777278721
E73,heating,T9_pair,305.7945484427252,-328.0503045748487,-400.0,0.0002800609104144926
E73,heating,T10_pair,213.29071998107054,-253.22969605052367,-950.0,0.00010264646601805736
E73,heating,T3,160.9548211404949,-203.9457307004687,-650.0,9.319422975980912e-5
E73,heating,T2,6.176929480193232,-11.925672442134726,-100.0,9.81487402398529e-5
E73,heating,T9_pair_minus_T8,56.01482464243063,-67.75945523709117,0.0,0.004541949185759431
E73,heating,T10_pair_minus_T8,56.42360351171778,7.0611532872338785,0.0,0.002851958421207284
E74,heating,T8,279.09405168609527,-282.7241299611064,-200.0,0.0003562396263498768
E74,heating,T9_pair,307.90933709872104,-328.96158619100754,-450.0,0.0001257919509158776
E74,heating,T10_pair,184.48428680964687,-222.39464807731883,-800.0,4.112320378286457e-5
E74,heating,T3,131.7424753774979,-169.69818284759356,-600.0,5.314555569612105e-5
