variant,simulation_id,phase,z_mm,Tsolid_K,Tgas_in_K,Tgas_out_K,Nu,h_W_m2K,UA_over_mcp,effectiveness,Qgas_W,Qaxial_view_W
tc_wire_fixed,E67,heating,2.74,645.8573984449251,296.33849999999995,645.8573801176171,61.87615141623529,1589.2388036454988,16.76367600232452,0.9999999475641859,108.94877489160918,0.0
tc_wire_fixed,E67,heating,8.220000000000002,662.5334166598435,645.8573801176171,662.5330403959969,31.805404381527733,1052.0029779826725,10.699192692095702,0.9999774368540314,5.391142456121418,0.0
tc_wire_fixed,E67,heating,13.700000000000001,666.2454827249774,662.5330403959969,666.2444076289623,23.994195934016595,802.8405691956646,8.147035274770536,0.999710407349178,1.2025287034320709,0.0
tc_wire_fixed,E67,heating,19.180000000000003,665.180620999502,666.2444076289623,665.1820956092243,19.359461138123116,648.7239054625696,6.581196753846228,0.9986138106256894,-0.34430151320436014,0.0
tc_wire_fixed,E67,heating,24.66,662.3575783056252,665.1820956092243,662.3692812395481,16.16685515397813,540.5637450496466,5.486253189992267,0.9958566605671146,-0.9112634454836303,0.0
tc_wire_fixed,E67,heating,30.14,658.8731476112862,662.3692812395481,658.9058865155971,13.803408617477771,459.9058545402492,4.670848854221483,0.9906356827878913,-1.1212615352711077,0.0
tc_wire_fixed,E67,heating,35.620000000000005,655.1203240763764,658.9058865155971,655.1868670756509,11.981821890962529,397.5866499455207,4.041101407386752,0.9824218989006697,-1.2030738912033452,0.0
tc_wire_fixed,E67,heating,41.1,651.2351821741695,655.1868670756509,651.3494719856935,10.542315225096123,348.3082930288107,3.543159895476926,0.9710782073031118,-1.2403418224583178,0.0
tc_wire_fixed,E67,heating,46.580000000000005,647.259441619551,651.3494719856935,647.4359527799585,9.38548400675773,308.70136021934064,3.142923567349133,0.9568435574785278,-1.26387464640349,0.0
tc_wire_fixed,E67,heating,52.06,643.1992898691786,647.4359527799585,643.4525036462259,8.444618647274218,276.4789287146954,2.8172970884872397,0.9402327297734994,-1.2853472606015464,0.0
tc_wire_fixed,E67,heating,57.54,639.0464828687464,643.4525036462259,639.3905568182704,7.672530280719291,250.01450428479188,2.5498706392575885,0.9219082326432189,-1.3095229051128972,0.0
tc_wire_fixed,E67,heating,63.02,634.7857508321641,639.3905568182704,635.2344227087206,7.034552011781982,228.1102862057702,2.3285639832554166,0.9025644342215078,-1.338683946504998,0.0
tc_wire_fixed,E67,heating,68.50000000000001,630.3972342521774,635.2344227087206,630.9639443185076,6.504491857180776,209.8603378506413,2.1442411074310246,0.8828430871731762,-1.3742479173274458,0.0
tc_wire_fixed,E67,heating,73.98000000000002,625.8571117762614,630.9639443185076,626.5553000681126,6.062133237809126,194.5650049231868,1.9898458107789054,0.8632834959682959,-1.4173665155218602,0.0
tc_wire_fixed,E67,heating,79.46000000000002,621.1375621286637,626.5553000681126,621.9810940529491,5.691609196161789,181.67482093335704,1.8598359042980181,0.8443018223263989,-1.4691550855360125,0.0
tc_wire_fixed,E67,heating,84.94000000000001,616.2064716644593,621.9810940529491,617.2101532690482,5.380300189893706,170.75228961770878,1.7497980229248058,0.8261909546519418,-1.5307858863402892,0.0
tc_wire_fixed,E67,heating,90.42000000000002,611.0270370646997,617.2101532690482,612.2071919676796,5.118061238695102,161.44499220697836,1.6561766809953675,0.8091326664457786,-1.6035291725345082,0.0
tc_wire_fixed,E67,heating,95.90000000000002,605.5573210774074,612.2071919676796,606.9324109120766,4.896664738221899,153.46614231376043,1.5760783761933743,0.7932155590147154,-1.6887719716908234,0.0
tc_wire_fixed,E67,heating,101.38000000000001,599.7497900386828,606.9324109120766,601.3410684603882,4.709389341912652,146.58019850436392,1.5071266086300459,0.7784543483841808,-1.7880245155894579,0.0
tc_wire_fixed,E67,heating,106.86000000000001,593.5508561849659,601.3410684603882,595.3830530141635,4.55071065154834,140.59200826528289,1.4473524092456473,0.7648078429161667,-1.9029167103761409,0.0
tc_wire_fixed,E67,heating,112.34,586.9004515429474,595.3830530141635,589.0024887041891,4.416064637561283,135.33847812246472,1.3951102287325807,0.752194280448685,-2.035183930251741,0.0
tc_wire_fixed,E67,heating,117.82000000000002,579.7316685179251,589.0024887041891,582.1374133033931,4.301664133697624,130.68208996254037,1.3490123154230937,0.7405035652581788,-2.186639944779582,0.0
tc_wire_fixed,E67,heating,123.30000000000003,571.9705134079987,582.1374133033931,574.7195774823539,4.204354785399505,126.50579309800897,1.3078768180600349,0.7296064579527908,-2.359133932850722,0.0
tc_wire_fixed,E67,heating,128.78,563.5358321007174,574.7195774823539,566.6744268720128,4.121500803458392,122.70894047524,1.2706862442407767,0.7193610311936369,-2.5544879911207343,0.0
tc_wire_fixed,E67,heating,134.26000000000002,554.3394813322567,566.6744268720128,557.9213422693152,4.050893553884271,119.20403199691914,1.2365538546962398,0.7096168016701758,-2.7744113008233944,0.0
