simulation_id,phase,sensor,rmse_K,steady_error_K,t90_error_s,shape_loss
E67,heating,T8,80.49552053045679,-45.56541946022844,-200.0,0.0031446450827420135
E67,heating,T12_wall,140.0501456547924,-139.11113996402173,-250.0,0.0005177487729944281
E67,heating,T11_wall,82.54473201243698,-92.93096530664843,-750.0,0.00021899259426652512
E67,heating,T3,64.5060540775801,-45.39534576807921,-450.0,0.00044353456720392184
E67,heating,T2,3.8340298454458965,-2.9005198768186347,-100.0,4.903957062670791e-5
E67,heating,T12_minus_T8,79.4367312506477,-93.54572050379329,0.0,0.03270321773442062
E67,heating,T11_minus_T8,57.66097891191345,-47.36554584641999,0.0,0.01836501874190827
E68,heating,T8,64.09310081409745,-32.84367891427496,-200.0,0.0019356391698000391
E68,heating,T12_wall,115.22532453760984,-118.46931845812605,-350.0,0.0002389889685291868
E68,heating,T11_wall,60.82915169434362,-54.42962735770425,-1000.0,0.0001549283092692935
E68,heating,T3,66.43005133498774,-3.853392835806858,-400.0,0.0003107209506313096
E68,heating,T2,4.472678774739748,-4.020696516209284,-50.0,2.4825296678721704e-5
E68,heating,T12_minus_T8,77.87998920885849,-85.6256395438511,0.0,0.02797183495381798
E68,heating,T11_minus_T8,60.55673638347954,-21.585948443429288,0.0,0.009285014874268355
E69,heating,T8,53.16641220681917,0.46515166291533205,-250.0,0.0015879175776901658
E69,heating,T12_wall,77.39256788067173,-79.97896632564937,-400.0,0.0001430493826765454
E69,heating,T11_wall,45.5197819606434,-9.949292519937558,-950.0,0.00013716886169858189
E69,heating,T3,65.12793071718903,33.176727448794736,-350.0,0.00030997377378383525
E69,heating,T2,6.737226061922432,0.41629168765962277,-150.0,0.000126414998289948
E69,heating,T12_minus_T8,74.4934435113022,-80.4441179885647,0.0,0.03563635413384522
E69,heating,T11_minus_T8,52.693046701123386,-10.41444418285289,0.0,0.0074274900392922606
E70,heating,T8,56.843067731914985,-30.11038513473727,-200.0,0.0009473037606681853
E70,heating,T12_wall,81.25004724307723,-83.39499746302522,-550.0,8.816085216425723e-5
E70,heating,T11_wall,63.113267166882665,4.7186851599387865,-900.0,0.00011370149067685305
E70,heating,T3,86.48831323486957,47.66170988865133,-350.0,0.00018889934539967625
E70,heating,T2,5.758006125112689,-7.2311833546947355,0.0,1.63525298285484e-5
E70,heating,T12_minus_T8,51.11082445608559,-53.28461232828795,0.0,0.013351467662683915
E70,heating,T11_minus_T8,87.41152828782732,34.82907029467606,0.0,0.003503822152586276
E71,heating,T8,67.60507718702874,16.73110449105684,-250.0,0.0018775163190675322
E71,heating,T12_wall,52.51952981821897,-18.477761991272246,-750.0,0.00021580744350241157
E71,heating,T11_wall,107.10675702074411,69.94613707955341,-900.0,0.0001518721526695678
E71,heating,T3,122.31123059583273,99.0045074333832,-350.0,0.00021202798804675793
E71,heating,T2,5.380725210508886,-4.7405137981355665,100.0,1.4177474455066708e-5
E71,heating,T12_minus_T8,45.502889385939824,-35.208866482329086,0.0,0.015143769489710232
E71,heating,T11_minus_T8,99.76608231056107,53.21503258849657,0.0,0.005410740269096858
E72,heating,T8,79.51922934494513,-83.19318141804024,-400.0,0.002645220422514343
E72,heating,T12_wall,148.50762896888858,-161.64645531891358,-300.0,0.0004209044002201412
E72,heating,T11_wall,112.74882411568304,-135.89988926571016,-650.0,0.00018292829327081278
E72,heating,T3,71.21425761017439,-94.14112667277641,-450.0,0.00033795263159835964
E72,heating,T2,2.6635260594178773,0.4130389773143861,-150.0,7.07476753313802e-5
E72,heating,T12_minus_T8,78.57270534402306,-78.45327390087334,0.0,0.03833586229102262
E72,heating,T11_minus_T8,46.73263163699451,-52.70670784766992,0.0,0.07503044892111015
E73,heating,T8,77.18148909117299,-72.57688855555875,-300.0,0.0015364972791871976
E73,heating,T12_wall,152.3037877375345,-165.28738935504532,-350.0,0.00016663070464749123
E73,heating,T11_wall,98.88411204776615,-121.7794902672432,-850.0,8.592112542538987e-5
E73,heating,T3,59.70756635062602,-74.81817918991419,-550.0,0.00018740490670070942
E73,heating,T2,3.4812038484668224,-2.0965234644035604,-200.0,7.225506009694027e-5
E73,heating,T12_minus_T8,85.01155860769452,-92.71050079948657,0.0,0.03130475129726353
E73,heating,T11_minus_T8,42.68541070376696,-49.20260171168445,0.0,0.01259393595088088
E74,heating,T8,61.40576955529547,-45.66444128244564,-250.0,0.0009021043788234181
