irradiance,sensor,model_slope_K_per_Lmin,experiment_slope_K_per_Lmin
456000.0,T8,-39.18307322584297,-34.14928244526689
456000.0,T12_wall,-26.554746822175332,-16.81065855368442
456000.0,T11_wall,-17.334806115994045,-1.3657133576718719
456000.0,T3,-15.28275679441735,0.5430107656374393
304000.0,T8,-31.62629381769929,-23.65036823444102
304000.0,T12_wall,-20.5845688989033,-13.173548257550575
304000.0,T11_wall,-13.324751354726933,-1.9289615808695002
304000.0,T3,-11.712226263892033,-0.13175631351821884
256000.0,T8,-23.216575296945482,-20.88606484778701
256000.0,T12_wall,-15.254928023352766,-13.987976018518863
256000.0,T11_wall,-10.023772410451869,-5.174190237226035
256000.0,T3,-8.732485924393668,-3.039355302230513
