irradiance,sensor,model_slope_K_per_Lmin,experiment_slope_K_per_Lmin
456000.0,T8,-38.581227740580616,-34.14928244526689
456000.0,T12_wall,-30.143434392728068,-16.81065855368442
456000.0,T11_wall,-20.796351668027278,-1.3657133576718719
456000.0,T3,-19.778395261031246,0.5430107656374393
304000.0,T8,-30.525887980859064,-23.65036823444102
304000.0,T12_wall,-22.31195530856772,-13.173548257550575
304000.0,T11_wall,-14.8556019525547,-1.9289615808695002
304000.0,T3,-14.127180308000778,-0.13175631351821884
256000.0,T8,-21.840133494248533,-20.88606484778701
256000.0,T12_wall,-15.303923098221315,-13.987976018518863
256000.0,T11_wall,-10.200937832046707,-5.174190237226035
256000.0,T3,-9.527613719934106,-3.039355302230513
