simulation_id,phase,sensor,rmse_K,steady_error_K,t90_error_s,shape_loss
E67,heating,T8,132.24849003382295,-84.10680807029689,500.0,0.0003724928664692704
E67,heating,T12_wall,219.1737855656117,-166.4524535616116,800.0,0.0005828638497508787
E67,heating,T11_wall,151.403614995974,-119.4077482696714,550.0,0.000341974986817889
E67,heating,T9_active,147.45666431117183,-116.2149041066101,550.0,0.0005486345204357344
E67,heating,T10_active,52.65431739896663,-42.20356626467594,50.0,0.00013347623393235623
E67,heating,T3,49.78018036225483,-50.7095453445495,200.0,2.6578387091619282e-5
E67,heating,T2,3.4501359142059984,-6.638697993928588,0.0,2.5090444529920752e-5
E67,heating,T12_minus_T8,87.81268932368955,-82.34564549131471,0.0,0.0015231667268667695
E67,heating,T11_minus_T8,25.485002894259633,-35.30094019937451,0.0,0.0002620311716273427
E67,heating,T12_minus_T9,76.48236777936883,-50.2375494550015,0.0,0.0464222286828294
E67,heating,T11_minus_T10,99.47005146859439,-77.20418200499546,0.0,0.006069169845449883
E68,heating,T8,119.69176073379828,-81.66881086089518,600.0,0.0002111793622272726
E68,heating,T12_wall,195.73848951556508,-149.9748185510398,850.0,0.0003292964242487292
E68,heating,T11_wall,111.7826939727967,-83.07136635498728,450.0,0.0001758993169417353
E68,heating,T9_active,122.6442673280538,-94.4175860427705,600.0,0.00025818461672014566
E68,heating,T10_active,25.348439671366734,-8.849042618047633,-50.0,5.9076474033339845e-5
E68,heating,T3,14.351944235909388,-5.97028057085538,300.0,9.127564192117769e-6
E68,heating,T2,4.920040678909134,-8.034013912645094,100.0,1.1880289832648426e-5
E68,heating,T12_minus_T8,77.33607055295526,-68.30600769014461,0.0,0.0007891683825787055
E68,heating,T11_minus_T8,13.656325060639203,-1.4025554940920983,0.0,0.0001269756755566296
E68,heating,T12_minus_T9,76.575899998104,-55.557232508269294,0.0,0.02748534625418222
E68,heating,T11_minus_T10,91.01527172814517,-74.22232373693964,0.0,0.004510438220343719
E69,heating,T8,98.33080177136395,-55.7047830667542,600.0,0.0002031181181903256
E69,heating,T12_wall,169.63707569383172,-114.6688505824153,900.0,0.0003507518215736742
E69,heating,T11_wall,90.07056173562272,-40.93258762822268,600.0,0.00023848842383039358
E69,heating,T9_active,94.79831842239831,-57.19863883109713,650.0,0.0002103863027919293
E69,heating,T10_active,35.23705361400305,29.60119463249987,150.0,8.606750704543082e-5
E69,heating,T3,26.44736325379873,33.218311206736644,450.0,4.823663754406925e-5
E69,heating,T2,3.8628334742674832,-3.973251999117508,100.0,6.072431595245822e-5
E69,heating,T12_minus_T8,73.23879532865126,-58.9640675156611,0.0,0.001530235685540947
E69,heating,T11_minus_T8,17.107897390055793,14.772195438531526,0.0,0.00021252815503660516
E69,heating,T12_minus_T9,76.86269977783253,-57.470211751318175,0.0,0.0213468358659732
E69,heating,T11_minus_T10,83.19554526359917,-70.53378226072255,0.0,0.0036269965631615846
E70,heating,T8,137.6093411696427,-90.3580437861076,750.0,0.0002005979145874405
E70,heating,T12_wall,173.1146850236185,-118.88361913281335,950.0,0.00023104804076654493
E70,heating,T11_wall,69.7900348057939,-25.27219871941827,550.0,0.00011309118041243864
E70,heating,T9_active,97.99305486514017,-59.22892079823123,750.0,0.0001389948632248863
E70,heating,T10_active,36.72642455865663,42.91549156428016,50.0,3.732022192454369e-5
E70,heating,T3,37.49851960424186,54.72825460297804,400.0,1.3551335924349714e-5
E70,heating,T2,8.195967611564473,-11.641409458216629,250.0,8.726091182542297e-6
E70,heating,T12_minus_T8,37.54251368621815,-28.52557534670575,0.0,0.00023730287319754153
E70,heating,T11_minus_T8,71.62555526756108,65.08584506668933,0.0,0.00020367657003771052
E70,heating,T12_minus_T9,77.2456552590823,-59.65469833458212,0.0,0.022964526324442177
E70,heating,T11_minus_T10,80.96397294116876,-68.18769028369843,0.0,0.004179318358206609
E71,heating,T8,100.34873895882149,-42.15317896626402,850.0,0.0003190078075417969
E71,heating,T12_wall,118.6427172671449,-51.010625678922,1000.0,0.00020339327577678418
E71,heating,T11_wall,48.600762047466795,43.994448931427655,550.0,8.769377476939464e-5
E71,heating,T9_active,52.127611413501114,9.465867650356131,750.0,0.00016804404071793465
E71,heating,T10_active,85.36513437247488,107.74976204814163,150.0,4.1781755325909625e-5
E71,heating,T3,90.59499185465764,121.0531272586835,400.0,1.9556425035597125e-5
E71,heating,T2,6.952880845011028,-9.130569806633332,350.0,6.673453548341772e-6
E71,heating,T12_minus_T8,21.131002411152775,-8.857446712657975,0.0,0.0008914140587713666
E71,heating,T11_minus_T8,86.98400095874763,86.14762789769168,0.0,0.0005352627160317081
E71,heating,T12_minus_T9,76.86990021910961,-60.47649332927813,0.0,0.015530738993422794
E71,heating,T11_minus_T10,74.21491590323001,-63.75531311671398,0.0,0.004232179021860834
E72,heating,T8,107.79892605950594,-102.40650083965704,350.0,0.00027222976422004085
E72,heating,T12_wall,197.69772659863003,-178.52673962231302,700.0,0.0007355778949104504
E72,heating,T11_wall,163.47541336023832,-152.28929200150765,500.0,0.000565215007305834
E72,heating,T9_active,138.7807405382876,-135.37030912486478,450.0,0.0005192661155654132
E72,heating,T10_active,82.05585278671037,-87.0981037343131,0.0,0.00019843025545673526
E72,heating,T3,87.88719460063416,-98.63505491644378,100.0,0.00010399818201222596
E72,heating,T2,1.0849834713323008,-1.8114780503924521,-100.0,2.8198666730521795e-5
E72,heating,T12_minus_T8,90.12116359967449,-76.12023878265597,0.0,0.007697436784076057
