irradiance,sensor,model_slope_K_per_Lmin,experiment_slope_K_per_Lmin
456000.0,T8,-38.08085533925695,-34.14928244526689
456000.0,T12_wall,-29.91750815722329,-16.81065855368442
456000.0,T11_wall,-20.66569341100825,-1.3657133576718719
456000.0,T9_active,-31.108924991402354,-16.731949144758126
456000.0,T10_active,-21.19521310408589,-3.5441256722753445
456000.0,T3,-19.78955514680099,0.5430107656374393
304000.0,T8,-30.13953051927845,-23.65036823444102
304000.0,T12_wall,-22.02718470514456,-13.173548257550575
304000.0,T11_wall,-14.552170971060479,-1.9289615808695002
304000.0,T9_active,-22.851324059106098,-13.384545690629912
304000.0,T10_active,-14.9366394748223,-3.67897996265457
304000.0,T3,-13.855312822599364,-0.13175631351821884
256000.0,T8,-21.40032953626254,-20.88606484778701
256000.0,T12_wall,-14.840839125293801,-13.987976018518863
256000.0,T11_wall,-9.765854672383217,-5.174190237226035
256000.0,T9_active,-15.408208841331117,-13.924381477027032
256000.0,T10_active,-9.999496320979533,-6.148389808009175
256000.0,T3,-9.12594423247445,-3.039355302230513
