irradiance,sensor,model_slope_K_per_Lmin,experiment_slope_K_per_Lmin
456000.0,T8,-38.217835844462094,-34.14928244526689
456000.0,T12_wall,-27.042633505738298,-16.81065855368442
456000.0,T11_wall,-18.253046881013827,-1.3657133576718719
456000.0,T9_active,-27.405498455665434,-16.731949144758126
456000.0,T10_active,-18.369514849871784,-3.5441256722753445
456000.0,T3,-17.28130843423884,0.5430107656374393
304000.0,T8,-30.558887380654195,-23.65036823444102
304000.0,T12_wall,-20.58087029241353,-13.173548257550575
304000.0,T11_wall,-13.395605180112227,-1.9289615808695002
304000.0,T9_active,-20.841357537406793,-13.384545690629912
304000.0,T10_active,-13.514145141387415,-3.67897996265457
304000.0,T3,-12.603377388521123,-0.13175631351821884
256000.0,T8,-22.05933778318742,-20.88606484778701
256000.0,T12_wall,-14.45788452738064,-13.987976018518863
256000.0,T11_wall,-9.42593299393927,-5.174190237226035
256000.0,T9_active,-14.667028031932386,-13.924381477027032
256000.0,T10_active,-9.52392099646811,-6.148389808009175
256000.0,T3,-8.73897748981674,-3.039355302230513
