simulation_id,flow_lpm,irradiance,power_scale,nominal_absorbed_W,scaled_absorbed_W,added_absorbed_W,front_cell_source_fraction,downstream_source_fraction,T8_model,T8_experiment,T12_wall_model,T12_wall_experiment,T11_wall_model,T11_wall_experiment,T9_active_model,T9_active_experiment,T10_active_model,T10_active_experiment,T3_model,T3_experiment,T2_model,T2_experiment,T12_minus_T8_model,T12_minus_T8_experiment,T11_minus_T8_model,T11_minus_T8_experiment,T12_minus_T9_model,T12_minus_T9_experiment,T11_minus_T10_model,T11_minus_T10_experiment,Lambda58_experiment,Lambda107_experiment,mean_nu,mean_effectiveness,receiver_gas_heat,receiver_to_tube_heat,receiver_to_cavity_heat,active_wall_heat,flange_heat_loss,f_side,G_core_side_W_m_K,C_side_eff_J_K,C_participating_eff_J_K,k_side_ref_W_m_K
E67,15.2805125,456000.0,1.669539299381132,131.6928,219.86630504553952,88.17350504553951,1.0,0.0,872.7160098183532,931.6279999999999,831.9102895905103,991.103,761.2960909822883,878.055,842.2399230630103,966.6659999999999,772.4947840781754,824.995,708.0271007486724,763.414,320.1652384044255,326.43699999999995,-40.805720227842926,59.47500000000002,-111.41991883606488,-53.57299999999998,-10.329633472500063,24.437000000000012,-11.198693095887052,53.059999999999945,0.035173069435758465,0.09121281586477252,4.274754838011238,0.7983724295055735,131.6840636124603,33.92008247855352,40.209351419720065,62.323749111948814,34.426058415326715,0.005,31.630515519289652,243.0,301.0215460526567,1.0
E68,12.499871559633025,456000.0,1.669539299381132,131.6928,219.86630504553952,88.17350504553951,1.0,0.0,958.8450900647239,1012.649,901.7636571592234,1047.717,815.185390633359,898.751,913.1711210651529,1020.928,826.7672490964181,850.0989999999999,759.02141014166,773.207,330.6935927303616,338.52,-57.08143290550049,35.0680000000001,-143.65969943136486,-113.89800000000002,-11.40746390592949,26.7890000000001,-11.58185846305912,48.652000000000044,0.03576819369219926,0.0810872748212279,2.4635209630003154,0.6931088620479586,122.41641831993236,33.28990156856545,44.849520934007856,71.9638124910792,39.10006000501779,0.005,31.630515519289652,243.0,301.0215460526567,1.0
E69,10.499733944954128,456000.0,1.669539299381132,131.6928,219.86630504553952,88.17350504553951,1.0,0.0,1031.7176858115674,1058.429,955.471067965348,1070.73,851.2879764647395,896.755,967.6622236914495,1044.378,863.1653682837762,852.837,790.8845612799225,769.76,340.3451596381711,344.308,-76.24661784621946,12.30099999999993,-180.42970934682796,-161.6740000000001,-12.191155726101556,26.35200000000009,-11.877391819036689,43.918000000000006,0.03404688552781276,0.0731946538136868,1.56297093535062,0.6010701372747064,112.42000157825754,34.53196415875711,48.20648057577509,81.27144671568907,41.16777727431912,0.005,31.630515519289652,243.0,301.0215460526567,1.0
E70,9.107139705882352,456000.0,1.669539299381132,131.6928,219.86630504553952,88.17350504553951,1.0,0.0,1091.0629969788108,1152.474,995.7533036284809,1120.277,878.1496491666874,912.173,1008.5350854527635,1093.725,890.1870264868013,871.483,817.5583949266545,779.518,340.4934535822588,352.421,-95.3096933503299,-32.19699999999989,-212.91334781212345,-240.30099999999993,-12.781781824282575,26.552000000000135,-12.037377320113933,40.690000000000055,0.03233171423109301,0.06636406782867674,1.0790928584350203,0.5273005483764096,103.7503457890935,34.31962714928435,51.39784104050431,89.9806537415255,42.942358227005315,0.005,31.630515519289652,243.0,301.0215460526567,1.0
E71,7.126846153846151,456000.0,1.669539299381132,131.6928,219.86630504553952,88.17350504553951,1.0,0.0,1186.7069048083724,1203.298,1052.2331485810944,1120.348,909.1763083264565,882.823,1065.4362045380117,1095.306,921.279799291294,847.476,848.797490955943,753.56,346.02486013287177,356.00399999999996,-134.47375622727805,-82.95000000000005,-277.53059648191595,-320.475,-13.203055956917296,25.041999999999916,-12.103490964837533,35.34699999999998,0.030555252210167617,0.060729555296504756,0.5896337190539169,0.4157214461831632,88.15156998949001,35.32456988094559,55.42528266814605,104.89646250975298,43.88856672537162,0.005,31.630515519289652,243.0,301.0215460526567,1.0
E72,18.707575757575754,304000.0,1.7170694424514947,87.7952,150.75045511391747,62.955255113917474,1.0,0.0,650.0998273699265,737.656,626.353535435464,797.899,585.2678393328566,733.977,632.9426609335519,771.112,592.6306295999409,684.1869999999999,553.2608130025967,652.9549999999999,308.431666569617,309.928,-23.746291934462533,60.24300000000005,-64.83198803706989,-3.6789999999999736,-6.589125498087924,26.787000000000035,-7.362790267084279,49.79000000000008,0.0534162085200319,0.11379140908000156,9.261554648600722,0.9148677734517687,96.12033103100082,23.446272581779674,25.048351943383796,36.61771154125742,21.075999484016027,0.005,31.630515519289652,243.0,301.0215460526567,1.0
E73,13.170870967741934,304000.0,1.7170694424514947,87.7952,150.75045511391747,62.955255113917474,1.0,0.0,755.2734206267611,837.694,713.8877633928831,894.482,652.9360145004188,791.76,721.850793869289,867.5509999999999,661.0365678045838,747.4,613.4795400665566,694.626,320.45299570553124,325.12,-41.385657233877964,56.78800000000001,-102.33740612634233,-45.93399999999997,-7.963030476405834,26.93100000000004,-8.100553304165032,44.360000000000014,0.04507272791175252,0.08965618993530448,3.7731595305989614,0.7779753422421628,86.39262624128556,24.723310962406995,30.901013343961043,45.550931178324575,26.755987046260323,0.005,31.630515519289652,243.0,301.0215460526567,1.0
E74,9.023245901639344,304000.0,1.7170694424514947,87.7952,150.75045511391747,62.955255113917474,1.0,0.0,883.2627221409231,948.538,806.1253057901042,962.509,715.1065669698204,804.0,815.6484144689288,935.491,723.922700291648,767.8009999999999,668.6648784538315,697.672,325.8176847354889,333.964,-77.13741635081885,13.971000000000004,-168.15615517110268,-144.538,-9.523108678824542,27.01800000000003,-8.816133321827579,36.19900000000007,0.040569882365660545,0.07133468518266729,1.39945099044063,0.5818978977386015,71.39683261205576,26.676165140780824,37.6579814196048,59.0548817799158,30.759865744920184,0.005,31.630515519289652,243.0,301.0215460526567,1.0
E75,6.944410852713178,304000.0,1.7170694424514947,87.7952,150.75045511391747,62.955255113917474,1.0,0.0,969.6642423359278,1008.725,857.8384902864037,979.689,744.2212069878813,788.678,867.9887711953037,954.178,753.249722877882,757.393,696.0721981925661,681.066,329.5032603414545,336.517,-111.82575204952411,-29.036000000000058,-225.44303534804658,-220.04700000000003,-10.150280908899958,25.510999999999967,-9.02851589000079,31.284999999999968,0.037352566735263215,0.06359159903855431,0.7282545939921684,0.45601087568106663,60.33885289799475,27.996174716540565,41.453623988413376,69.16055307800556,31.89106999829302,0.005,31.630515519289652,243.0,301.0215460526567,1.0
E76,4.526673611111114,304000.0,1.7170694424514947,87.7952,150.75045511391747,62.955255113917474,1.0,0.0,1093.432244120561,1067.693,917.2996374764194,970.472,771.4379032409322,751.1579999999999,927.1563837978158,947.353,780.2830746654097,726.308,732.5073258339925,647.019,334.55299812659365,338.123,-176.13260664414167,-97.221,-321.9943408796289,-316.5350000000001,-9.856746321396372,23.119000000000028,-8.845171424477485,24.84999999999991,0.034300957931289816,0.05465256036798639,0.2634178201827456,0.294236073045262,44.446304356858626,28.497188208962637,46.02414159765853,84.69152289399564,32.26413110761054,0.005,31.630515519289652,243.0,301.0215460526567,1.0
