index,name,value
1,A_Nu_app,0.001502107632562677
2,B_Re,2.533521266762132
3,C_Pr_fixed,0.3333333333333333
4,reserved,1.0
5,beta_opt,184.67243519237965
6,front_dep,1.0
7,scale_456,1.669539299381132
8,scale_304,1.7170694424514947
9,scale_256,0.9827026344016692
10,f_side,0.00031146399009212027
11,G_core_side_W_m_K,32.63508525236098
12,C_side_eff_J_K,157.4455455398344
13,k_side_ref_W_m_K,0.01488263433836151
14,alpha9_max,0.0
15,alpha10_max,0.0
16,Re50_alpha,150.0
17,alpha_m,6.0
# law,Nu_app,A*Re^B*Pr^(1/3)
# fixed,Pr_exponent,0.3333333333333333
# fixed,standard_air_density_kg_m3,1.1996169394909721
# fixed,eta_abs,0.8
# fixed,eta_opt,1.0
# fixed,beta_opt,184.67243519237965
# fixed,front_dep,1.0
# fitted,f_side,0.00031146399009212027
# fitted,G_core_side_W_m_K,32.63508525236098
# fitted,C_side_eff_J_K,157.4455455398344
# fitted,k_side_ref_W_m_K,0.01488263433836151
# fitted,alpha9_max,0.0
# fitted,alpha10_max,0.0
# fitted,Re50_alpha,150.0
# fitted,alpha_m,6.0
# fixed_thermal,true
# derived,C_active_eff_J_K,58.021546052656696
# derived,C_participating_eff_J_K,215.4670915924911
# reference,measured_C_eff_J_K,301.0
# derived,front_cell_source_fraction,1.0
# derived,downstream_source_fraction,0.0
# fixed_power_scale,456000.0,1.669539299381132,131.6928,219.86630504553952
# fixed_power_scale,304000.0,1.7170694424514947,87.7952,150.75045511391747
# fixed_power_scale,256000.0,0.9827026344016692,73.9328,72.65395732869173
# fixed,h_front,10.0
# fixed,eps_front,0.95
# fixed,T3_sample_position_m,0.14
# fixed,cavity_heat_capacity_J_per_K,4025.7299551151973
# fixed,water_flange_temperature_K,298.15
