irradiance,sensor,model_slope_K_per_Lmin,experiment_slope_K_per_Lmin
456000.0,T8,-29.24911972444527,-34.14928244526689
456000.0,T12_perim,-24.499963591111026,-16.81065855368442
456000.0,T11_perim,-17.701138194434076,-1.3657133576718719
456000.0,T9_core,-24.881183247797935,-16.731949144758126
456000.0,T10_core,-17.856335009651037,-3.5441256722753445
456000.0,T3,-14.885645153537977,0.5430107656374393
304000.0,T8,-22.678875189735653,-23.65036823444102
304000.0,T12_perim,-17.97084737905683,-13.173548257550575
304000.0,T11_perim,-12.564538844182337,-1.9289615808695002
304000.0,T9_core,-18.26492504369432,-13.384545690629912
304000.0,T10_core,-12.708132800866824,-3.67897996265457
304000.0,T3,-10.369504324348869,-0.13175631351821884
256000.0,T8,-20.991600209596516,-20.88606484778701
256000.0,T12_perim,-15.534136067208616,-13.987976018518863
256000.0,T11_perim,-10.697315585825374,-5.174190237226035
256000.0,T9_core,-15.800153309339478,-13.924381477027032
256000.0,T10_core,-10.837362354382455,-6.148389808009175
256000.0,T3,-8.853966173297707,-3.039355302230513
