simulation_id,flow_lpm,irradiance,power_scale,nominal_absorbed_W,scaled_absorbed_W,added_absorbed_W,front_cell_source_fraction,downstream_source_fraction,T8_model,T8_experiment,T12_perim_model,T12_perim_experiment,T11_perim_model,T11_perim_experiment,T9_core_model,T9_core_experiment,T10_core_model,T10_core_experiment,T3_model,T3_experiment,T2_model,T2_experiment,T12_minus_T8_model,T12_minus_T8_experiment,T11_minus_T8_model,T11_minus_T8_experiment,T12_minus_T9_model,T12_minus_T9_experiment,T11_minus_T10_model,T11_minus_T10_experiment,mean_nu,mean_effectiveness,receiver_gas_heat,G_core_perim_W_m_K,C_perim_eff_J_K,C_participating_eff_J_K
E67,15.2805125,456000.0,1.669539299381132,131.6928,219.86630504553952,88.17350504553951,1.0,0.0,1036.229351150281,931.6279999999999,863.17099517332,991.103,762.2536197878935,878.055,884.212473721106,966.6659999999999,785.2065179013873,824.995,717.837229257738,763.414,321.0984467176959,326.43699999999995,-173.05835597696102,59.47500000000002,-273.9757313623875,-53.57299999999998,-21.041478547786028,24.437000000000012,-22.952898113493802,53.059999999999945,3.6099999999999994,0.8701664455690428,102.55018162806236,15.0,250.0,322.52693256582086
E68,12.499871559633025,456000.0,1.669539299381132,131.6928,219.86630504553952,88.17350504553951,1.0,0.0,1137.459517246256,1012.649,960.8890177886817,1047.717,834.257927052059,898.751,984.4824463184544,1020.928,857.7493313080728,850.0989999999999,779.8033957767256,773.207,333.02811885169757,338.52,-176.57049945757421,35.0680000000001,-303.2015901941969,-113.89800000000002,-23.593428529772723,26.7890000000001,-23.491404256013766,48.652000000000044,3.61,0.9511542468338652,85.75100810613621,15.0,250.0,322.52693256582086
E69,10.499733944954128,456000.0,1.669539299381132,131.6928,219.86630504553952,88.17350504553951,1.0,0.0,1212.7132202437215,1058.429,1028.1340878973092,1070.73,876.1470460350815,896.755,1053.1886087359387,1044.378,899.7289727260595,852.837,811.8025388300168,769.76,343.0240501696585,344.308,-184.57913234641228,12.30099999999993,-336.56617420863995,-161.6740000000001,-25.054520838629514,26.35200000000009,-23.58192669097798,43.918000000000006,3.61,0.9836185444919495,70.6230730834431,15.0,250.0,322.52693256582086
E70,9.107139705882352,456000.0,1.669539299381132,131.6928,219.86630504553952,88.17350504553951,1.0,0.0,1267.0846148324877,1152.474,1076.8875811281744,1120.277,909.1304398733822,912.173,1102.7194098295595,1093.725,932.5036381815072,871.483,840.3453792049845,779.518,343.90043785724765,352.421,-190.1970337043133,-32.19699999999989,-357.95417495910544,-240.30099999999993,-25.83182870138512,26.552000000000135,-23.373198308124984,40.690000000000055,3.6099999999999994,0.9948086202185423,59.68382115457467,15.0,250.0,322.52693256582086
E71,7.126846153846151,456000.0,1.669539299381132,131.6928,219.86630504553952,88.17350504553951,1.0,0.0,1339.551255452263,1203.298,1136.5448562018116,1120.348,941.7052208960887,882.823,1162.743782603398,1095.306,964.3767468677381,847.476,863.9979836898398,753.56,349.37691688805177,356.00399999999996,-203.0063992504513,-82.95000000000005,-397.84603455617423,-320.475,-26.198926401586277,25.041999999999916,-22.67152597164943,35.34699999999998,3.61,0.9995623600980735,43.047741505448485,15.0,250.0,322.52693256582086
E72,18.707575757575754,304000.0,1.7170694424514947,87.7952,150.75045511391747,62.955255113917474,1.0,0.0,760.4802373485068,737.656,623.3059145448527,797.899,571.8083368497291,733.977,635.6241931470817,771.112,586.7206204551642,684.1869999999999,553.0798696652326,652.9549999999999,308.4742696983634,309.928,-137.17432280365404,60.24300000000005,-188.67190049877763,-3.6789999999999736,-12.31827860222893,26.787000000000035,-14.91228360543505,49.79000000000008,3.6099999999999994,0.690886445991559,85.28036199859916,15.0,250.0,322.52693256582086
E73,13.170870967741934,304000.0,1.7170694424514947,87.7952,150.75045511391747,62.955255113917474,1.0,0.0,898.0329525551074,837.694,749.6195827804142,894.482,664.7647486484876,791.76,766.2729360429623,867.5509999999999,681.7710290897356,747.4,630.6875368855308,694.626,321.9208056819887,325.12,-148.41336977469314,56.78800000000001,-233.26820390661976,-45.93399999999997,-16.65335326254808,26.93100000000004,-17.00628044124801,44.360000000000014,3.61,0.8956267234464387,66.5249298486047,15.0,250.0,322.52693256582086
E74,9.023245901639344,304000.0,1.7170694424514947,87.7952,150.75045511391747,62.955255113917474,1.0,0.0,1041.3545080162044,948.538,867.3620822491714,962.509,739.5211141164302,804.0,887.2684442397107,935.491,757.6172170924577,767.8009999999999,690.2120196415244,697.672,328.4096624511519,333.964,-173.99242576703296,13.971000000000004,-301.83339389977414,-144.538,-19.906361990539267,27.01800000000003,-18.09610297602751,36.19900000000007,3.6099999999999994,0.9884126818472783,43.858389730317285,15.0,250.0,322.52693256582086
E75,6.944410852713178,304000.0,1.7170694424514947,87.7952,150.75045511391747,62.955255113917474,1.0,0.0,1114.5897877300858,1008.725,922.1953237908436,979.689,768.4480129806673,788.678,942.8787676334108,954.178,786.5054180241573,757.393,711.0579877981019,681.066,332.0447731340609,336.517,-192.3944639392422,-29.036000000000058,-346.1417747494186,-220.04700000000003,-20.683443842567158,25.510999999999967,-18.057405043490007,31.284999999999968,3.6099999999999994,0.9988834666662849,30.998724537178013,15.0,250.0,322.52693256582086
E76,4.526673611111114,304000.0,1.7170694424514947,87.7952,150.75045511391747,62.955255113917474,1.0,0.0,1193.4942032736317,1067.693,980.1420285897135,970.472,798.6497821279044,751.1579999999999,1000.6848428698606,947.353,816.0637438499955,726.308,733.260150614409,647.019,336.9150949871047,338.123,-213.35217468391818,-97.221,-394.8444211457273,-316.5350000000001,-20.542814280147127,23.119000000000028,-17.41396172209113,24.84999999999991,3.6099999999999994,0.9999975264105484,17.174504765637224,15.0,250.0,322.52693256582086
