irradiance,sensor,model_slope_K_per_Lmin,experiment_slope_K_per_Lmin
456000.0,T8,-31.916114816271918,-34.14928244526689
456000.0,T12_perim,-28.656321676084506,-16.81065855368442
456000.0,T11_perim,-24.955494527234915,-1.3657133576718719
456000.0,T9_core,-28.88925304445469,-16.731949144758126
456000.0,T10_core,-24.779498455527843,-3.5441256722753445
456000.0,T3,-22.341584068602526,0.5430107656374393
304000.0,T8,-25.78753283201135,-23.65036823444102
304000.0,T12_perim,-22.228075213070397,-13.173548257550575
304000.0,T11_perim,-17.898327033898486,-1.9289615808695002
304000.0,T9_core,-22.395961942195267,-13.384545690629912
304000.0,T10_core,-17.869768694155056,-3.67897996265457
304000.0,T3,-15.250363609301862,-0.13175631351821884
256000.0,T8,-19.422023143675023,-20.88606484778701
256000.0,T12_perim,-15.389901249658399,-13.987976018518863
256000.0,T11_perim,-11.361466033815319,-5.174190237226035
256000.0,T9_core,-15.519899722622466,-13.924381477027032
256000.0,T10_core,-11.414619811702263,-6.148389808009175
256000.0,T3,-9.388919000834884,-3.039355302230513
