simulation_id,phase,sensor,rmse_K,steady_error_K,t90_error_s,shape_loss
E67,heating,T8,109.54009960125775,-89.20114966789765,100.0,0.0002262062022633264
E67,heating,T12_perim,146.30902698090728,-126.19609349879659,200.0,0.0003644993664823234
E67,heating,T11_perim,68.8320544773535,-71.89258820245811,-200.0,0.00022095067123838102
E67,heating,T9_core,136.62756139177387,-131.46237471516872,100.0,0.00016496169213929063
E67,heating,T10_core,35.70967084387173,-50.13899910999919,-650.0,0.00013455312530442773
E67,heating,T3,80.6855372256651,-103.2485893003103,-200.0,4.35677558947459e-5
E67,heating,T2,2.9242273643447727,-4.318012474662396,-50.0,3.2042155281775423e-5
E68,heating,T8,93.19757296872584,-84.80993491581842,100.0,8.754128233494539e-5
E68,heating,T12_perim,126.16883776037247,-114.92384797102739,150.0,0.0002219770673807363
E68,heating,T11_perim,47.74236530328163,-57.161709073442125,-600.0,0.00011482108641597781
E68,heating,T9_core,115.23509544074444,-115.66391464498929,0.0,8.946418196389936e-5
E68,heating,T10_core,32.752069845763764,-40.01520945531877,-1000.0,7.842808630316794e-5
E68,heating,T3,77.28263773713091,-97.12040053924864,-100.0,2.082908970607118e-5
E68,heating,T2,4.14804721918924,-6.495687846628073,0.0,1.6388625010214055e-5
E69,heating,T8,61.81288779785875,-55.5899928573931,50.0,2.5094408320632738e-5
E69,heating,T12_perim,102.9730710036323,-84.1065272818139,150.0,0.00028695568736271214
E69,heating,T11_perim,40.3847622938277,-32.97473850164067,-550.0,0.00016830809667020606
E69,heating,T9_core,88.85037451418289,-83.8451713267666,50.0,0.00015068748569863972
E69,heating,T10_core,30.879661322540997,-21.186298494152197,-900.0,0.00012257593224755442
E69,heating,T3,80.11230929165002,-92.1827413885187,50.0,4.7990416792961045e-5
E69,heating,T2,4.750814889366876,-3.0513547474564575,-50.0,8.282095654131296e-5
E70,heating,T8,95.22061656466033,-87.43469069223897,100.0,2.6335707111823977e-5
E70,heating,T12_perim,106.10106001817215,-94.23195840151675,0.0,0.000187610708225336
E70,heating,T11_perim,34.3671658404901,-37.093500173783355,-1000.0,6.902517143709936e-5
E70,heating,T9_core,92.99626521183424,-92.82086923658699,-100.0,0.00010471878899793786
E70,heating,T10_core,35.122638381276225,-29.24105761564863,-1300.0,5.224475780293318e-5
E70,heating,T3,86.37628716018895,-105.58225962035078,-50.0,1.7794448226334012e-5
E70,heating,T2,7.506471452348745,-11.815763678751694,50.0,1.1656392782705781e-5
E71,heating,T8,45.91584351933007,-37.77139020783966,100.0,0.00023461280859986343
E71,heating,T12_perim,58.238811242443724,-39.472538818526345,-150.0,0.00020344871223980943
