variant,simulation_id,z_mm,Tperim_K,Tcore_K,Tgas_in_K,Tgas_out_K,Nu,h_W_m2K,k_perim_W_m_K,effectiveness,Qgas_W,Qcore_source_W,Qperim_source_W,Qcore_perim_W,Qrear_core_sink_W,Qrear_perim_sink_W,active_flow_fraction,flange_scale,rear_sink_shape,k_core_axial_scale
initial_energy_accounting,E67,2.74,820.5206927620492,811.3467450767723,296.33849999999995,811.3045905372131,31.316381018132645,913.1010064113785,1.835362280756884,0.9999181478355692,164.29038306594146,163.1253551514629,6.051953941663571,1.136739285713358,0.0,0.0,1.0,0.1013880304808569,0.7367028166003418,0.0
initial_energy_accounting,E67,8.220000000000002,836.6268730893158,818.1529940805151,811.3045905372131,818.148354255849,19.251672593818224,748.7732321693443,1.945577875836387,0.999322495434631,2.3090172091289594,0.0,6.038518073077636,2.289089141256139,0.0,0.0,1.0,0.1013880304808569,0.7367028166003418,0.0
initial_energy_accounting,E67,13.700000000000001,848.0599217549523,825.0133107264497,818.148354255849,824.9989302998877,16.197205695117127,633.8611763383386,2.026435600142992,0.997905241406308,2.314655544498469,0.0,6.025112033298194,2.855694086930357,0.553589242577914,0.0,1.0,0.1013880304808569,0.7367028166003418,0.0
initial_energy_accounting,E67,19.180000000000003,856.2779157303385,830.675654893109,824.9989302998877,830.6530279572684,14.446212049543728,568.4981637343682,2.0859188937050286,0.9960140860333933,1.9129023070675832,0.0,6.011735756102854,3.172363381084724,1.2661094504674064,0.0,1.0,0.1013880304808569,0.7367028166003418,0.0
initial_energy_accounting,E67,24.66,862.1165222393925,835.0802388934464,830.6530279572684,835.0529534111092,13.261506424049413,524.2051786203964,2.1288795637568336,0.9938368686898933,1.4901550203261391,0.0,5.998389175416309,3.35005239547397,1.8625604518770498,0.0,1.0,0.1013880304808569,0.7367028166003418,0.0
initial_energy_accounting,E67,30.14,866.0638240582691,838.1862112854768,835.0529534111092,838.1595218374507,12.386944112065974,491.2561718489155,2.158255631769599,0.9914818859167419,1.0529476556744848,0.0,5.985072225309433,3.4543011054658264,2.401794801338012,0.0,1.0,0.1013880304808569,0.7367028166003418,0.0
initial_energy_accounting,E67,35.620000000000005,868.419809175883,840.0056202866213,838.1595218374507,839.9853353905357,11.705832904064813,465.2483445646349,2.175917135344758,0.9890120182406025,0.6191626542191747,0.0,5.971784840000185,3.520787984647095,2.901029814095767,0.0,1.0,0.1013880304808569,0.7367028166003418,0.0
initial_energy_accounting,E67,41.1,869.3827241035542,840.582984535608,839.9853353905357,840.5748952184151,11.15583809092788,443.85560071260534,2.183163217726268,0.9864647724177418,0.19997909628836022,0.0,5.958526953851493,3.5685613770981393,3.3675416664375093,0.0,1.0,0.1013880304808569,0.7367028166003418,0.0
initial_energy_accounting,E67,46.580000000000005,869.0951473384184,839.9799659844346,840.5748952184151,839.9895663559115,10.700005781396033,425.71696422193077,2.180997476400501,0.9838630026419413,-0.19854367254857214,0.0,5.945298501373064,3.607647611601101,3.8049030351585746,0.0,1.0,0.1013880304808569,0.7367028166003418,0.0
initial_energy_accounting,E67,52.06,867.6684172399357,838.2664368294784,839.9895663559115,838.2987958033866,10.314747559032446,409.9759765880794,2.170273946392868,0.9812208116616613,-0.5733728199471596,0.0,5.932099417219579,3.6431847397582757,4.215027968917246,0.0,1.0,0.1013880304808569,0.7367028166003418,0.0
initial_energy_accounting,E67,57.54,865.1954904055777,835.5154692125279,838.2987958033866,835.575180132629,9.984149691620644,396.0633442049938,2.1517704020171147,0.9785469228450349,-0.9232039952033314,0.0,5.91892963619038,3.6776366345636715,4.599016122970879,0.0,1.0,0.1013880304808569,0.7367028166003418,0.0
initial_energy_accounting,E67,63.02,861.7575778056399,831.8004589434455,835.575180132629,831.8916310135122,9.697004134521865,383.58413594171844,2.1262215772606052,0.9758466743641884,-1.2477483634328401,0.0,5.905789093230382,3.7119716686517554,4.957551128997773,0.0,1.0,0.1013880304808569,0.7367028166003418,0.0
initial_energy_accounting,E67,68.50000000000001,857.4273539559108,827.1933477690451,831.8916310135122,827.319622443618,9.445141016088037,372.25479571201333,2.094330373708566,0.9731232307627361,-1.5473605550580392,0.0,5.892677723427956,3.7462806390609793,5.291104037307441,0.0,1.0,0.1013880304808569,0.7367028166003418,0.0
initial_energy_accounting,E67,73.98000000000002,852.2701624014917,821.7633557046322,827.319622443618,821.9279416000655,9.222436120752517,361.8658524358907,2.0567667403455214,0.9703783307812647,-1.822861102721893,0.0,5.879595462017349,3.780083214300234,5.600040471420658,0.0,1.0,0.1013880304808569,0.7367028166003418,0.0
initial_energy_accounting,E67,79.46000000000002,846.3438906315392,815.5758664906807,821.9279416000655,815.7815927526698,9.024191970055194,352.2587476584193,2.0141591275087887,0.9676127472603125,-2.0754768855389005,0.0,5.86654224437384,3.8124505376046707,5.8846745773840015,0.0,1.0,0.1013880304808569,0.7367028166003418,0.0
initial_energy_accounting,E67,84.94000000000001,839.6977541855479,808.6912143052828,815.7815927526698,808.9406073270135,8.84673714250288,343.3108205531178,1.9670806349134937,0.9648265570616126,-2.306864353132348,0.0,5.853518006018886,3.842004904006777,6.145289465674681,0.0,1.0,0.1013880304808569,0.7367028166003418,0.0
initial_energy_accounting,E67,90.42000000000002,832.3699455345625,801.1631478639783,808.9406073270135,801.4585414243622,8.687159196400822,334.92519690663573,1.9160302446032438,0.9620192735445445,-2.5192053851772647,0.0,5.84052268261498,3.866818747003846,6.3821325308509245,0.0,1.0,0.1013880304808569,0.7367028166003418,0.0
initial_energy_accounting,E67,95.90000000000002,824.3838715283144,793.0367219058585,801.4585414243622,793.3804175003447,8.54312305535317,327.02370994067917,1.8614083065685814,0.9591898646449133,-2.715383065026469,0.0,5.827556209969577,3.884209687413862,6.595387481615554,0.0,1.0,0.1013880304808569,0.7367028166003418,0.0
initial_energy_accounting,E67,101.38000000000001,815.7424602379342,784.3452919467064,793.3804175003447,784.7397957341827,8.412746664381473,319.54171724706174,1.8034844128096048,0.9563366568472961,-2.8992597766301196,0.0,5.814618524030265,3.8904074757338534,6.785120030344017,0.0,1.0,0.1013880304808569,0.7367028166003418,0.0
initial_energy_accounting,E67,106.86000000000001,806.4197120013073,775.1061599643252,784.7397957341827,775.5545372789836,8.29451729568011,312.4240808984203,1.7423547882554002,0.9534571032816859,-3.0760967041208147,0.0,5.801709560888382,3.880046627341633,6.95118936888662,0.0,1.0,0.1013880304808569,0.7367028166003418,0.0
initial_energy_accounting,E67,112.34,796.3482468824863,765.314219055052,775.5545372789836,765.8206297484599,8.187239120839083,305.6217959772577,1.6778853146562787,0.950547367539386,-3.253175367143753,0.0,5.788829256777515,3.8454109218414856,7.09311165225652,0.0,1.0,0.1013880304808569,0.7367028166003418,0.0
initial_energy_accounting,E67,117.82000000000002,785.4009985049655,754.9326451518584,765.8206297484599,755.5031577178519,8.090007746349727,299.08885907784037,1.6096354759762999,0.9476016372973652,-3.4407114670467807,0.0,5.775977548071373,3.775318479639654,7.209853590506248,0.0,1.0,0.1013880304808569,0.7367028166003418,0.0
initial_energy_accounting,E67,123.30000000000003,773.3643474649552,743.8792420514932,755.5031577178519,744.5230788364851,8.002211671568856,292.77899666991163,1.536758517762638,0.9446110240755416,-3.653192086275929,0.0,5.763154371285608,3.6534847174540475,7.299522542052757,0.0,1.0,0.1013880304808569,0.7367028166003418,0.0
initial_energy_accounting,E67,128.78,759.8987955203698,732.0064097214964,744.5230788364851,732.7378611893411,7.923565125505717,286.64183532289184,1.4578755632348892,0.9415618116029996,-3.911320691379498,0.0,5.750359663077208,3.4561316237651867,7.358902483724978,0.0,1.0,0.1013880304808569,0.7367028166003418,0.0
initial_energy_accounting,E67,134.26000000000002,744.4816846804104,655.9461594401096,732.7378611893411,660.8394430219664,7.96115584902363,275.24694392021996,1.3709298790961886,0.9362784849092654,-23.633643554247186,0.0,5.7375933602432845,10.970392809568246,6.27556795928765,0.0,1.0,0.1013880304808569,0.7367028166003418,0.0
