irradiance,sensor,model_slope_K_per_Lmin,experiment_slope_K_per_Lmin
456000.0,T8,-18.50143290729374,-34.14928244526689
456000.0,T12_perim,-9.933959144674718,-16.81065855368442
456000.0,T11_perim,-4.0257220724815825,-1.3657133576718719
456000.0,T9_core,-9.288835205386592,-16.731949144758126
456000.0,T10_core,-3.2723827083726067,-3.5441256722753445
456000.0,T3,-3.0049576576868864,0.5430107656374393
304000.0,T8,-13.230064683714367,-23.65036823444102
304000.0,T12_perim,-6.030403932530648,-13.173548257550575
304000.0,T11_perim,-2.1171828034421756,-1.9289615808695002
304000.0,T9_core,-5.441749043225419,-13.384545690629912
304000.0,T10_core,-1.6651033322025481,-3.67897996265457
304000.0,T3,-1.515943938694361,-0.13175631351821884
256000.0,T8,-14.564154442524641,-20.88606484778701
256000.0,T12_perim,-5.563840119888865,-13.987976018518863
256000.0,T11_perim,-1.6017614067134194,-5.174190237226035
256000.0,T9_core,-4.682992945577198,-13.924381477027032
256000.0,T10_core,-1.155529999337224,-6.148389808009175
256000.0,T3,-1.1488266006293038,-3.039355302230513
