metric,value,target,status
Nu_app_prefactor,2.7399296945748616e-5,3.1e-4,diagnostic
Nu_app_Re_exponent,1.8225372037295742,1.44,diagnostic
Nu_app_log_r2,0.970399603490746,0.97,diagnostic
Lambda107_intercept,-0.062097112272908074,0.038,diagnostic
Lambda107_slope,0.00010944693764307527,8.3e-4,diagnostic
Lambda107_r2,0.15465130393302784,linear trend,diagnostic
K_loss_min,0.1423668384089558,0.10-0.16,diagnostic
K_loss_max,0.20237322244296999,0.10-0.16,diagnostic
epsilon_mean_min,0.9464222685038751,epsilon*=0.66,diagnostic
epsilon_mean_max,0.9994187289755336,epsilon*=0.66,diagnostic
C_receiver_participating,221.73051158598122,301 +/- 23,below assembly target
C_total_with_rear,297.51537285368687,301 +/- 23,pass
