irradiance,signal,slope_model_K_per_LPM,slope_experiment_K_per_LPM,error_K_per_LPM
456000.0,T8,-41.64768949184813,-34.14928244526689,-7.498407046581242
456000.0,T12_perim,-34.574154108336515,-16.81065855368442,-17.763495554652096
456000.0,T11_perim,-25.851905159545538,-1.3657133576718719,-24.486191801873666
456000.0,T9_core,-35.02952352427598,-16.731949144758126,-18.297574379517854
456000.0,T10_core,-24.882304913454348,-3.5441256722753445,-21.338179241179002
456000.0,T3,-18.886839396458516,0.5430107656374393,-19.429850162095956
456000.0,T2,-4.978365927915357,-3.714704533708543,-1.2636613942068142
304000.0,T8,-35.37812845040657,-23.65036823444102,-11.72776021596555
304000.0,T12_perim,-28.151793863482204,-13.173548257550575,-14.97824560593163
304000.0,T11_perim,-20.022986829508344,-1.9289615808695002,-18.094025248638843
304000.0,T9_core,-28.463846234222096,-13.384545690629912,-15.079300543592185
304000.0,T10_core,-19.13571209073874,-3.67897996265457,-15.45673212808417
304000.0,T3,-13.627428244005086,-0.13175631351821884,-13.495671930486868
304000.0,T2,-2.9641218201871347,-2.0439067897339482,-0.9202150304531864
256000.0,T8,-32.37970055320843,-20.88606484778701,-11.493635705421418
256000.0,T12_perim,-24.081546602669572,-13.987976018518863,-10.09357058415071
256000.0,T11_perim,-15.560639699612413,-5.174190237226035,-10.386449462386377
256000.0,T9_core,-24.316035406478164,-13.924381477027032,-10.391653929451133
256000.0,T10_core,-14.65741069152044,-6.148389808009175,-8.509020883511266
256000.0,T3,-9.321233301345796,-3.039355302230513,-6.281877999115283
256000.0,T2,-1.6489532870392507,-1.1393701213842518,-0.509583165654999
