irradiance,signal,slope_model_K_per_LPM,slope_experiment_K_per_LPM,error_K_per_LPM
256000.0,T8,-28.498955850352125,-20.88606484778701,-7.612891002565114
256000.0,T12_perim,-19.501305305370877,-13.987976018518863,-5.513329286852015
256000.0,T11_perim,-11.66486013906083,-5.174190237226035,-6.490669901834795
256000.0,T9_core,-19.51188629698569,-13.924381477027032,-5.587504819958658
256000.0,T10_core,-10.984067540903796,-6.148389808009175,-4.835677732894621
256000.0,T3,-0.0641697134528509,-3.039355302230513,2.9751855887776624
256000.0,T2,-1.3404835664616095,-1.1393701213842518,-0.20111344507735773
304000.0,T8,-32.183224527743185,-23.65036823444102,-8.532856293302164
304000.0,T12_perim,-23.57325334153619,-13.173548257550575,-10.399705083985616
304000.0,T11_perim,-15.59699987371916,-1.9289615808695002,-13.668038292849658
304000.0,T9_core,-23.632738440983896,-13.384545690629912,-10.248192750353985
304000.0,T10_core,-14.860282095657295,-3.67897996265457,-11.181302133002726
304000.0,T3,-0.9033179488251123,-0.13175631351821884,-0.7715616353068935
304000.0,T2,-2.6090344109809416,-2.0439067897339482,-0.5651276212469933
456000.0,T8,-38.079586095158255,-34.14928244526689,-3.930303649891364
456000.0,T12_perim,-28.810631750990296,-16.81065855368442,-11.999973197305877
456000.0,T11_perim,-20.01377007709672,-1.3657133576718719,-18.648056719424847
456000.0,T9_core,-28.90825590651415,-16.731949144758126,-12.176306761756024
456000.0,T10_core,-19.157727013254913,-3.5441256722753445,-15.613601340979569
456000.0,T3,-2.245597872890757,0.5430107656374393,-2.7886086385281965
456000.0,T2,-4.471211937432169,-3.714704533708543,-0.7565074037236257
