simulation_id,phase,sensor,rmse_K,steady_error_K,t90_error_s,shape_loss
E67,heating,T8,136.09211681012528,-115.93206398371376,-150.0,0.001892144648661193
E67,heating,T9_pair,151.67116251962833,-150.48177332078353,-200.0,0.000674531186519449
E67,heating,T10_pair,72.56387152251271,-78.1875701765415,-750.0,0.00031535731614338377
E67,heating,T3,65.45307573066074,-41.52553522127744,-450.0,0.00047810606676904565
E67,heating,T2,4.877683513981453,-9.551587184255652,-50.0,5.49891886846019e-5
E68,heating,T8,118.1997562018023,-105.43305985355869,-150.0,0.0011061173799718981
E68,heating,T9_pair,125.22504500724685,-124.35653997296652,-350.0,0.00033939509018847565
E68,heating,T10_pair,57.621449525470126,-33.94454065829427,-750.0,0.00021390133342403451
E68,heating,T3,72.34783843672353,9.350091722665866,-350.0,0.0003467157909719768
E68,heating,T2,7.093678009611343,-12.373354567176648,0.0,2.7264127646282665e-5
E69,heating,T8,87.00464179058405,-78.44839055175908,-200.0,0.0008562750369861451
E69,heating,T9_pair,84.80926669197123,-85.44684451983551,-350.0,0.0002353979734806525
E69,heating,T10_pair,57.13936221998126,13.743075906957984,-800.0,0.0001830971496914839
E69,heating,T3,81.33629768929434,54.07812538224766,-300.0,0.00034736873729789713
E69,heating,T2,5.875525247383584,-8.12150971210417,0.0,0.00012180425180561912
E70,heating,T8,118.96003352557668,-107.41944167201837,-100.0,0.0004892143232655159
E70,heating,T9_pair,85.58308731031114,-82.11706623811574,-450.0,0.0001462380029664701
E70,heating,T10_pair,81.23620840821792,36.482058032840314,-700.0,0.00015776269658473622
E70,heating,T3,109.30584982977845,78.8955392232624,-300.0,0.00023540031253381825
E70,heating,T2,10.686553951292264,-16.881688507042497,100.0,1.841705432453185e-5
E71,heating,T8,81.30727950376924,-58.825169003350084,-150.0,0.0012151915189274963
E71,heating,T9_pair,52.3150076406688,-6.4138338993093384,-600.0,0.0002870438809954372
E71,heating,T10_pair,143.41664522524235,116.6007816224037,-600.0,0.0002356269999308739
E71,heating,T3,162.05443729381435,148.42404225782172,-250.0,0.00029532732711298634
E71,heating,T2,9.44847838895623,-14.425117832238755,200.0,1.486641931319608e-5
E72,heating,T8,99.09389075831405,-106.9537859281678,-350.0,0.0017320865884921496
E72,heating,T9_pair,131.72854935734864,-143.49144936642801,-300.0,0.0006197219474752474
E72,heating,T10_pair,81.6089319272271,-101.47920742732799,-600.0,0.00029370186191374323
E72,heating,T3,60.76895182335902,-77.3468024827647,-450.0,0.0003942127503180402
E72,heating,T2,1.7647974118220393,-2.5140823211491465,-150.0,6.839909905483032e-5
E73,heating,T8,100.35736661052353,-99.65658888905273,-250.0,0.0009859972628568183
E73,heating,T9_pair,132.85145444379182,-142.94132016315348,-350.0,0.0002789680091222208
E73,heating,T10_pair,67.11706700835568,-82.07212673690822,-800.0,0.00015079216566063643
E73,heating,T3,47.79968968735227,-47.97368942982098,-500.0,0.000241676319509186
E73,heating,T2,3.6585880939190054,-6.309603610618467,-150.0,7.379272558234815e-5
E74,heating,T8,85.71655032751742,-76.4527020935061,-150.0,0.0005588694758217037
E74,heating,T9_pair,96.46934674049778,-98.85448400219673,-400.0,0.00015365921420690346
E74,heating,T10_pair,46.596653983788244,-12.948339141296287,-650.0,0.00013346454341151167
E74,heating,T3,63.27513089997522,21.870431811402682,-400.0,0.00020327866601265612
E74,heating,T2,5.989382455891354,-9.973192874551899,50.0,2.0618523546124674e-5
E75,heating,T8,57.55668459670768,-45.51994548601908,-200.0,0.00044537750254972737
E75,heating,T9_pair,51.91316056212488,-46.57080004005172,-550.0,0.00012487596281311714
E75,heating,T10_pair,80.6884473909959,49.195092466505116,-700.0,0.0001494521171203466
E75,heating,T3,101.46020169184058,78.47901331679736,-400.0,0.00022537545049011924
E75,heating,T2,5.269066901568015,-8.27425853953929,50.0,1.656682543470262e-5
E76,heating,T8,38.813543124779805,20.03616827682322,-200.0,0.00040893154740964297
E76,heating,T9_pair,66.63271120816464,48.99988375558962,-500.0,0.00013100782922020963
