simulation_id,phase,sensor,rmse_K,steady_error_K,t90_error_s,shape_loss
E67,heating,T8,108.27111649006795,142.54849756165345,1250.0,0.0086745355363987
E67,heating,T12_perim,202.13262560606248,140.98411052207996,2200.0,0.02872491805024071
E67,heating,T11_perim,181.63664331342807,224.87689046791854,1900.0,0.049744445061782355
E67,heating,T9_core,182.07987390356237,217.18750560080457,2100.0,0.02971017142976197
E67,heating,T10_core,170.1067855000856,274.3176077630784,1600.0,0.04961783769192655
E67,heating,T3,171.07770175953695,326.1598421271401,1250.0,0.08687951486714236
E67,heating,T2,14.507651920508698,-27.277340770084038,-300.0,0.3433240001945999
E68,heating,T8,105.50073875112828,117.3050280029289,1550.0,0.0066912450416608165
E68,heating,T12_perim,196.94095811596304,191.56483238284363,2700.0,0.021994461782178745
E68,heating,T11_perim,211.4360292330819,333.4369638874198,2250.0,0.03808763942532329
E68,heating,T9_core,195.45984893313326,260.515688465057,2600.0,0.02404014605670554
E68,heating,T10_core,223.9890086902643,376.55776983377064,1900.0,0.04505586120988094
E68,heating,T3,259.45662212565753,449.74339963506134,1600.0,0.08295010420963511
E68,heating,T2,21.582856465145237,-36.66784670449266,0.0,0.28425944420497135
E69,heating,T8,106.20769917175421,103.7187000153724,1600.0,0.008405703751134518
E69,heating,T12_perim,208.82265691781274,207.8729534780589,2800.0,0.023701214404896028
E69,heating,T11_perim,228.7664813751284,361.9632613098289,2350.0,0.041787733155916724
E69,heating,T9_core,204.64557618674795,270.24210650941177,2700.0,0.02321378704173245
E69,heating,T10_core,237.7148923911916,399.38597527240813,2050.0,0.04837985591214644
E69,heating,T3,270.5026855591401,476.21264061568877,1700.0,0.08751791486722782
E69,heating,T2,32.70255101701894,-43.99409874128935,-400.0,0.2244580867899072
E70,heating,T8,118.85789659354404,47.979308464648966,1950.0,0.00761909574192945
E70,heating,T12_perim,206.2889922476838,226.55941817603752,3250.0,0.01962265118794276
E70,heating,T11_perim,262.3596338498561,431.3204012305382,2550.0,0.032301213942041794
E70,heating,T9_core,209.71842868128593,284.8643242258256,3150.0,0.0199717072950446
E70,heating,T10_core,279.6596320702287,465.034549893458,2300.0,0.042544153412771915
E70,heating,T3,335.2885365355267,555.5713311671939,1900.0,0.07075642171485987
E70,heating,T2,31.756259154238425,-49.9036777544116,350.0,0.25677775837111233
E71,heating,T8,118.54220506716595,41.53827176394384,2100.0,0.00575245883465659
E71,heating,T12_perim,209.205799141634,276.1228845658213,3350.0,0.017850165539395148
E71,heating,T11_perim,297.47331923973127,502.02829496203856,2500.0,0.031610808658727146
E71,heating,T9_core,219.52789531358127,327.58957106634375,3250.0,0.016315795571237805
E71,heating,T10_core,315.0041878529516,529.8487147234181,2300.0,0.03989066438123475
E71,heating,T3,373.9966980339538,620.9659415445458,1900.0,0.08616710165612577
E71,heating,T2,32.64138711507293,-51.45851463944609,50.0,0.2548177533096133
E72,heating,T8,114.17889503216918,166.6858315157159,1000.0,0.012965125430225393
E72,heating,T12_perim,145.9486124694121,95.86234961847094,1750.0,0.03780408654263828
E72,heating,T11_perim,141.8083752982767,121.37824114264015,1500.0,0.04978103897997322
E72,heating,T9_core,126.26718334522691,169.20500327782247,1650.0,0.03383202122254606
E72,heating,T10_core,117.68234625431334,171.73639669327167,1200.0,0.06125977379867844
E72,heating,T3,105.03327230057188,193.30320196057858,950.0,0.05416183880804428
E72,heating,T2,5.646912402107203,-11.617136798198771,-200.0,0.3047173285054889
