variant,simulation_id,r_mm,z_mm,T_solid_K,T_gas_K,h_W_m2K
initial_2D_model,E68,1.7625,4.566666666666666,1829.6146189922608,298.7555,244.21901871893752
initial_2D_model,E68,1.7625,13.700000000000001,1826.9293986299394,1794.150000951699,268.4956212818719
initial_2D_model,E68,1.7625,22.833333333333336,1801.3968685194711,1826.0911755495197,268.4956212818719
initial_2D_model,E68,1.7625,31.966666666666665,1777.8366749928693,1802.0283425419882,267.0988834649746
initial_2D_model,E68,1.7625,41.099999999999994,1759.8613212366788,1778.4605639880872,264.2158310173487
initial_2D_model,E68,1.7625,50.233333333333334,1746.7230328646147,1760.350018214657,262.04682161775725
initial_2D_model,E68,1.7625,59.36666666666667,1737.3795366558243,1747.0865000600338,260.47784512530137
initial_2D_model,E68,1.7625,68.5,1730.9711053009146,1737.6414047859591,259.3778132414698
initial_2D_model,E68,1.7625,77.63333333333333,1726.8274737590891,1731.15253502208,258.64020756549394
initial_2D_model,E68,1.7625,86.76666666666667,1724.4276256625672,1726.9457757690654,258.1819631607226
initial_2D_model,E68,1.7625,95.9,1723.3657692826,1724.4967473036888,257.93846816456164
initial_2D_model,E68,1.7625,105.03333333333335,1723.3265088334047,1723.3968725999305,257.8594681952566
initial_2D_model,E68,1.7625,114.16666666666667,1724.066374777527,1723.3284451151949,257.9060327715084
initial_2D_model,E68,1.7625,123.30000000000001,1725.3992501159776,1724.0460756645496,258.04824054614255
initial_2D_model,E68,1.7625,132.4333333333333,1727.1840212631362,1725.3620678275033,258.2632981160472
initial_2D_model,E68,5.2875,4.566666666666666,1805.100118355907,298.7555,242.61509892821078
initial_2D_model,E68,5.2875,13.700000000000001,1802.1468025200832,1632.049363189603,256.9908323919157
initial_2D_model,E68,5.2875,22.833333333333336,1780.916346354517,1780.6921233272817,265.83204726581727
initial_2D_model,E68,5.2875,31.966666666666665,1761.851411208178,1780.889085837786,264.5225253717027
initial_2D_model,E68,5.2875,41.099999999999994,1747.4070249749566,1764.1774757559845,262.35995676482287
initial_2D_model,E68,5.2875,50.233333333333334,1737.02237021039,1749.4737232769526,260.61872164729215
initial_2D_model,E68,5.2875,59.36666666666667,1729.8519823993072,1738.567957716375,259.3644529364149
initial_2D_model,E68,5.2875,68.5,1725.1712021133274,1730.9397493661493,258.5105607922776
initial_2D_model,E68,5.2875,77.63333333333333,1722.4035368742661,1725.893834471846,257.968626221994
initial_2D_model,E68,5.2875,86.76666666666667,1721.096252049619,1722.8418287909149,257.6663137109296
