variant,simulation_id,r_mm,z_mm,T_solid_K,T_gas_K,h_W_m2K
fitted_2D_model,E81,1.7625,4.566666666666666,1424.6430863826997,297.84499999999997,146.2582453684566
fitted_2D_model,E81,1.7625,13.700000000000001,1285.5981095338054,1422.8652783722541,207.9697004042983
fitted_2D_model,E81,1.7625,22.833333333333336,1155.1153321570707,1285.6265475944238,190.8194268839401
fitted_2D_model,E81,1.7625,31.966666666666665,1073.2475468905996,1155.1627453650567,177.5397992776136
fitted_2D_model,E81,1.7625,41.099999999999994,1023.092081947119,1073.2936075428815,169.37683592285154
fitted_2D_model,E81,1.7625,50.233333333333334,990.2668405703109,1023.1289840864002,164.2630422945104
fitted_2D_model,E81,1.7625,59.36666666666667,966.7477046910292,990.2954107463325,160.7916578388645
fitted_2D_model,E81,1.7625,68.5,948.4815395213744,966.7706503582228,158.2152716657123
fitted_2D_model,E81,1.7625,77.63333333333333,933.5101674219096,948.5009382874982,156.1635378151721
fitted_2D_model,E81,1.7625,86.76666666666667,920.9414383701436,933.52718088902,154.46123458748585
fitted_2D_model,E81,1.7625,95.9,910.4250171346991,920.9565488898112,153.03230454098545
fitted_2D_model,E81,1.7625,105.03333333333335,901.8903938081464,910.4382740113186,151.85145538313427
fitted_2D_model,E81,1.7625,114.16666666666667,895.419464563147,901.901583590437,150.9201765137754
fitted_2D_model,E81,1.7625,123.30000000000001,891.1896600726787,895.4282168287746,150.25533508225337
fitted_2D_model,E81,1.7625,132.4333333333333,889.4526564037145,891.1955110657276,149.8842628560285
fitted_2D_model,E81,5.2875,4.566666666666666,1360.7086870321382,297.84499999999997,142.24494004829106
fitted_2D_model,E81,5.2875,13.700000000000001,1246.9098444200183,1332.993544566148,199.66972814324487
fitted_2D_model,E81,5.2875,22.833333333333336,1135.8154290760954,1247.661557183704,187.21411084337842
fitted_2D_model,E81,5.2875,31.966666666666665,1063.9079513629044,1137.0526185788783,175.838284795245
fitted_2D_model,E81,5.2875,41.099999999999994,1018.5613413777456,1064.9120750473592,168.5806945570282
fitted_2D_model,E81,5.2875,50.233333333333334,988.0594283074668,1019.2914435027146,163.89071744312767
