irradiance,sensor,model_slope_K_per_Lmin,experiment_slope_K_per_Lmin
456000.0,T8,-7.534271964131367,-34.14928244526689
456000.0,T12_perim,-1.5174808662876682,-16.81065855368442
456000.0,T11_perim,3.7767847098936005,-1.3657133576718719
456000.0,T9_core,-1.428246696049595,-16.731949144758126
456000.0,T10_core,3.8311074285421958,-3.5441256722753445
456000.0,T3,5.531189676908412,0.5430107656374393
456000.0,T2,-4.44648955058502,-3.714704533708543
304000.0,T8,-7.9067830207600895,-23.65036823444102
304000.0,T12_perim,-1.9655783499700223,-13.173548257550575
304000.0,T11_perim,2.017403410585766,-1.9289615808695002
304000.0,T9_core,-1.920647916698102,-13.384545690629912
304000.0,T10_core,2.0474728236772353,-3.67897996265457
304000.0,T3,3.270485845365703,-0.13175631351821884
304000.0,T2,-3.491475129297406,-2.0439067897339482
256000.0,T8,-10.345507968850784,-20.88606484778701
256000.0,T12_perim,-5.577754366671973,-13.987976018518863
256000.0,T11_perim,-2.417425996757525,-5.174190237226035
256000.0,T9_core,-5.581364106587823,-13.924381477027032
256000.0,T10_core,-2.4073132427508805,-6.148389808009175
256000.0,T3,-0.8378400341050892,-3.039355302230513
256000.0,T2,-3.3590810786748664,-1.1393701213842518
