simulation_id,flow_lpm,irradiance,T8_model,T8_experiment,T12_perim_model,T12_perim_experiment,T11_perim_model,T11_perim_experiment,T9_core_model,T9_core_experiment,T10_core_model,T10_core_experiment,T3_model,T3_experiment,T2_model,T2_experiment,T12_minus_T9_model,T12_minus_T9_experiment,T11_minus_T10_model,T11_minus_T10_experiment
E67,15.2805125,456000.0,1074.1764975616534,931.6279999999999,1132.08711052208,991.103,1102.9318904679185,878.055,1183.8535056008045,966.6659999999999,1099.3126077630784,824.995,1089.57384212714,763.414,299.1596592299159,326.43699999999995,-51.7663950787246,24.437000000000012,3.6192827048400886,53.059999999999945
E68,12.499871559633025,456000.0,1129.954028002929,1012.649,1239.2818323828437,1047.717,1232.1879638874198,898.751,1281.443688465057,1020.928,1226.6567698337706,850.0989999999999,1222.9503996350613,773.207,301.8521532955073,338.52,-42.16185608221326,26.7890000000001,5.5311940536491875,48.652000000000044
E69,10.499733944954128,456000.0,1162.1477000153725,1058.429,1278.602953478059,1070.73,1258.718261309829,896.755,1314.6201065094117,1044.378,1252.2229752724081,852.837,1245.9726406156888,769.76,300.31390125871064,344.308,-36.01715303135279,26.35200000000009,6.495286037420783,43.918000000000006
E70,9.107139705882352,456000.0,1200.453308464649,1152.474,1346.8364181760376,1120.277,1343.4934012305382,912.173,1378.5893242258255,1093.725,1336.517549893458,871.483,1335.089331167194,779.518,302.5173222455884,352.421,-31.752906049787953,26.552000000000135,6.9758513370802575,40.690000000000055
E71,7.126846153846151,456000.0,1244.8362717639438,1203.298,1396.4708845658213,1120.348,1384.8512949620385,882.823,1422.8955710663438,1095.306,1377.324714723418,847.476,1374.5259415445457,753.56,304.54548536055387,356.00399999999996,-26.424686500522512,25.041999999999916,7.526580238620454,35.34699999999998
E72,18.707575757575754,304000.0,904.3418315157159,737.656,893.761349618471,797.899,855.3552411426401,733.977,940.3170032778224,771.112,855.9233966932716,684.1869999999999,846.2582019605785,652.9549999999999,298.3108632018012,309.928,-46.55565365935149,26.787000000000035,-0.5681555506314453,49.79000000000008
E73,13.170870967741934,304000.0,982.3442517981357,837.694,1029.6657493224504,894.482,1004.9898643276758,791.76,1065.0258012952193,867.5509999999999,1002.2207164868436,747.4,994.6313036037419,694.626,299.38676602728606,325.12,-35.360051972768815,26.93100000000004,2.769147840832261,44.360000000000014
E74,9.023245901639344,304000.0,1063.8291802653098,948.538,1149.5277139901636,962.509,1128.529865252508,804.0,1174.6791661829711,935.491,1124.2223946692427,767.8009999999999,1118.1859799509948,697.672,299.53248580246094,333.964,-25.151452192807483,27.01800000000003,4.307470583265285,36.19900000000007
E75,6.944410852713178,304000.0,1107.5071519033863,1008.725,1194.2320167126222,979.689,1163.7452069587227,788.678,1214.9056803345882,954.178,1159.0170116734098,757.393,1151.1909802366406,681.066,300.0491174574126,336.517,-20.673663621965943,25.510999999999967,4.72819528531295,31.284999999999968
E76,4.526673611111114,304000.0,1164.6449579480848,1067.693,1248.6038247313088,970.472,1212.7802560957366,751.1579999999999,1265.0642987656195,947.353,1207.7853045702423,726.308,1199.4683350017988,647.019,299.9022670947577,338.123,-16.460474034310664,23.119000000000028,4.9949515254943435,24.84999999999991
E77,13.84748387096774,256000.0,751.6792613146845,565.544,719.7299001677039,623.3499999999999,670.4962287608349,574.299,740.9363852260011,602.429,669.6576608687636,543.727,660.474118858203,525.356,298.3758915556479,308.37,-21.206485058297176,20.920999999999935,0.8385678920712962,30.572000000000003
E78,10.009137614678897,256000.0,842.2114656337502,631.689,865.2711803921404,685.819,839.6593947385575,612.092,882.5828746647971,663.635,837.8971021042373,583.704,831.4004236058506,554.4549999999999,300.1201127540635,312.95899999999995,-17.311694272656723,22.18399999999997,1.762292634320147,28.388000000000034
E79,8.033490566037736,256000.0,871.0207566714291,676.213,888.0751121916073,716.108,848.9747110784605,622.325,902.7816947793939,694.063,846.8714191580808,595.766,837.4200189996758,560.0329999999999,298.90489153064937,314.96,-14.706582587786556,22.04499999999996,2.103291920379661,26.559000000000083
E80,6.605050847457628,256000.0,904.7247000818485,710.3340000000001,926.8975913639982,735.351,887.311051384912,626.4849999999999,939.9439708135449,713.233,885.0606663573841,601.77,875.518244081597,561.2539999999999,298.83293183753636,316.11899999999997,-13.046379449546635,22.118000000000052,2.2503850275279547,24.714999999999918
E81,4.527140495867768,256000.0,947.3548576270409,760.0609999999999,955.8452925514534,749.902,904.2797367788286,618.9749999999999,966.7477046910292,728.5039999999999,901.8903938081464,597.766,889.9697390473924,550.499,300.2841542988344,319.315,-10.902412139575745,21.39800000000014,2.3893429706821507,21.208999999999946
