simulation_id,flow_lpm,irradiance,T8_model,T8_experiment,T12_perim_model,T12_perim_experiment,T11_perim_model,T11_perim_experiment,T9_core_model,T9_core_experiment,T10_core_model,T10_core_experiment,T3_model,T3_experiment,T2_model,T2_experiment,T12_minus_T9_model,T12_minus_T9_experiment,T11_minus_T10_model,T11_minus_T10_experiment
E67,15.2805125,456000.0,1521.6770431305529,931.6279999999999,1622.9952653872106,991.103,1671.1404736062311,878.055,1675.765543800688,966.6659999999999,1655.5399273317003,824.995,1657.783891974791,763.414,301.1181700788337,326.43699999999995,-52.7702784134774,24.437000000000012,15.60054627453087,53.059999999999945
E68,12.499871559633025,456000.0,1570.9742870043094,1012.649,1687.6796092757393,1047.717,1742.9120583632634,898.751,1737.3795366558243,1020.928,1723.3265088334047,850.0989999999999,1728.8645247507475,773.207,303.63963823305426,338.52,-49.699927380085,26.7890000000001,19.58554952985878,48.652000000000044
E69,10.499733944954128,456000.0,1598.4928940057314,1058.429,1721.917313721364,1070.73,1779.6275085338953,896.755,1769.5003206900099,1044.378,1757.2984413371084,852.837,1764.605515026347,769.76,302.15392657567895,344.308,-47.583006968645805,26.35200000000009,22.32906719678681,43.918000000000006
E70,9.107139705882352,456000.0,1622.2718123867687,1152.474,1752.8463382500747,1120.277,1814.4586520743014,912.173,1799.1218398162343,1093.725,1789.65865123049,871.483,1798.7935414664648,779.518,304.16393006236945,352.421,-46.27550156615962,26.552000000000135,24.800000843811404,40.690000000000055
E71,7.126846153846151,456000.0,1652.8336821453063,1203.298,1791.896964009989,1120.348,1855.5277726375143,882.823,1834.9120097276616,1095.306,1828.532440536983,847.476,1839.3932997558343,753.56,306.17878727742277,356.00399999999996,-43.01504571767259,25.041999999999916,26.995332100531414,35.34699999999998
E72,18.707575757575754,304000.0,1266.9926169794448,737.656,1316.5417361341842,797.899,1340.088348509971,733.977,1361.6448431018803,771.112,1335.8362419183818,684.1869999999999,1332.2105053808586,652.9549999999999,299.89925689034703,309.928,-45.10310696769602,26.787000000000035,4.252106591589154,49.79000000000008
E73,13.170870967741934,304000.0,1374.2079489302425,837.694,1444.2859619964397,894.482,1475.5188618880534,791.76,1484.0327489396977,867.5509999999999,1467.9334014353963,747.4,1468.0480726328574,694.626,301.0307620258885,325.12,-39.74678694325803,26.93100000000004,7.5854604526571165,44.360000000000014
E74,9.023245901639344,304000.0,1450.04167474299,948.538,1531.5550405792533,962.509,1566.1347444421158,804.0,1567.2086119365772,935.491,1555.9558017511424,767.8009999999999,1558.4542867827129,697.672,301.1017975065787,333.964,-35.653571357323926,27.01800000000003,10.178942690973372,36.19900000000007
E75,6.944410852713178,304000.0,1485.4216870229216,1008.725,1570.435018967307,979.689,1605.9006667237625,788.678,1604.2232262733264,954.178,1594.4359335424572,757.393,1597.8840696850073,681.066,301.6288719857105,336.517,-33.78820730601933,25.510999999999967,11.464733181305292,31.284999999999968
E76,4.526673611111114,304000.0,1526.9663222991037,1067.693,1615.8601840821168,970.472,1652.8284137186902,751.1579999999999,1647.628689000179,947.353,1639.7830198547704,726.308,1644.365868874659,647.019,301.45041701469665,338.123,-31.768504918062263,23.119000000000028,13.045393863919799,24.84999999999991
E77,13.84748387096774,256000.0,946.5663380132223,565.544,959.6411655667902,623.3499999999999,963.3876183204095,574.299,985.1371537411358,602.429,962.4892897207853,543.727,958.8395467822029,525.356,299.2327868547283,308.37,-25.495988174345598,20.920999999999935,0.8983285996241648,30.572000000000003
E78,10.009137614678897,256000.0,1099.81668065021,631.689,1132.5159905582157,685.819,1145.7414516541612,612.092,1155.664390016489,663.635,1143.649084973533,583.704,1142.4309833181562,554.4549999999999,301.1689695043735,312.95899999999995,-23.14839945827339,22.18399999999997,2.0923666806281744,28.388000000000034
E79,8.033490566037736,256000.0,1132.588453809394,676.213,1165.587611308616,716.108,1177.943172144192,622.325,1187.7519038903088,694.063,1175.4075023927987,595.766,1174.370358783748,560.0329999999999,300.0307878644946,314.96,-22.164292581692735,22.04499999999996,2.535669751393243,26.559000000000083
E80,6.605050847457628,256000.0,1171.020188183011,710.3340000000001,1206.8561613858549,735.351,1220.3461608460193,626.4849999999999,1228.1453507472575,713.233,1217.454359067152,601.77,1216.9248151873867,561.2539999999999,299.9658991961857,316.11899999999997,-21.289189361402578,22.118000000000052,2.891801778867375,24.714999999999918
E81,4.527140495867768,256000.0,1215.806268042388,760.0609999999999,1252.444501688799,749.902,1265.9078321418372,618.9749999999999,1272.6521356822232,728.5039999999999,1262.5684931130945,597.766,1262.3773625137976,550.499,301.5103553792578,319.315,-20.207633993424224,21.39800000000014,3.3393390287426428,21.208999999999946
