stage,evaluation,objective,beta_opt,heat_transfer_scale,axial_conductivity_scale
profile,1,5.193912960052663,110.0,1.0,1.0
profile,2,5.486952734460437,110.0,0.5,1.0
profile,3,5.5457132366625945,160.0,1.0,1.4
profile,4,4.895935202200556,80.0,1.5,0.6
profile,5,4.7394633169941285,155.0,0.7,0.56
profile,6,5.183540907243869,82.5,1.3499999999999999,0.9200000000000002
profile,7,6.193196724522306,227.5,0.26666666666666666,1.2800000000000002
profile,8,6.432354572322226,46.25,0.9166666666666666,1.6400000000000001
profile,9,3.9847639559389494,191.25,1.5666666666666664,0.272
profile,10,5.121266622946669,118.75,0.4833333333333333,0.6320000000000001
profile,11,5.1368295780132645,263.75,1.1333333333333333,0.992
profile,12,7.757649314550817,28.125,1.7833333333333332,1.3520000000000003
profile,13,6.843033736202327,173.125,0.12222222222222222,1.7120000000000002
profile,14,4.649608535682347,100.625,0.7722222222222223,0.34400000000000003
profile,15,4.722170695783748,245.625,1.4222222222222223,0.7040000000000002
profile,16,6.0583031613838045,64.375,0.33888888888888885,1.064
profile,17,5.571489046802901,209.375,0.9888888888888888,1.4240000000000002
profile,18,5.773243987291144,136.875,1.6388888888888886,1.784
profile,19,4.756992357455075,281.875,0.5555555555555556,0.41600000000000004
profile,20,10.275858301684753,19.0625,1.2055555555555555,0.776
profile,21,5.214867793356075,164.0625,1.8555555555555554,1.1360000000000001
profile,22,6.449310898805591,91.5625,0.19444444444444442,1.4960000000000002
profile,23,4.033189950400652,218.79999999999998,0.986,0.2
profile,24,4.036615648674388,195.6,0.986,0.2
profile,25,4.039560864127222,241.99999999999997,0.986,0.2
profile,26,4.133409745214976,218.79999999999998,0.83,0.2
profile,27,3.9670873098019572,218.79999999999998,1.142,0.2
profile,28,4.033189950400652,218.79999999999998,0.986,0.2
profile,29,4.246080641975118,218.79999999999998,0.986,0.34400000000000003
