stage,evaluation,objective,transient_loss,steady_loss,radial_loss,axial_loss,cooling_loss,side_solid_fraction,side_gas_heat_fraction,active_side_conductance_W_K_m,side_felt_contact_h_W_m2K,beta_opt_1_m,heat_transfer_scale,power_scale_456,power_scale_304,power_scale_256
heating_shape,1,5.028385119867276,1.5410806024767025,2.723658450601222,1.4585423408362008,0.8794384044051552,0.4371238992687189,0.025,0.0125,100.0,5.0,75.0,0.75,1.25,1.05,0.77
heating_shape,2,5.020178974749498,1.5499651714449145,2.7328164688513787,1.4602482595053679,0.8047817458558599,0.4371238992687189,0.025,0.0125,100.0,5.0,75.0,1.2,1.25,1.05,0.77
heating_shape,3,5.009980681447902,1.5494000659778837,2.727165012754541,1.4603246783014359,0.7779404818571423,0.4371238992687189,0.025,0.0125,100.0,5.0,75.0,1.8,1.25,1.05,0.77
heating_shape,4,4.907398544849198,1.4062067906111078,2.4963236754046787,1.4696647820153983,1.097451763197434,0.4371238992687189,0.025,0.0125,100.0,5.0,150.0,0.75,1.25,1.05,0.77
heating_shape,5,4.846168322423694,1.4095087120888907,2.4935561942531144,1.4671281906054094,0.8977950550546512,0.4371238992687189,0.025,0.0125,100.0,5.0,150.0,1.2,1.25,1.05,0.77
heating_shape,6,4.815278009179759,1.4059836213114485,2.481777699797263,1.4654523721812636,0.8267352334095881,0.4371238992687189,0.025,0.0125,100.0,5.0,150.0,1.8,1.25,1.05,0.77
heating_shape,7,4.989628704961177,1.363914897665323,2.4270948299835977,1.469825774452939,1.5809491566233542,0.4371238992687189,0.025,0.0125,100.0,5.0,250.0,0.75,1.25,1.05,0.77
heating_shape,8,4.912277019160573,1.3645146101691525,2.41857257437826,1.466800459281269,1.3447599937389325,0.4371238992687189,0.025,0.0125,100.0,5.0,250.0,1.2,1.25,1.05,0.77
heating_shape,9,4.875436220369202,1.3594480574972687,2.403736537250422,1.4645521141194011,1.2649236029444826,0.4371238992687189,0.025,0.0125,100.0,5.0,250.0,1.8,1.25,1.05,0.77
heating_shape,10,5.045042581186657,1.3463372530799884,2.3986040051922606,1.4696912977444618,1.8534174343264576,0.4371238992687189,0.025,0.0125,100.0,5.0,400.0,0.75,1.25,1.05,0.77
heating_shape,11,4.962006970008071,1.3454435759936638,2.386891257171311,1.4660934118612934,1.6093131647890437,0.4371238992687189,0.025,0.0125,100.0,5.0,400.0,1.2,1.25,1.05,0.77
heating_shape,12,4.924784713354043,1.3394765576165173,2.370146040808161,1.46427831816293,1.5309497220544104,0.4371238992687189,0.025,0.0125,100.0,5.0,400.0,1.8,1.25,1.05,0.77
heating_shape,13,5.399838098812526,1.527573480046132,2.690032589300034,1.71647271005338,0.8893311652183655,0.4474928546616102,0.075,0.0225,30.0,5.0,75.0,0.75,1.25,1.05,0.77
heating_shape,14,5.383909708498863,1.5359326053571194,2.6981618249788846,1.720657499866463,0.7793195950585983,0.4474928546616102,0.075,0.0225,30.0,5.0,75.0,1.2,1.25,1.05,0.77
