evaluation,objective,transient_loss,steady_loss,radial_loss,axial_loss,cooling_loss,side_solid_fraction,side_gas_heat_fraction,active_side_conductance_W_K_m,side_felt_contact_h_W_m2K
1,5.273955494907152,1.4147439152948054,2.500724996067624,1.731465792317541,0.9707475329420814,0.441142264866248,0.025,0.0075,30.0,5.0
2,4.848963183652018,1.408924023029241,2.4925423560334012,1.4681311529810417,0.9048889944081695,0.43722605203748666,0.025,0.0075,100.0,5.0
3,5.264081735433046,1.4174839198159785,2.5053251395759193,1.7286550390909472,0.9387145314703615,0.4408067113335253,0.025,0.0125,30.0,5.0
4,4.846168322423694,1.4095087120888907,2.4935561942531144,1.4671281906054094,0.8977950550546512,0.4371238992687189,0.025,0.0125,100.0,5.0
5,5.303230667737734,1.4081547654941198,2.4861048078662673,1.7303599710580193,1.1050077196999328,0.44440437477344963,0.05,0.015,30.0,5.0
6,4.8620110725510175,1.4103685792440264,2.491277373472064,1.4687253519052703,0.9377837704868026,0.43967224452285,0.05,0.015,100.0,5.0
7,5.280034251764737,1.4137334911850097,2.4959896444930108,1.7245146512097207,1.0295583727372266,0.4437287571921498,0.05,0.025,30.0,5.0
8,4.855832780590435,1.411801357101127,2.4937631573990675,1.466685737465092,0.9204679783275742,0.4394669531473567,0.05,0.025,100.0,5.0
9,5.335081922497875,1.403543677295676,2.4751277598182693,1.728366836649658,1.2423441165047548,0.4474928546616102,0.075,0.0225,30.0,5.0
10,4.875844968495869,1.4120496323271188,2.4906401155699625,1.469114216452193,0.9728441007325487,0.442157493199413,0.075,0.0225,100.0,5.0
11,5.296563177347349,1.4113714473687113,2.488350358415073,1.719720405758395,1.1195801247083763,0.4464639528080225,0.075,0.0375,30.0,5.0
12,4.865959087282297,1.4143447759500232,2.494559241757782,1.4660193417763177,0.9443215365100335,0.4418421303749063,0.075,0.0375,100.0,5.0
13,5.369066058308073,1.4005847840919452,2.466854501068897,1.7262120175716849,1.3794025029074268,0.4505722933314083,0.1,0.03,30.0,5.0
14,4.889649858501853,1.4140411796784278,2.4901771824630066,1.4692009281612484,1.007895067937718,0.4447712229226699,0.1,0.03,100.0,5.0
15,5.314148662552352,1.4102353158457206,2.483009140143732,1.7147113516462373,1.2075481127220642,0.44935828675507117,0.1,0.05,30.0,5.0
16,4.876799979882114,1.4172300593568123,2.4956194027857075,1.4655522102545808,0.9680068622300659,0.4443074512773964,0.1,0.05,100.0,5.0
