phase,simulation_id,sensor,rmse_K,steady_error_K,t90_error_s
heating_training,E67,T8,159.74296296066936,-136.03129079281064,200.0
heating_training,E67,T12,200.71258019878226,-193.51935389716039,100.0
heating_training,E67,T11,104.0543892107393,-125.10858379158935,-450.0
heating_training,E67,T9,161.50177315496637,-165.86300117010933,-200.0
heating_training,E67,T10,62.787829155564765,-64.67632677436268,-1050.0
heating_training,E67,T3,58.201747706287655,-30.739980103420294,-1150.0
heating_training,E67,T2,15.747196188895934,16.028302903109818,-500.0
heating_validation,E68,T8,130.0746545427418,-118.29048801480008,150.0
heating_validation,E68,T12,159.05554147948672,-159.4821165576367,50.0
heating_validation,E68,T11,53.22471356338669,-67.85466879310775,-850.0
heating_validation,E68,T9,123.26237368968692,-128.77654939242552,-350.0
heating_validation,E68,T10,71.25567485302716,-11.476115266121951,-1450.0
heating_validation,E68,T3,94.07078188356388,32.67139813694075,-1450.0
heating_validation,E68,T2,21.211065676726747,18.973229789815093,-850.0
heating_training,E69,T8,85.54374577300389,-71.91986642784138,150.0
heating_training,E69,T12,109.12955796311984,-103.7653397917444,0.0
heating_training,E69,T11,29.156603625395157,-3.091092361505389,-800.0
heating_training,E69,T9,69.54832776247589,-72.79739367572665,-300.0
heating_training,E69,T10,88.97450185168317,49.207176921862356,-1350.0
heating_training,E69,T3,120.04143220924209,93.12261599260933,-1400.0
heating_training,E69,T2,21.462198591001787,23.820345809958667,-1250.0
heating_validation,E70,T8,98.85078494716997,-84.18086150920726,200.0
heating_validation,E70,T12,84.49581976155214,-85.30800122385767,-150.0
heating_validation,E70,T11,72.11729053581979,38.87334869839617,-1150.0
heating_validation,E70,T9,56.39167359698367,-53.6157881832728,-400.0
heating_validation,E70,T10,139.9149992807848,88.19677639007841,-1650.0
heating_validation,E70,T3,176.4095607202681,137.95156176115347,-1650.0
heating_validation,E70,T2,29.77902997152566,26.889967984302075,-1150.0
heating_training,E71,T8,23.402290395544437,2.157754257909346,150.0
heating_training,E71,T12,26.33883521256054,20.60440086869653,-300.0
heating_training,E71,T11,169.1620262433168,150.13162259584885,-1350.0
heating_training,E71,T9,79.66375916271006,51.61645320434309,-600.0
heating_training,E71,T10,230.99933798775632,194.82188297659638,-1750.0
heating_training,E71,T3,261.09997735390476,238.6684589755207,-1700.0
heating_training,E71,T2,40.625275897114356,40.57932948561364,-1200.0
heating_training,E72,T8,154.5899464716072,-164.13030184121158,50.0
heating_training,E72,T12,215.93202941376848,-224.21073827117846,150.0
heating_training,E72,T11,158.81005939849507,-182.22334505937374,-300.0
heating_training,E72,T9,177.1173724074278,-195.7027237537145,-250.0
heating_training,E72,T10,97.2982193456607,-128.10644252166867,-900.0
heating_training,E72,T3,77.51246372406285,-110.17992442767809,-850.0
heating_training,E72,T2,6.756484613301108,7.559998898580773,-300.0
heating_validation,E73,T8,166.94894797739983,-167.39647543257843,50.0
heating_validation,E73,T12,220.2745263602158,-228.3516895113122,50.0
heating_validation,E73,T11,134.21711972307116,-160.00663079656738,-650.0
