stage,evaluation,objective,transient_loss,steady_loss,radial_loss,axial_loss,cooling_loss,lateral_conductivity_scale,edge_felt_contact_scale,beam_sigma_mm,beta_opt_1_m,heat_transfer_scale,power_scale_456,power_scale_304,power_scale_256
shape,1,6.284986860590303,1.606774964101756,2.979814223954405,1.613426381436431,1.1916276256336955,0.39985315747851075,1.0,3.0,14.0,50.0,0.75,1.25,1.05,0.77
shape,2,6.292639279662017,1.6064196946499847,2.975048512489387,1.6233017731343358,1.1572496875243017,0.39985315747851075,1.0,3.0,14.0,50.0,1.2,1.25,1.05,0.77
shape,3,6.289558145130412,1.6029827739421878,2.9659485710088687,1.6266806929951134,1.1450094505202726,0.39985315747851075,1.0,3.0,14.0,50.0,1.8,1.25,1.05,0.77
shape,4,6.022832421561995,1.3855876486412686,2.601615365851729,1.6582026964281698,1.1347606385653768,0.39985315747851075,1.0,3.0,14.0,100.0,0.75,1.25,1.05,0.77
shape,5,5.942712316004574,1.3755954915082222,2.5772794486316144,1.6587609471872509,0.921615055977036,0.39985315747851075,1.0,3.0,14.0,100.0,1.2,1.25,1.05,0.77
shape,6,5.902736668508385,1.3675540323273498,2.5589577683474736,1.6584606034308422,0.8354917335861756,0.39985315747851075,1.0,3.0,14.0,100.0,1.8,1.25,1.05,0.77
shape,7,6.132572167768532,1.329494815129113,2.5119563885579232,1.6620136096767313,1.7517887932644154,0.39985315747851075,1.0,3.0,14.0,150.0,0.75,1.25,1.05,0.77
shape,8,6.0226571477744635,1.3158591451810469,2.4800859293319686,1.6602645601922736,1.4743884155667475,0.39985315747851075,1.0,3.0,14.0,150.0,1.2,1.25,1.05,0.77
shape,9,5.9702113207751,1.3058988889881116,2.4579176663941302,1.6588711545677022,1.364227479980299,0.39985315747851075,1.0,3.0,14.0,150.0,1.8,1.25,1.05,0.77
shape,10,6.3010622811622365,1.2934694989336488,2.4563806795601213,1.6616402095588299,2.49157193501212,0.39985315747851075,1.0,3.0,14.0,250.0,0.75,1.25,1.05,0.77
shape,11,6.172340413376631,1.2765797074428,2.418198553966919,1.6585824656267232,2.177365432503512,0.39985315747851075,1.0,3.0,14.0,250.0,1.2,1.25,1.05,0.77
shape,12,6.112926258774935,1.2649345811881854,2.3924506617257855,1.6566375939510163,2.056849041425754,0.39985315747851075,1.0,3.0,14.0,250.0,1.8,1.25,1.05,0.77
shape,13,6.394906411981766,1.2800595760417386,2.4368027886192563,1.66095955421512,2.873201040615852,0.39985315747851075,1.0,3.0,14.0,400.0,0.75,1.25,1.05,0.77
shape,14,6.260291436065126,1.2613322546765966,2.3947549674986357,1.657529167164875,2.551825926899778,0.39985315747851075,1.0,3.0,14.0,400.0,1.2,1.25,1.05,0.77
shape,15,6.1988943610435205,1.2486330810328337,2.366894439502887,1.6553180290093623,2.4321010380061354,0.39985315747851075,1.0,3.0,14.0,400.0,1.8,1.25,1.05,0.77
shape,16,6.367852377739893,1.7604888235354699,3.0021626870928966,1.5038890965563387,1.5234144442326085,0.48382444338818886,1.0,1.0,14.0,50.0,0.75,1.25,1.05,0.77
shape,17,6.420848552786078,1.7805610859391012,3.0311554782576966,1.516928304256347,1.517239977209598,0.48382444338818886,1.0,1.0,14.0,50.0,1.2,1.25,1.05,0.77
