stage,evaluation,rmse_mbar,hydraulic_resistance_scale,groove_loss_coefficient
coarse,1,0.3921636249053763,0.2,0.0
coarse,2,0.3570679160527133,0.2,25.0
coarse,3,0.3440799629200459,0.2,50.0
coarse,4,0.3311781278382144,0.2,100.0
coarse,5,0.32084730400769357,0.2,184.0
coarse,6,0.3161772291247534,0.2,250.0
coarse,7,0.31149740355823424,0.2,350.0
coarse,8,0.31267143822213156,0.5,0.0
coarse,9,0.26201055443788784,0.5,25.0
coarse,10,0.23491193772427088,0.5,50.0
coarse,11,0.2032778989863817,0.5,100.0
coarse,12,0.17458423816502713,0.5,184.0
coarse,13,0.1606671338013252,0.5,250.0
coarse,14,0.14616376418162014,0.5,350.0
coarse,15,0.23343018650697503,0.8,0.0
coarse,16,0.17568135008742242,0.8,25.0
coarse,17,0.13983003086484755,0.8,50.0
coarse,18,0.09440703271199456,0.8,100.0
coarse,19,0.05144520883178038,0.8,184.0
coarse,20,0.0324721580428894,0.8,250.0
coarse,21,0.023615852682194606,0.8,350.0
coarse,22,0.15482564315151218,1.1,0.0
coarse,23,0.09325851096164263,1.1,25.0
coarse,24,0.0530953510700406,1.1,50.0
coarse,25,0.026150118466717387,1.1,100.0
coarse,26,0.07479597140408673,1.1,184.0
coarse,27,0.10550620640000269,1.1,250.0
coarse,28,0.1399360022958434,1.1,350.0
coarse,29,0.055863135544809664,1.5,0.0
coarse,30,0.031319585597834224,1.5,25.0
coarse,31,0.07180595733739781,1.5,50.0
coarse,32,0.14005553214028882,1.5,100.0
coarse,33,0.21664697185117435,1.5,184.0
coarse,34,0.25885963617415403,1.5,250.0
coarse,35,0.3065100947591989,1.5,350.0
coarse,36,0.09458111789334123,2.0,0.0
coarse,37,0.1574411665265161,2.0,25.0
coarse,38,0.20994085568055645,2.0,50.0
coarse,39,0.29093988398322884,2.0,100.0
coarse,40,0.38544081394492513,2.0,184.0
coarse,41,0.4393342659660354,2.0,250.0
coarse,42,0.5016044497998718,2.0,350.0
refinement,43,0.18106092000738497,0.45000000000000007,275.0
refinement,44,0.17968260431015928,0.45000000000000007,285.0
refinement,45,0.17836103862453,0.45000000000000007,295.0
refinement,46,0.17709232798885088,0.45000000000000007,305.0
refinement,47,0.17587292395203688,0.45000000000000007,315.0
refinement,48,0.17469963639298838,0.45000000000000007,325.0
refinement,49,0.17356957559334799,0.45000000000000007,335.0
refinement,50,0.1724800182376712,0.45000000000000007,345.0
refinement,51,0.17142856742347476,0.45000000000000007,355.0
refinement,52,0.1704129944736316,0.45000000000000007,365.0
refinement,53,0.16943125195923164,0.45000000000000007,375.0
refinement,54,0.16848145497077593,0.45000000000000007,385.0
refinement,55,0.16756186472049683,0.45000000000000007,395.0
refinement,56,0.16667087413840365,0.45000000000000007,405.0
refinement,57,0.16580699518003936,0.45000000000000007,415.0
refinement,58,0.16496887625033207,0.45000000000000007,425.0
refinement,59,0.1564661407416958,0.5,275.0
refinement,60,0.1549096869719633,0.5,285.0
refinement,61,0.15341661225368933,0.5,295.0
refinement,62,0.1519825914458268,0.5,305.0
refinement,63,0.15060373355735468,0.5,315.0
refinement,64,0.14927649632956674,0.5,325.0
refinement,65,0.14799765788155414,0.5,335.0
refinement,66,0.14676426922683927,0.5,345.0
refinement,67,0.14557363383749616,0.5,355.0
refinement,68,0.14442327180462255,0.5,365.0
refinement,69,0.1433109525831928,0.5,375.0
refinement,70,0.14223450404179158,0.5,385.0
refinement,71,0.14119202942052045,0.5,395.0
refinement,72,0.14018173916112073,0.5,405.0
refinement,73,0.13920197503164558,0.5,415.0
refinement,74,0.138251197852816,0.5,425.0
refinement,75,0.13247184829638606,0.55,275.0
refinement,76,0.1307405622868177,0.55,285.0
refinement,77,0.12907917004880415,0.55,295.0
refinement,78,0.1274829949930903,0.55,305.0
refinement,79,0.12594778284924435,0.55,315.0
refinement,80,0.12446967622297204,0.55,325.0
refinement,81,0.12304512796835887,0.55,335.0
refinement,82,0.12167092556788447,0.55,345.0
refinement,83,0.12034411632530588,0.55,355.0
refinement,84,0.1190619928224849,0.55,365.0
refinement,85,0.11782205747529474,0.55,375.0
refinement,86,0.1166220027592559,0.55,385.0
refinement,87,0.11545971454545559,0.55,395.0
refinement,88,0.11433325343817652,0.55,405.0
refinement,89,0.11324071937787296,0.55,415.0
refinement,90,0.11218045812342722,0.55,425.0
refinement,91,0.10908308085745962,0.6000000000000001,275.0
refinement,92,0.10718451371308818,0.6000000000000001,285.0
refinement,93,0.105362446445465,0.6000000000000001,295.0
refinement,94,0.10361183346281994,0.6000000000000001,305.0
refinement,95,0.10192809944312516,0.6000000000000001,315.0
refinement,96,0.10030703345625258,0.6000000000000001,325.0
refinement,97,0.0987448384432542,0.6000000000000001,335.0
refinement,98,0.09723802623114551,0.6000000000000001,345.0
refinement,99,0.09578341029988655,0.6000000000000001,355.0
refinement,100,0.0943780273952086,0.6000000000000001,365.0
refinement,101,0.09301918207915633,0.6000000000000001,375.0
refinement,102,0.09170437604696521,0.6000000000000001,385.0
refinement,103,0.09043129933447283,0.6000000000000001,395.0
refinement,104,0.08919782075609138,0.6000000000000001,405.0
refinement,105,0.08800193770841643,0.6000000000000001,415.0
refinement,106,0.08684182045760044,0.6000000000000001,425.0
refinement,107,0.08636375472394639,0.65,275.0
refinement,108,0.08431537764474627,0.65,285.0
refinement,109,0.08235073153710341,0.65,295.0
refinement,110,0.08046447428939503,0.65,305.0
refinement,111,0.07865168751045878,0.65,315.0
refinement,112,0.07690793452886444,0.65,325.0
refinement,113,0.07522915972536105,0.65,335.0
refinement,114,0.07361163828307682,0.65,345.0
refinement,115,0.07205195424394767,0.65,355.0
refinement,116,0.07054698166378885,0.65,365.0
refinement,117,0.06909383530468273,0.65,375.0
refinement,118,0.06768986678224607,0.65,385.0
refinement,119,0.06633258787488366,0.65,395.0
refinement,120,0.06501973336610323,0.65,405.0
refinement,121,0.06374918964417813,0.65,415.0
refinement,122,0.06251899318375977,0.65,425.0
refinement,123,0.0645202594805106,0.7,275.0
refinement,124,0.06236818952727126,0.7,285.0
refinement,125,0.060310394753523476,0.7,295.0
refinement,126,0.05834143039019224,0.7,305.0
refinement,127,0.05645629980177523,0.7,315.0
refinement,128,0.05465056488424617,0.7,325.0
refinement,129,0.05292019630636765,0.7,335.0
refinement,130,0.05126149746522921,0.7,345.0
refinement,131,0.04967115511574553,0.7,355.0
refinement,132,0.04814615381934277,0.7,365.0
refinement,133,0.046683729716730904,0.7,375.0
refinement,134,0.04528139248723598,0.7,385.0
refinement,135,0.04393686943358315,0.7,395.0
refinement,136,0.0426480931012005,0.7,405.0
refinement,137,0.041413198859013525,0.7,415.0
refinement,138,0.04023044351621268,0.7,425.0
refinement,139,0.044210469038930854,0.75,275.0
refinement,140,0.042110124366697615,0.75,285.0
refinement,141,0.04013287191565921,0.75,295.0
refinement,142,0.0382751548672702,0.75,305.0
refinement,143,0.036534131020318696,0.75,315.0
