evaluation,objective,transient_loss,steady_loss,radial_loss,axial_loss,mid_sign_correct,deep_sign_correct,skin_thickness_mm,channel_conductance_scale
1,26.631405968010725,2.0096651232112053,3.850339269824565,11.30188820074585,2.8762088745348335,0,0,0.05,0.01
2,12.9507566418934,1.6694675441441096,3.303951730130485,4.801353106692396,2.2913245510845157,0,0,0.05,0.03
3,8.729350480462596,1.549401149024553,3.1146040154598413,2.815003550643635,2.0518700850427387,0,0,0.05,0.1
4,7.61470405648061,1.5152576307119967,3.0611806156180026,2.2954470487233753,1.9673271454548713,0,0,0.05,0.3
5,7.213197183231374,1.5026154428591332,3.041448572211198,2.10960885015959,1.92976489463234,0,0,0.05,1.0
6,26.844282626210408,1.8563594621705946,3.6124671722465798,10.660397998440814,8.611290051614038,0,0,0.15,0.01
7,13.440105653747159,1.5938456390588787,3.1843001776882436,4.73712077712044,4.722428023803096,0,0,0.15,0.03
8,8.912391646983195,1.5171587153043127,3.0622843693556714,2.8091697286190467,2.860693878780294,0,0,0.15,0.1
9,7.67352496030032,1.5038488974316497,3.0426461305289156,2.294184053270408,2.2283803905639306,0,0,0.15,0.3
10,7.228138814979794,1.4999890332373076,3.037256917267747,2.1094019163759397,1.9938962460342757,0,0,0.15,1.0
11,25.85060722841167,1.7737695697002598,3.530160867879839,9.041930889070484,16.446425400688298,0,0,0.3,0.01
12,13.965237956944033,1.546715525206694,3.1262283333003906,4.52006445953386,8.13508337559834,0,0,0.3,0.03
13,9.147330725319389,1.4890236752952077,3.020309102417586,2.7842456977609067,3.945743079256973,0,0,0.3,0.1
14,7.751548787552618,1.4910879260795318,3.022956480575935,2.28916514520374,2.5841454229760905,0,0,0.3,0.3
15,7.24948005101914,1.496126169153701,3.0313587416174257,2.1081529399190977,2.0921345984733866,0,0,0.3,1.0
