phase,simulation_id,time_s,model_T8_K,observed_T8_K,model_T12_K,observed_T12_K,model_T11_K,observed_T11_K,model_T9_K,observed_T9_K,model_T10_K,observed_T10_K,model_T3_K,observed_T3_K,model_T2_K,observed_T2_K
heating_training,E67,0.0,293.3685,296.62199999999996,293.3685,296.25,293.3685,296.35299999999995,293.3685,296.22499999999997,293.3685,296.43399999999997,293.3685000000001,296.686,293.3685,293.39799999999997
heating_training,E67,50.0,374.25362840616526,383.55999999999995,331.30835177848087,341.47999999999996,307.91339043302804,308.99899999999997,392.59671038144415,316.138,332.3057521293591,300.25399999999996,304.6636497448841,299.786,293.36967329587014,293.414
heating_training,E67,100.0,452.28215188998206,540.75,386.82520787063544,473.256,342.4337614442942,376.486,498.7440808120039,420.83,407.0029397333409,346.76099999999997,335.45235382370134,327.39099999999996,293.376423477346,293.438
heating_training,E67,150.0,519.3985662449227,664.299,445.3480930628735,589.1769999999999,386.3169614948525,445.365,582.1083398104131,529.854,482.2746933061212,403.433,376.1455693497702,354.489,293.3924670107656,293.471
heating_training,E67,200.0,574.6425301876424,748.8409999999999,500.0363761897083,676.7909999999999,431.984201880814,499.078,641.1826596061408,618.247,544.6235877056491,448.715,419.30474450156817,378.13699999999994,293.42916995794656,293.50899999999996
heating_training,E67,250.0,619.0738961507377,809.804,548.0566324424127,746.2349999999999,475.0451854444878,544.2439999999999,681.1597547963833,691.87,591.7213092833385,487.053,460.47803164698513,398.99399999999997,293.50901214028437,293.53999999999996
heating_training,E67,300.0,654.4103126650621,854.7379999999999,588.7371128168965,803.725,513.390053800737,584.703,707.7657526340483,752.739,625.5960742159632,521.4689999999999,497.42401376102606,420.99299999999994,293.6620708442765,293.59299999999996
heating_training,E67,350.0,682.322197129645,882.3009999999999,622.4933502021087,844.107,546.3744510537385,616.0509999999999,725.5918620018434,795.891,649.4864572851634,548.444,529.3689672156871,442.34799999999996,293.91970332452763,293.645
heating_training,E67,400.0,704.2185206739582,903.242,650.1331170339712,877.372,574.1559805394577,644.2819999999999,737.7039735630384,831.799,666.3505577559614,572.938,556.3774854255835,461.29599999999994,294.30866988904063,293.70799999999997
heating_training,E67,450.0,721.373241064394,918.233,672.5661175700499,900.886,597.2323411900882,666.63,746.0989958747933,857.492,678.3575660894339,592.479,578.8764822823596,478.52299999999997,294.8473245783207,293.78099999999995
heating_training,E67,500.0,734.797974361386,930.434,690.7004683881859,919.933,616.2445547607601,685.787,752.1290782990892,878.2909999999999,687.0915707463199,609.479,597.4535373172824,494.013,295.5442272046023,293.83799999999997
heating_training,E67,550.0,745.310758696139,938.485,705.3289111450822,935.644,631.8413084337288,703.467,756.6011347142373,895.824,693.6169295637152,625.688,612.7212010823658,510.158,296.3984944906241,293.935
heating_training,E67,600.0,753.5776027899707,945.481,717.1381229582972,947.425,644.6165178312137,718.056,760.0586663973097,908.976,698.6383534656318,639.185,625.2451251233476,522.261,297.4014083514727,294.03099999999995
heating_training,E67,650.0,760.1022336670164,950.697,726.7003435162243,957.418,655.0948340557317,730.835,762.8454321033028,919.996,702.64017296727,651.1659999999999,635.5301375984353,536.413,298.53844919775634,294.145
heating_training,E67,700.0,765.2301658323246,955.255,734.4628900059876,966.3199999999999,663.720481259349,743.392,765.1260033461889,930.026,705.9419054231915,663.016,644.0107801798879,550.509,299.79138931515445,294.32599999999996
