rank,objective,primary_rmse_K,t2_rmse_K,casing_flange_conductance_W_K,felt_heat_capacity_scale
1,2.281049425846113,27.902049525007495,15.312905259408058,20.0,1.0
2,2.297201211849327,29.225549221272104,14.901393854608852,0.0,0.75
3,2.29900048012383,29.226568653995923,14.909516360523702,0.02,0.75
4,2.301700170951212,29.228101433418516,14.921710872749587,0.05,0.75
5,2.306198454627775,29.230663879986235,14.942048259440243,0.1,0.75
6,2.315169790074937,29.235805054902595,14.982676705427089,0.2,0.75
7,2.316771513400399,27.94049661351769,15.610803887558102,10.0,1.0
8,2.3406426865845975,27.97424662857096,15.861845631421195,5.0,1.0
9,2.341549928307426,29.251147365764254,15.102638164117282,0.5,0.75
10,2.371144681160495,28.05825530901001,16.418159818134637,0.0,1.0
11,2.382330629921268,29.27549232214348,15.289436102121055,1.0,0.75
12,2.448354487994496,29.31653802511893,15.595176215706855,2.0,0.75
13,2.5909650001321154,29.415934601134502,16.214014856550055,20.0,0.75
14,3.194967812883016,27.235611030795,21.66306464855475,0.0,1.5
15,4.408336225942677,27.474966001893677,26.563286535663355,0.0,2.0
