phase,simulation_id,flow_lpm,model_T8_K,observed_T8_K,model_T12_K,observed_T12_K,model_T11_K,observed_T11_K,model_T9_K,observed_T9_K,model_T10_K,observed_T10_K,model_T3_K,observed_T3_K,model_T2_K,observed_T2_K,model_T12_minus_T8_K,observed_T12_minus_T8_K,model_T12_minus_T9_K,observed_T12_minus_T9_K,model_T11_minus_T10_K,observed_T11_minus_T10_K,core_to_side_flow_ratio,core_to_corner_flow_ratio,dp1_model_mbar,dp1_observed_mbar,equal_pressure_error
heating_training,E67,15.2805125,744.7141502071497,931.6279999999999,736.5429039755927,991.103,708.2140055113168,878.055,738.3743952254446,966.6659999999999,716.100426022402,824.995,698.4585388955373,763.414,323.01379496823085,326.43699999999995,-8.171246231557006,59.47500000000002,-1.8314912498518652,24.437000000000012,-7.886420511085134,53.059999999999945,3.601190627022428,3.5983424774166646,1.9576672341905597,2.712,8.130560012353786e-6
heating_validation,E68,12.499871559633025,832.5460297957892,1012.649,824.0983186714659,1047.717,787.5835762275384,898.751,827.0176900124982,1020.928,796.3488629173597,850.0989999999999,774.5751508917673,773.207,329.77093093891045,338.52,-8.447711124323291,35.0680000000001,-2.9193713410322744,26.7890000000001,-8.765286689821323,48.652000000000044,3.125513613744525,3.1228296406437543,1.7846493764612732,2.004,6.417700574307407e-6
heating_training,E69,10.499733944954128,917.1132099616708,1058.429,905.1962864843524,1070.73,858.0317778800932,896.755,909.0964981236041,1044.378,867.9411402366379,852.837,841.0526596840184,769.76,335.3145647516835,344.308,-11.916923477318392,12.30099999999993,-3.9002116392516655,26.35200000000009,-9.909362356544761,43.918000000000006,2.7773446380121722,2.774628428730457,1.6289293515258985,1.542,5.209300301434888e-6
heating_validation,E70,9.107198347107436,995.9688037095931,1152.474,979.4132770950404,1120.277,924.4580165991771,912.173,984.0692127420929,1093.725,935.0335460311879,871.483,904.9298308638186,779.518,341.1100693380771,352.421,-16.55552661455272,-32.19699999999989,-4.655935647052502,26.552000000000135,-10.575529432010853,40.690000000000055,2.5298907459297073,2.527328818832138,1.5111798658836033,1.314,9.729376285587346e-6
heating_training,E71,7.1270991735537175,1136.9043272286387,1203.298,1106.3497190130536,1120.348,1033.26238522183,882.823,1112.170268517421,1095.306,1045.2102260184247,847.476,1007.6656628927644,753.56,351.42444600338536,356.00399999999996,-30.554608215585176,-82.95000000000005,-5.820549504367364,25.041999999999916,-11.947840796594619,35.34699999999998,2.1814720180764255,2.1789592937852458,1.2884558126988315,0.825,7.259875836456473e-6
heating_training,E72,18.707575757575754,541.3222019539431,737.656,534.1486774873526,797.899,520.2991354429929,733.977,534.7701356655963,771.112,524.437224918082,684.1869999999999,516.260165652221,652.9549999999999,309.8417458688185,309.928,-7.173524466590493,60.24300000000005,-0.6214581782436426,26.787000000000035,-4.138089475089146,49.79000000000008,4.40568081391433,4.403502491616497,1.3644409718195931,2.485,5.011650368627892e-6
heating_validation,E73,13.170870967741934,624.8633685351958,837.694,618.4748059040141,894.482,597.0216119798122,791.76,620.048756915547,867.5509999999999,601.974362340556,747.4,589.8147848554615,694.626,315.772288462803,325.12,-6.388562631181685,56.78800000000001,-1.573951011532813,26.93100000000004,-4.952750360743835,44.360000000000014,3.5200495334286046,3.5179162436093296,1.0772368087989859,1.827,7.815077572313052e-6
heating_training,E74,9.023314049586775,752.965926764291,948.538,741.047121074064,962.509,705.2896682385973,804.0,743.8072901426843,935.491,711.6226312969561,767.8009999999999,692.9112078978673,697.672,323.7440546276254,333.964,-11.918805690227032,13.971000000000004,-2.760169068620371,27.01800000000003,-6.332963058358814,36.19900000000007,2.735145756886655,2.733027294521351,0.8055678439670013,1.071,5.0611498743021095e-6
heating_validation,E75,6.944495867768595,861.4270869628401,1008.725,839.7437891116747,979.689,789.4932463509202,788.678,843.3268957328903,954.178,797.0816777070768,757.393,772.1533775169854,681.066,330.41528709174696,336.517,-21.683297851165435,-29.036000000000058,-3.58310662121562,25.510999999999967,-7.588431356156548,31.284999999999968,2.322664273879617,2.320504759112121,0.6390054987424003,0.651,8.238911879409997e-6
heating_training,E76,4.526611570247936,1051.445180844484,1067.693,1004.3844442733152,970.472,927.4689234732328,751.1579999999999,1009.1298558594195,947.353,936.9837722875046,726.308,900.9771804533485,647.019,342.31795699217093,338.123,-47.06073657116872,-97.221,-4.7454115861042965,23.119000000000028,-9.514848814271772,24.84999999999991,1.8431576556276814,1.8410376333229606,0.37692577533168914,0.174,5.099360950390752e-6
heating_training,E77,13.84748387096774,496.1573201813602,565.544,491.1735217555266,623.3499999999999,478.0698448505614,574.299,492.09671285467397,602.429,481.07185800020693,543.727,473.9465419947274,525.356,307.30229639251945,308.37,-4.983798425833584,57.805999999999926,-0.9231910991473455,20.920999999999935,-3.0020131496455065,30.572000000000003,3.9005671389865126,3.898833404536474,0.6707200631906287,0.978,9.169065371067461e-6
