candidate,power_group,power_scale,objective
beer_lambert_f0.0_L80.0_x1.0,456,1.05,6.270684671750256
beer_lambert_f0.0_L80.0_x1.0,456,1.1225,6.450055036264857
beer_lambert_f0.0_L80.0_x1.0,456,1.195,6.837155767583892
beer_lambert_f0.0_L80.0_x1.0,456,1.2675,7.3752290018449225
beer_lambert_f0.0_L80.0_x1.0,456,1.34,8.052666062884459
beer_lambert_f0.0_L80.0_x1.0,304,1.23,7.259632672137123
beer_lambert_f0.0_L80.0_x1.0,304,1.3175,7.654954709837831
beer_lambert_f0.0_L80.0_x1.0,304,1.405,8.093303229983727
beer_lambert_f0.0_L80.0_x1.0,304,1.4925,8.632291071332626
beer_lambert_f0.0_L80.0_x1.0,304,1.58,9.282389634583616
beer_lambert_f0.0_L80.0_x1.0,256,0.84,4.0859380538904135
beer_lambert_f0.0_L80.0_x1.0,256,0.9075,4.494703293295352
beer_lambert_f0.0_L80.0_x1.0,256,0.975,5.010883207526814
beer_lambert_f0.0_L80.0_x1.0,256,1.0425,5.61854791096561
beer_lambert_f0.0_L80.0_x1.0,256,1.11,6.280949664358495
beer_lambert_f0.0_L80.0_x0.05,456,1.05,4.649642617941033
beer_lambert_f0.0_L80.0_x0.05,456,1.1225,4.853226075175933
beer_lambert_f0.0_L80.0_x0.05,456,1.195,5.31486275075979
beer_lambert_f0.0_L80.0_x0.05,456,1.2675,5.9097345272810715
beer_lambert_f0.0_L80.0_x0.05,456,1.34,6.606605418256847
beer_lambert_f0.0_L80.0_x0.05,304,1.23,6.064012791909136
beer_lambert_f0.0_L80.0_x0.05,304,1.3175,6.539099122859557
beer_lambert_f0.0_L80.0_x0.05,304,1.405,7.082819922312969
beer_lambert_f0.0_L80.0_x0.05,304,1.4925,7.660925789289704
beer_lambert_f0.0_L80.0_x0.05,304,1.58,8.288024385103116
beer_lambert_f0.0_L80.0_x0.05,256,0.84,3.4856926858256827
beer_lambert_f0.0_L80.0_x0.05,256,0.9075,3.9390658823256497
beer_lambert_f0.0_L80.0_x0.05,256,0.975,4.464431157825161
beer_lambert_f0.0_L80.0_x0.05,256,1.0425,5.067138284897746
beer_lambert_f0.0_L80.0_x0.05,256,1.11,5.727467677286282
near_deep_f0.2_L20.0_x1.0,456,1.05,6.4612931247291
near_deep_f0.2_L20.0_x1.0,456,1.1225,6.627996029662916
near_deep_f0.2_L20.0_x1.0,456,1.195,6.99354186274396
near_deep_f0.2_L20.0_x1.0,456,1.2675,7.521028053953799
near_deep_f0.2_L20.0_x1.0,456,1.34,8.168423582468938
near_deep_f0.2_L20.0_x1.0,304,1.23,7.391681443173735
near_deep_f0.2_L20.0_x1.0,304,1.3175,7.793675114327857
near_deep_f0.2_L20.0_x1.0,304,1.405,8.229539674140403
near_deep_f0.2_L20.0_x1.0,304,1.4925,8.748889360210269
near_deep_f0.2_L20.0_x1.0,304,1.58,9.39308393548207
near_deep_f0.2_L20.0_x1.0,256,0.84,4.152220757347184
near_deep_f0.2_L20.0_x1.0,256,0.9075,4.549933566418311
near_deep_f0.2_L20.0_x1.0,256,0.975,5.056379996775786
near_deep_f0.2_L20.0_x1.0,256,1.0425,5.656336108405111
near_deep_f0.2_L20.0_x1.0,256,1.11,6.313190127670012
near_deep_f0.2_L20.0_x0.05,456,1.05,4.720445138021989
near_deep_f0.2_L20.0_x0.05,456,1.1225,4.878520309155815
near_deep_f0.2_L20.0_x0.05,456,1.195,5.326129229137766
near_deep_f0.2_L20.0_x0.05,456,1.2675,5.927138299215642
near_deep_f0.2_L20.0_x0.05,456,1.34,6.63667552709742
near_deep_f0.2_L20.0_x0.05,304,1.23,6.089967801311853
near_deep_f0.2_L20.0_x0.05,304,1.3175,6.5536771893515295
near_deep_f0.2_L20.0_x0.05,304,1.405,7.097850640580888
near_deep_f0.2_L20.0_x0.05,304,1.4925,7.683103287465246
near_deep_f0.2_L20.0_x0.05,304,1.58,8.321456639145753
near_deep_f0.2_L20.0_x0.05,256,0.84,3.477129776656371
near_deep_f0.2_L20.0_x0.05,256,0.9075,3.931599450927757
near_deep_f0.2_L20.0_x0.05,256,0.975,4.45951582707776
near_deep_f0.2_L20.0_x0.05,256,1.0425,5.066687525084394
near_deep_f0.2_L20.0_x0.05,256,1.11,5.733082696315518
