stage,candidate,objective,curve,level,side_shape,effectiveness
marginal,beer_lambert_f0.0_L80.0_x1.0,4.933106109704178,4.953302332803948,4.339250960367667,0.24887421806958565,10.324313547584808
marginal,beer_lambert_f0.0_L80.0_x0.05,4.146518397443333,4.417990506284029,3.756851632042372,0.36866965110622013,7.936374410060428
marginal,beer_lambert_f0.0_L80.0_x0.1,4.54143934401122,4.482459177638081,3.8369210733719794,0.24915080940624076,9.817591008068243
marginal,beer_lambert_f0.0_L80.0_x0.15,4.692208155492262,4.620314104022004,3.974068096234422,0.23765559829482918,10.170250376834945
marginal,beer_lambert_f0.0_L80.0_x0.25,4.812134811096164,4.767366298800198,4.129814787921401,0.24118029398961063,10.314334253689111
marginal,beer_lambert_f0.0_L80.0_x0.35,4.863089391089832,4.840947127995768,4.211805166541356,0.24448139762203766,10.334551625657838
marginal,beer_lambert_f0.0_L80.0_x0.45,4.890842404296817,4.8837903717611,4.260517339025528,0.24629325839108987,10.335638938729156
marginal,beer_lambert_f0.0_L80.0_x0.6,4.913292684774843,4.919983579328329,4.301339929607708,0.24768599417826556,10.332131253861744
marginal,beer_lambert_f0.0_L80.0_x0.75,4.924757880494373,4.938983038101124,4.322951798688344,0.24837172750978986,10.328507609924683
marginal,near_deep_f0.2_L20.0_x1.0,5.051934401972877,5.0273553006727045,4.406425752535243,0.27088043204562895,10.682887610972472
marginal,near_deep_f0.2_L50.0_x1.0,5.360972578229176,5.218727023892501,4.600778244852431,0.3445024893820845,11.576615303886376
marginal,near_deep_f0.2_L100.0_x1.0,5.580742212365148,5.351623201273084,4.740798138931973,0.39670146674652,12.215671319186349
marginal,near_deep_f0.2_L200.0_x1.0,5.715630402484784,5.432260054413269,4.826167662743457,0.42762153301819317,12.611365805753183
marginal,near_deep_f0.4_L20.0_x1.0,5.1836275444921,5.116881894050354,4.491246552772988,0.3028700666818372,11.046666150224306
marginal,near_deep_f0.4_L50.0_x1.0,5.8626942463466065,5.56349456850944,4.949471833614172,0.49706853942774526,12.893447405396048
marginal,near_deep_f0.4_L100.0_x1.0,6.363059135255059,5.891282236212518,5.289366626405054,0.6375561555622995,14.25628732433477
marginal,near_deep_f0.4_L200.0_x1.0,6.674888561296033,6.093676604502673,5.496036294293521,0.7220744768066365,15.11838890392695
marginal,near_deep_f0.6_L20.0_x1.0,5.324477992237518,5.216259607857368,4.587160033000381,0.34468786873348156,11.415297737453237
marginal,near_deep_f0.6_L50.0_x1.0,6.424936321542741,5.969387812880242,5.357453529679764,0.70299085378194,14.278445169291635
marginal,near_deep_f0.6_L100.0_x1.0,7.24480658807046,6.521252888473019,5.910234776256736,0.9644517468368652,16.459595168366732
marginal,near_deep_f0.6_L200.0_x1.0,7.756294162319382,6.853203091807814,6.236815734840551,1.1237183596798284,17.868627372702722
marginal,near_deep_f0.8_L20.0_x1.0,5.473394866001158,5.323573404150169,4.69171487492584,0.3961817062926434,11.789895572793048
marginal,near_deep_f0.8_L50.0_x1.0,7.031300149433394,6.41365720081735,5.792974377538779,0.9570937991911999,15.734288874621933
marginal,near_deep_f0.8_L100.0_x1.0,8.193098546398877,7.186052183376258,6.549143014761129,1.3680672163430934,18.835405426291427
marginal,near_deep_f0.8_L200.0_x1.0,8.923261202921566,7.641727905254064,6.989292900772458,1.6221073648117244,20.884558689635913
joint,near_deep_f0.2_L20.0_x0.05,4.1520677679474725,4.374481360768536,3.7167249357688514,0.31917137413164903,8.139918914549712
joint,near_deep_f0.2_L20.0_x0.15000000000000002,4.793717857867225,4.686195921344518,4.034507939476897,0.2380900901797783,10.48652141245732
joint,near_deep_f0.4_L20.0_x0.05,4.162017890967206,4.336559238701491,3.6805164479719843,0.27562741743159314,8.34483780971185
joint,near_deep_f0.4_L20.0_x0.15000000000000002,4.907443366662001,4.7678042809896715,4.112034707166507,0.24737858019949202,10.806137377420457
joint,near_deep_f0.6_L20.0_x0.05,4.178003852718049,4.308194999542031,3.6489679613043826,0.238847104674948,8.550620958086265
joint,near_deep_f0.6_L20.0_x0.15000000000000002,5.029645485899315,4.858636637180877,4.200578058092578,0.2657056673225059,11.129185074491813
joint,near_deep_f0.2_L50.0_x0.05,4.221763370431648,4.339995670226824,3.6812470793850007,0.2779889846960064,8.634276595334038
joint,near_deep_f0.2_L50.0_x0.15000000000000002,5.072953509869635,4.872710066523568,4.219989741454131,0.2817962873598602,11.280741468754407
