phase,simulation_id,flow_lpm,model_T8_K,observed_T8_K,model_T12_K,observed_T12_K,model_T11_K,observed_T11_K,model_T9_K,observed_T9_K,model_T10_K,observed_T10_K,model_T3_K,observed_T3_K,model_T2_K,observed_T2_K,model_T3_gas_raw_K,model_T3_tube_K,model_T12_minus_T8_K,observed_T12_minus_T8_K,model_T11_minus_T12_K,observed_T11_minus_T12_K,core_to_side_flow_ratio,dp1_model_mbar,dp1_observed_mbar
heating_training,E67,15.2805125,789.3007331004209,931.6279999999999,836.3781905131352,991.103,826.6606381907962,878.055,761.0730875632976,966.6659999999999,776.6186509854592,824.995,664.2835479096826,763.414,326.5808132721879,326.43699999999995,681.7596799258655,366.62406635381706,47.07745741271435,59.47500000000002,-9.717552322338975,-113.048,5.732913454290376,1.1374757630486456,2.712
heating_validation,E68,12.499871559633025,904.0456534141134,1012.649,942.586020435165,1047.717,922.59008817475,898.751,852.8875678563747,1020.928,863.1829791581459,850.0989999999999,720.3114554386128,773.207,334.822826994453,338.52,745.9001847630088,395.18945711096967,38.540367021051566,35.0680000000001,-19.995932260414975,-148.96600000000012,5.327227328119685,0.9393863295269778,2.004
heating_training,E69,10.499733944954128,1007.7709428542254,1058.429,1037.339410740301,1070.73,1005.8483230655906,896.755,933.7227533892373,1044.378,937.5816345838197,852.837,763.6977588543311,769.76,341.19794189976403,344.308,798.1395896393443,410.27547171267395,29.56846788607561,12.30099999999993,-31.491087674710343,-173.97500000000002,5.046936884424429,0.7671071616653906,1.542
heating_validation,E70,9.107198347107436,1099.0248092574377,1152.474,1122.0135791453115,1120.277,1082.3716530460492,912.173,1006.1294246295887,1093.725,1005.5047449591896,871.483,801.2282124879478,779.518,347.8247766510259,352.421,844.4273292930573,437.385299022903,22.988769887873787,-32.19699999999989,-39.641926099262264,-208.10400000000004,4.830377165992584,0.6400459781300214,1.314
heating_training,E71,7.1270991735537175,1246.7369052910021,1203.298,1260.7679115905385,1120.348,1206.0604047736026,882.823,1123.0956830716177,1095.306,1113.8519083357385,847.476,852.1078877557512,753.56,359.603216303947,356.00399999999996,911.9825194326509,465.29802931792744,14.03100629953633,-82.95000000000005,-54.70750681693585,-237.52499999999998,4.517526601869133,0.4269709539322861,0.825
heating_training,E72,18.707575757575754,615.0671402399466,737.656,654.1012153034613,797.899,652.8624436363383,733.977,604.8949105819415,771.112,619.8613489457224,684.1869999999999,551.147681352021,652.9549999999999,314.5995962804276,309.928,559.0516286021368,337.0954738897127,39.034075063514706,60.24300000000005,-1.2387716671230464,-63.922000000000025,6.0765014934121515,1.0759466274862794,2.485
heating_validation,E73,13.170870967741934,752.0887323375887,837.694,782.6047338962569,894.482,769.0800241987291,791.76,715.6507171995854,867.5509999999999,724.8527079268721,747.4,623.8900953688889,694.626,323.8602938371869,325.12,638.5515933420555,363.3594517045001,30.516001558668222,56.78800000000001,-13.524709697527783,-102.72199999999998,5.359681826735214,0.7532886462483541,1.827
heating_training,E74,9.023314049586775,945.4459470573881,948.538,959.6570236013272,962.509,925.1539178213955,804.0,866.8746509035916,935.491,864.4024308846645,767.8009999999999,710.1377788007641,697.672,335.8260038463536,333.964,738.1285172302883,399.5599628808233,14.211076543939043,13.971000000000004,-34.50310577993173,-158.50900000000001,4.732569881642475,0.44138123011352914,1.071
heating_validation,E75,6.944495867768595,1086.5048300697686,1008.725,1090.058005259971,979.689,1039.1107530817178,788.678,976.92447457141,954.178,964.7693714501993,757.393,762.388239982697,681.066,344.9773081048005,336.517,803.1771621296277,421.9982821159753,3.55317519020241,-29.036000000000058,-50.947252178253166,-191.01099999999997,4.389149389509132,0.2531110625647004,0.651
heating_training,E76,4.526611570247936,1290.878882447263,1067.693,1287.6588850865412,970.472,1216.6176416704998,751.1579999999999,1140.5122252492192,947.353,1116.9645699518298,726.308,820.3426855430498,647.019,361.2360087395101,338.123,883.6265026926608,460.32077010270314,-3.219997360721891,-97.221,-71.04124341604143,-219.31400000000008,3.9250207080038866,-0.010802275936958705,0.174
heating_training,E77,13.84748387096774,550.0184774250541,565.544,565.6524793474059,623.3499999999999,558.9264699981202,574.299,529.5505845202937,602.429,535.1143408674435,543.727,483.39208090473574,525.356,309.7712724233638,308.37,488.649253268998,324.9091108263881,15.634001922351786,57.805999999999926,-6.726009349285732,-49.05099999999993,5.275948039755579,0.44592050866542965,0.978
heating_validation,E78,10.009137614678897,650.2685219723994,631.689,658.0741277326116,685.819,641.9206784997151,612.092,608.7360754293951,663.635,609.511788086729,583.704,535.3512814708359,554.4549999999999,316.6538238243836,312.95899999999995,544.3929661311699,347.1278285883413,7.805605760212188,54.129999999999995,-16.15344923289649,-73.72699999999998,4.677957928345378,0.2227713985731008,0.637
heating_training,E79,8.033490566037736,726.4795153959245,676.213,726.9271719685665,716.108,701.0652649010287,622.325,667.097783871908,694.063,662.2068115187577,595.766,568.9498597887066,560.0329999999999,320.45554906077723,314.96,581.7397858912914,355.16752787434274,0.44765657264201764,39.89499999999998,-25.8619070675378,-93.7829999999999,4.34622374983584,0.09355479984226067,0.403
heating_validation,E80,6.605050847457628,800.677979829448,710.3340000000001,794.525852092174,735.351,759.3382568808767,626.4849999999999,724.1162092882453,713.233,713.6942310504397,601.77,599.4603793830768,561.2539999999999,324.63447719949954,316.11899999999997,616.5165798045432,366.6814152641033,-6.152127737273986,25.01699999999994,-35.18759521129732,-108.8660000000001,4.078626524450971,-0.0048531903452451175,0.238
heating_training,E81,4.527140495867768,944.6696612018976,760.0609999999999,927.6160015197237,749.902,873.3247991706342,618.9749999999999,835.4749888255109,728.5039999999999,813.2949509166733,597.766,649.1932522323287,550.499,333.211261745921,319.315,676.4668277726728,384.3195996886561,-17.05365968217393,-10.158999999999878,-54.29120234908953,-130.92700000000013,3.613815490320913,-0.1624718686107307,-0.023
cooling_training,C69,10.49813725490196,352.69799473461495,312.268,368.50545347700336,327.582,400.3609070246255,345.55899999999997,356.83427056358676,333.303,382.6470392340743,354.515,375.4218328984754,360.51599999999996,315.8153121683794,323.99,360.14162182821303,581.2957230312558,15.807458742388405,15.314000000000021,31.85545354762212,17.976999999999975,4.493982979222886,-0.0641379241510906,-0.058
cooling_training,C80,6.607946666666666,343.131668134922,305.84999999999997,350.21737603112894,313.269,364.4853228680179,320.183,341.48630018093473,314.292,353.74028450448213,322.157,341.66942343132246,324.48199999999997,304.25820597944454,306.22999999999996,337.40872422534085,427.5642553725865,7.085707896206941,7.41900000000004,14.267946836888939,6.913999999999987,3.445610365983872,-0.2822710079046536,-0.265
cooling_validation,C81,4.529773109243697,347.4893652245231,298.193,352.7347871193519,300.909,363.50478360621184,304.457,342.8246630547164,301.79999999999995,352.6090585623464,305.42499999999995,337.19230979398804,306.32,301.7959794701972,298.727,333.72699203489606,402.06140868175635,5.24542189482878,2.716000000000008,10.769996486859952,3.548000000000002,2.8944373860118175,-0.37979768355861343,-0.405
