irradiance_W_m2,sensor,model_slope_K_per_Lmin,experiment_slope_K_per_Lmin,sign_correct
456000.0,T8,-44.3682416313815,-34.16324157147687,true
456000.0,T12_perim,-39.72335229692609,-16.827405125884415,true
456000.0,T11_perim,-27.785093426714315,-1.378241813000053,true
456000.0,T9_core,-39.89862433498928,-16.74774112275225,true
456000.0,T10_core,-27.865779842730593,-3.556715106893071,true
456000.0,T3,-11.22611552673197,0.5343025192138057,false
456000.0,T2,-9.166773306717745,-3.717365007614337,true
304000.0,T8,-39.46178763733644,-24.316401443663146,true
304000.0,T12_perim,-32.97612022407366,-13.477279420083823,true
304000.0,T11_perim,-22.861428375663667,-1.904264921892715,true
304000.0,T9_core,-33.08792465635142,-13.696356871492744,true
304000.0,T10_core,-22.914717751617868,-3.7067211968557503,true
304000.0,T3,-9.896235725975643,-0.07016201776391182,true
304000.0,T2,-5.619164824547405,-2.091714659258508,true
256000.0,T8,-34.52037352800667,-20.86909553934409,true
256000.0,T12_perim,-26.67529459582554,-13.973669704673695,true
256000.0,T11_perim,-18.235230319535436,-5.166761908675512,true
256000.0,T9_core,-26.734818784177993,-13.910252570306515,true
256000.0,T10_core,-18.26470654247467,-6.140352619485013,true
256000.0,T3,-8.848333499048204,-3.0339772229632196,true
256000.0,T2,-3.3550381857490623,-1.1383868025609312,true
